Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-37	-0.925	40	40	0	-37	-0.925	40	40	0	-37	-0.925	40	40	0	-37	-0.925	40	40
1	-100	-50.0	2	42	1	-100	-50.0	2	42	1	-100	-50.0	2	42	1	-100	-50.0	2	42
2	-100	-50.0	2	44	2	-100	-50.0	2	44	2	-100	-50.0	2	44	2	-100	-50.0	2	44
3	-100	-50.0	2	46	3	-100	-50.0	2	46	3	-100	-50.0	2	46	3	-100	-50.0	2	46
4	-100	-50.0	2	48	4	-100	-50.0	2	48	4	-100	-50.0	2	48	4	-100	-50.0	2	48
5	-109	-9.909090909090908	11	59	5	-109	-9.909090909090908	11	59	5	-109	-9.909090909090908	11	59	5	-109	-9.909090909090908	11	59
6	-104	-17.333333333333332	6	65	6	-104	-17.333333333333332	6	65	6	-104	-17.333333333333332	6	65	6	-104	-17.333333333333332	6	65
7	-102	-25.5	4	69	7	-102	-25.5	4	69	7	-102	-25.5	4	69	7	-102	-25.5	4	69
8	-108	-10.8	10	79	8	-108	-10.8	10	79	8	-108	-10.8	10	79	8	-108	-10.8	10	79
9	-106	-13.25	8	87	9	-106	-13.25	8	87	9	-106	-13.25	8	87	9	-106	-13.25	8	87
10	-104	-17.333333333333332	6	93	10	-104	-17.333333333333332	6	93	10	-104	-17.333333333333332	6	93	10	-104	-17.333333333333332	6	93
11	-9	-0.75	12	105	11	-9	-0.75	12	105	11	-9	-0.75	12	105	11	-9	-0.75	12	105
12	-100	-50.0	2	107	12	-100	-50.0	2	107	12	-100	-50.0	2	107	12	-100	-50.0	2	107
13	-101	-33.666666666666664	3	110	13	-101	-33.666666666666664	3	110	13	-101	-33.666666666666664	3	110	13	-101	-33.666666666666664	3	110
14	-100	-50.0	2	112	14	-100	-50.0	2	112	14	-100	-50.0	2	112	14	-100	-50.0	2	112
15	-101	-33.666666666666664	3	115	15	-101	-33.666666666666664	3	115	15	-101	-33.666666666666664	3	115	15	-101	-33.666666666666664	3	115
16	-102	-25.5	4	119	16	-102	-25.5	4	119	16	-102	-25.5	4	119	16	-102	-25.5	4	119
17	-101	-33.666666666666664	3	122	17	-101	-33.666666666666664	3	122	17	-101	-33.666666666666664	3	122	17	-101	-33.666666666666664	3	122
18	-100	-50.0	2	124	18	-100	-50.0	2	124	18	-100	-50.0	2	124	18	-100	-50.0	2	124
19	-11	-0.7857142857142857	14	138	19	-11	-0.7857142857142857	14	138	19	-11	-0.7857142857142857	14	138	19	-11	-0.7857142857142857	14	138
20	-103	-20.6	5	143	20	-103	-20.6	5	143	20	-103	-20.6	5	143	20	-103	-20.6	5	143
21	-11	-0.7857142857142857	14	157	21	-11	-0.7857142857142857	14	157	21	-11	-0.7857142857142857	14	157	21	-11	-0.7857142857142857	14	157
22	-100	-50.0	2	159	22	-100	-50.0	2	159	22	-100	-50.0	2	159	22	-100	-50.0	2	159
23	-100	-50.0	2	161	23	-100	-50.0	2	161	23	-100	-50.0	2	161	23	-100	-50.0	2	161
24	-103	-20.6	5	166	24	-103	-20.6	5	166	24	-103	-20.6	5	166	24	-103	-20.6	5	166
25	-104	-17.333333333333332	6	172	25	-104	-17.333333333333332	6	172	25	-104	-17.333333333333332	6	172	25	-104	-17.333333333333332	6	172
26	-112	-8.0	14	186	26	-112	-8.0	14	186	26	-112	-8.0	14	186	26	-112	-8.0	14	186
27	-104	-17.333333333333332	6	192	27	-104	-17.333333333333332	6	192	27	-104	-17.333333333333332	6	192	27	-104	-17.333333333333332	6	192
28	-105	-15.0	7	199	28	-105	-15.0	7	199	28	-105	-15.0	7	199	28	-105	-15.0	7	199
29	-109	-9.909090909090908	11	210	29	-109	-9.909090909090908	11	210	29	-109	-9.909090909090908	11	210	29	-109	-9.909090909090908	11	210
30	-100	-50.0	2	212	30	-100	-50.0	2	212	30	-100	-50.0	2	212	30	-100	-50.0	2	212
31	-106	-13.25	8	220	31	-106	-13.25	8	220	31	-106	-13.25	8	220	31	-106	-13.25	8	220
32	-113	-7.533333333333333	15	235	32	-113	-7.533333333333333	15	235	32	-113	-7.533333333333333	15	235	32	-113	-7.533333333333333	15	235
33	-100	-50.0	2	237	33	-100	-50.0	2	237	33	-100	-50.0	2	237	33	-100	-50.0	2	237
34	-100	-50.0	2	239	34	-100	-50.0	2	239	34	-100	-50.0	2	239	34	-100	-50.0	2	239
35	-119	-5.666666666666667	21	260	35	-119	-5.666666666666667	21	260	35	-119	-5.666666666666667	21	260	35	-119	-5.666666666666667	21	260
36	-100	-50.0	2	262	36	-100	-50.0	2	262	36	-100	-50.0	2	262	36	-100	-50.0	2	262
37	-105	-15.0	7	269	37	-105	-15.0	7	269	37	-105	-15.0	7	269	37	-105	-15.0	7	269
38	-112	-8.0	14	283	38	-112	-8.0	14	283	38	-112	-8.0	14	283	38	-112	-8.0	14	283
39	-100	-50.0	2	285	39	-100	-50.0	2	285	39	-100	-50.0	2	285	39	-100	-50.0	2	285
40	-112	-8.0	14	299	40	-112	-8.0	14	299	40	-112	-8.0	14	299	40	-112	-8.0	14	299
41	-101	-33.666666666666664	3	302	41	-101	-33.666666666666664	3	302	41	-101	-33.666666666666664	3	302	41	-101	-33.666666666666664	3	302
42	-100	-50.0	2	304	42	-100	-50.0	2	304	42	-100	-50.0	2	304	42	-100	-50.0	2	304
43	-100	-50.0	2	306	43	-100	-50.0	2	306	43	-100	-50.0	2	306	43	-100	-50.0	2	306
44	-100	-50.0	2	308	44	-100	-50.0	2	308	44	-100	-50.0	2	308	44	-100	-50.0	2	308
45	-100	-50.0	2	310	45	-100	-50.0	2	310	45	-100	-50.0	2	310	45	-100	-50.0	2	310
46	-101	-33.666666666666664	3	313	46	-101	-33.666666666666664	3	313	46	-101	-33.666666666666664	3	313	46	-101	-33.666666666666664	3	313
47	-109	-9.909090909090908	11	324	47	-109	-9.909090909090908	11	324	47	-109	-9.909090909090908	11	324	47	-109	-9.909090909090908	11	324
48	-104	-17.333333333333332	6	330	48	-104	-17.333333333333332	6	330	48	-104	-17.333333333333332	6	330	48	-104	-17.333333333333332	6	330
49	-100	-50.0	2	332	49	-100	-50.0	2	332	49	-100	-50.0	2	332	49	-100	-50.0	2	332
50	-108	-10.8	10	342	50	-108	-10.8	10	342	50	-108	-10.8	10	342	50	-108	-10.8	10	342
51	-119	-5.666666666666667	21	363	51	-119	-5.666666666666667	21	363	51	-119	-5.666666666666667	21	363	51	-119	-5.666666666666667	21	363
52	-116	-6.444444444444445	18	381	52	-116	-6.444444444444445	18	381	52	-116	-6.444444444444445	18	381	52	-116	-6.444444444444445	18	381
53	-100	-50.0	2	383	53	-100	-50.0	2	383	53	-100	-50.0	2	383	53	-100	-50.0	2	383
