Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2
1	-100	-50.0	2	4	1	-100	-50.0	2	4	1	-100	-50.0	2	4	1	-100	-50.0	2	4	1	-100	-50.0	2	4	1	-100	-50.0	2	4
2	-104	-17.333333333333332	6	10	2	-104	-17.333333333333332	6	10	2	-104	-17.333333333333332	6	10	2	-104	-17.333333333333332	6	10	2	-104	-17.333333333333332	6	10	2	-104	-17.333333333333332	6	10
3	-102	-25.5	4	14	3	-102	-25.5	4	14	3	-102	-25.5	4	14	3	-102	-25.5	4	14	3	-102	-25.5	4	14	3	-102	-25.5	4	14
4	-105	-15.0	7	21	4	-105	-15.0	7	21	4	-105	-15.0	7	21	4	-105	-15.0	7	21	4	-105	-15.0	7	21	4	-105	-15.0	7	21
5	-103	-20.6	5	26	5	-103	-20.6	5	26	5	-103	-20.6	5	26	5	-103	-20.6	5	26	5	-103	-20.6	5	26	5	-103	-20.6	5	26
6	-100	-50.0	2	28	6	-100	-50.0	2	28	6	-100	-50.0	2	28	6	-100	-50.0	2	28	6	-100	-50.0	2	28	6	-100	-50.0	2	28
7	-106	-13.25	8	36	7	-106	-13.25	8	36	7	-106	-13.25	8	36	7	-106	-13.25	8	36	7	-106	-13.25	8	36	7	-106	-13.25	8	36
8	-100	-50.0	2	38	8	-100	-50.0	2	38	8	-100	-50.0	2	38	8	-100	-50.0	2	38	8	-100	-50.0	2	38	8	-100	-50.0	2	38
9	-115	-6.764705882352941	17	55	9	-115	-6.764705882352941	17	55	9	-115	-6.764705882352941	17	55	9	-115	-6.764705882352941	17	55	9	-115	-6.764705882352941	17	55	9	-115	-6.764705882352941	17	55
10	-108	-10.8	10	65	10	-108	-10.8	10	65	10	-108	-10.8	10	65	10	-108	-10.8	10	65	10	-108	-10.8	10	65	10	-108	-10.8	10	65
11	-104	-17.333333333333332	6	71	11	-104	-17.333333333333332	6	71	11	-104	-17.333333333333332	6	71	11	-104	-17.333333333333332	6	71	11	-104	-17.333333333333332	6	71	11	-104	-17.333333333333332	6	71
12	-26	-0.896551724137931	29	100	12	-26	-0.896551724137931	29	100	12	-26	-0.896551724137931	29	100	12	-26	-0.896551724137931	29	100	12	-26	-0.896551724137931	29	100	12	-26	-0.896551724137931	29	100
13	-100	-50.0	2	102	13	-100	-50.0	2	102	13	-100	-50.0	2	102	13	-100	-50.0	2	102	13	-100	-50.0	2	102	13	-100	-50.0	2	102
14	-142	-3.227272727272727	44	146	14	-142	-3.227272727272727	44	146	14	-142	-3.227272727272727	44	146	14	-142	-3.227272727272727	44	146	14	-142	-3.227272727272727	44	146	14	-142	-3.227272727272727	44	146
15	-100	-50.0	2	148	15	-100	-50.0	2	148	15	-100	-50.0	2	148	15	-100	-50.0	2	148	15	-100	-50.0	2	148	15	-100	-50.0	2	148
16	-100	-50.0	2	150	16	-100	-50.0	2	150	16	-100	-50.0	2	150	16	-100	-50.0	2	150	16	-100	-50.0	2	150	16	-100	-50.0	2	150
17	-9	-0.75	12	162	17	-9	-0.75	12	162	17	-9	-0.75	12	162	17	-9	-0.75	12	162	17	-9	-0.75	12	162	17	-9	-0.75	12	162
18	-100	-50.0	2	164	18	-100	-50.0	2	164	18	-100	-50.0	2	164	18	-100	-50.0	2	164	18	-100	-50.0	2	164	18	-100	-50.0	2	164
19	-103	-20.6	5	169	19	-103	-20.6	5	169	19	-103	-20.6	5	169	19	-103	-20.6	5	169	19	-103	-20.6	5	169	19	-103	-20.6	5	169
20	-100	-50.0	2	171	20	-100	-50.0	2	171	20	-100	-50.0	2	171	20	-100	-50.0	2	171	20	-100	-50.0	2	171	20	-100	-50.0	2	171
21	-116	-6.444444444444445	18	189	21	-116	-6.444444444444445	18	189	21	-116	-6.444444444444445	18	189	21	-116	-6.444444444444445	18	189	21	-116	-6.444444444444445	18	189	21	-116	-6.444444444444445	18	189
22	-107	-11.88888888888889	9	198	22	-107	-11.88888888888889	9	198	22	-107	-11.88888888888889	9	198	22	-107	-11.88888888888889	9	198	22	-107	-11.88888888888889	9	198	22	-107	-11.88888888888889	9	198
23	-107	-11.88888888888889	9	207	23	-107	-11.88888888888889	9	207	23	-107	-11.88888888888889	9	207	23	-107	-11.88888888888889	9	207	23	-107	-11.88888888888889	9	207	23	-107	-11.88888888888889	9	207
24	-138	-3.45	40	247	24	-138	-3.45	40	247	24	-138	-3.45	40	247	24	-138	-3.45	40	247	24	-138	-3.45	40	247	24	-138	-3.45	40	247
25	-105	-15.0	7	254	25	-105	-15.0	7	254	25	-105	-15.0	7	254	25	-105	-15.0	7	254	25	-105	-15.0	7	254	25	-105	-15.0	7	254
26	-100	-50.0	2	256	26	-100	-50.0	2	256	26	-100	-50.0	2	256	26	-100	-50.0	2	256	26	-100	-50.0	2	256	26	-100	-50.0	2	256
27	-100	-50.0	2	258	27	-100	-50.0	2	258	27	-100	-50.0	2	258	27	-100	-50.0	2	258	27	-100	-50.0	2	258	27	-100	-50.0	2	258
28	-114	-7.125	16	274	28	-114	-7.125	16	274	28	-114	-7.125	16	274	28	-114	-7.125	16	274	28	-114	-7.125	16	274	28	-114	-7.125	16	274
29	-100	-50.0	2	276	29	-100	-50.0	2	276	29	-100	-50.0	2	276	29	-100	-50.0	2	276	29	-100	-50.0	2	276	29	-100	-50.0	2	276
30	-102	-25.5	4	280	30	-102	-25.5	4	280	30	-102	-25.5	4	280	30	-102	-25.5	4	280	30	-102	-25.5	4	280	30	-102	-25.5	4	280
31	-108	-10.8	10	290	31	-108	-10.8	10	290	31	-108	-10.8	10	290	31	-108	-10.8	10	290	31	-108	-10.8	10	290	31	-108	-10.8	10	290
32	-100	-50.0	2	292	32	-100	-50.0	2	292	32	-100	-50.0	2	292	32	-100	-50.0	2	292	32	-100	-50.0	2	292	32	-100	-50.0	2	292
33	-100	-50.0	2	294	33	-100	-50.0	2	294	33	-100	-50.0	2	294	33	-100	-50.0	2	294	33	-100	-50.0	2	294	33	-100	-50.0	2	294
34	-100	-50.0	2	296	34	-100	-50.0	2	296	34	-100	-50.0	2	296	34	-100	-50.0	2	296	34	-100	-50.0	2	296	34	-100	-50.0	2	296
35	-101	-33.666666666666664	3	299	35	-101	-33.666666666666664	3	299	35	-101	-33.666666666666664	3	299	35	-101	-33.666666666666664	3	299	35	-101	-33.666666666666664	3	299	35	-101	-33.666666666666664	3	299
36	-103	-20.6	5	304	36	-103	-20.6	5	304	36	-103	-20.6	5	304	36	-103	-20.6	5	304	36	-103	-20.6	5	304	36	-103	-20.6	5	304
37	-100	-50.0	2	306	37	-100	-50.0	2	306	37	-100	-50.0	2	306	37	-100	-50.0	2	306	37	-100	-50.0	2	306	37	-100	-50.0	2	306
38	-100	-50.0	2	308	38	-100	-50.0	2	308	38	-100	-50.0	2	308	38	-100	-50.0	2	308	38	-100	-50.0	2	308	38	-100	-50.0	2	308
39	-100	-50.0	2	310	39	-100	-50.0	2	310	39	-100	-50.0	2	310	39	-100	-50.0	2	310	39	-100	-50.0	2	310	39	-100	-50.0	2	310
40	-100	-50.0	2	312	40	-100	-50.0	2	312	40	-100	-50.0	2	312	40	-100	-50.0	2	312	40	-100	-50.0	2	312	40	-100	-50.0	2	312
41	-112	-8.0	14	326	41	-112	-8.0	14	326	41	-112	-8.0	14	326	41	-112	-8.0	14	326	41	-112	-8.0	14	326	41	-112	-8.0	14	326
42	-100	-50.0	2	328	42	-100	-50.0	2	328	42	-100	-50.0	2	328	42	-100	-50.0	2	328	42	-100	-50.0	2	328	42	-100	-50.0	2	328
43	-105	-15.0	7	335	43	-105	-15.0	7	335	43	-105	-15.0	7	335	43	-105	-15.0	7	335	43	-105	-15.0	7	335	43	-105	-15.0	7	335
44	-102	-25.5	4	339	44	-102	-25.5	4	339	44	-102	-25.5	4	339	44	-102	-25.5	4	339	44	-102	-25.5	4	339	44	-102	-25.5	4	339
45	-100	-50.0	2	341	45	-100	-50.0	2	341	45	-100	-50.0	2	341	45	-100	-50.0	2	341	45	-100	-50.0	2	341	45	-100	-50.0	2	341
46	-102	-25.5	4	345	46	-102	-25.5	4	345	46	-102	-25.5	4	345	46	-102	-25.5	4	345	46	-102	-25.5	4	345	46	-102	-25.5	4	345
