Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2
1	-115	-6.764705882352941	17	19	1	-115	-6.764705882352941	17	19	1	-115	-6.764705882352941	17	19	1	-115	-6.764705882352941	17	19	1	-115	-6.764705882352941	17	19	1	-115	-6.764705882352941	17	19	1	-115	-6.764705882352941	17	19	1	-115	-6.764705882352941	17	19
2	-105	-15.0	7	26	2	-105	-15.0	7	26	2	-105	-15.0	7	26	2	-105	-15.0	7	26	2	-105	-15.0	7	26	2	-105	-15.0	7	26	2	-105	-15.0	7	26	2	-105	-15.0	7	26
3	-106	-13.25	8	34	3	-106	-13.25	8	34	3	-106	-13.25	8	34	3	-106	-13.25	8	34	3	-106	-13.25	8	34	3	-106	-13.25	8	34	3	-106	-13.25	8	34	3	-106	-13.25	8	34
4	-100	-50.0	2	36	4	-100	-50.0	2	36	4	-100	-50.0	2	36	4	-100	-50.0	2	36	4	-100	-50.0	2	36	4	-100	-50.0	2	36	4	-100	-50.0	2	36	4	-100	-50.0	2	36
5	-104	-17.333333333333332	6	42	5	-104	-17.333333333333332	6	42	5	-104	-17.333333333333332	6	42	5	-104	-17.333333333333332	6	42	5	-104	-17.333333333333332	6	42	5	-104	-17.333333333333332	6	42	5	-104	-17.333333333333332	6	42	5	-104	-17.333333333333332	6	42
6	-101	-33.666666666666664	3	45	6	-101	-33.666666666666664	3	45	6	-101	-33.666666666666664	3	45	6	-101	-33.666666666666664	3	45	6	-101	-33.666666666666664	3	45	6	-101	-33.666666666666664	3	45	6	-101	-33.666666666666664	3	45	6	-101	-33.666666666666664	3	45
7	-100	-50.0	2	47	7	-100	-50.0	2	47	7	-100	-50.0	2	47	7	-100	-50.0	2	47	7	-100	-50.0	2	47	7	-100	-50.0	2	47	7	-100	-50.0	2	47	7	-100	-50.0	2	47
8	-108	-10.8	10	57	8	-108	-10.8	10	57	8	-108	-10.8	10	57	8	-108	-10.8	10	57	8	-108	-10.8	10	57	8	-108	-10.8	10	57	8	-108	-10.8	10	57	8	-108	-10.8	10	57
9	-102	-25.5	4	61	9	-102	-25.5	4	61	9	-102	-25.5	4	61	9	-102	-25.5	4	61	9	-102	-25.5	4	61	9	-102	-25.5	4	61	9	-102	-25.5	4	61	9	-102	-25.5	4	61
10	-100	-50.0	2	63	10	-100	-50.0	2	63	10	-100	-50.0	2	63	10	-100	-50.0	2	63	10	-100	-50.0	2	63	10	-100	-50.0	2	63	10	-100	-50.0	2	63	10	-100	-50.0	2	63
11	-100	-50.0	2	65	11	-100	-50.0	2	65	11	-100	-50.0	2	65	11	-100	-50.0	2	65	11	-100	-50.0	2	65	11	-100	-50.0	2	65	11	-100	-50.0	2	65	11	-100	-50.0	2	65
12	-100	-50.0	2	67	12	-100	-50.0	2	67	12	-100	-50.0	2	67	12	-100	-50.0	2	67	12	-100	-50.0	2	67	12	-100	-50.0	2	67	12	-100	-50.0	2	67	12	-100	-50.0	2	67
13	-106	-13.25	8	75	13	-106	-13.25	8	75	13	-106	-13.25	8	75	13	-106	-13.25	8	75	13	-106	-13.25	8	75	13	-106	-13.25	8	75	13	-106	-13.25	8	75	13	-106	-13.25	8	75
14	-106	-13.25	8	83	14	-106	-13.25	8	83	14	-106	-13.25	8	83	14	-106	-13.25	8	83	14	-106	-13.25	8	83	14	-106	-13.25	8	83	14	-106	-13.25	8	83	14	-106	-13.25	8	83
15	-104	-17.333333333333332	6	89	15	-104	-17.333333333333332	6	89	15	-104	-17.333333333333332	6	89	15	-104	-17.333333333333332	6	89	15	-104	-17.333333333333332	6	89	15	-104	-17.333333333333332	6	89	15	-104	-17.333333333333332	6	89	15	-104	-17.333333333333332	6	89
