Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-102	-25.5	4	4	0	-102	-25.5	4	4	0	-102	-25.5	4	4	0	-102	-25.5	4	4	0	-102	-25.5	4	4	0	-102	-25.5	4	4	0	-102	-25.5	4	4	0	-102	-25.5	4	4	0	-102	-25.5	4	4
1	-100	-50.0	2	6	1	-100	-50.0	2	6	1	-100	-50.0	2	6	1	-100	-50.0	2	6	1	-100	-50.0	2	6	1	-100	-50.0	2	6	1	-100	-50.0	2	6	1	-100	-50.0	2	6	1	-100	-50.0	2	6
2	-101	-33.666666666666664	3	9	2	-101	-33.666666666666664	3	9	2	-101	-33.666666666666664	3	9	2	-101	-33.666666666666664	3	9	2	-101	-33.666666666666664	3	9	2	-101	-33.666666666666664	3	9	2	-101	-33.666666666666664	3	9	2	-101	-33.666666666666664	3	9	2	-101	-33.666666666666664	3	9
3	-100	-50.0	2	11	3	-100	-50.0	2	11	3	-100	-50.0	2	11	3	-100	-50.0	2	11	3	-100	-50.0	2	11	3	-100	-50.0	2	11	3	-100	-50.0	2	11	3	-100	-50.0	2	11	3	-100	-50.0	2	11
4	-10	-0.7692307692307693	13	24	4	-10	-0.7692307692307693	13	24	4	-10	-0.7692307692307693	13	24	4	-10	-0.7692307692307693	13	24	4	-10	-0.7692307692307693	13	24	4	-10	-0.7692307692307693	13	24	4	-10	-0.7692307692307693	13	24	4	-10	-0.7692307692307693	13	24	4	-10	-0.7692307692307693	13	24
5	-100	-50.0	2	26	5	-100	-50.0	2	26	5	-100	-50.0	2	26	5	-100	-50.0	2	26	5	-100	-50.0	2	26	5	-100	-50.0	2	26	5	-100	-50.0	2	26	5	-100	-50.0	2	26	5	-100	-50.0	2	26
6	-119	-5.666666666666667	21	47	6	-119	-5.666666666666667	21	47	6	-119	-5.666666666666667	21	47	6	-119	-5.666666666666667	21	47	6	-119	-5.666666666666667	21	47	6	-119	-5.666666666666667	21	47	6	-119	-5.666666666666667	21	47	6	-119	-5.666666666666667	21	47	6	-119	-5.666666666666667	21	47
7	-103	-20.6	5	52	7	-103	-20.6	5	52	7	-103	-20.6	5	52	7	-103	-20.6	5	52	7	-103	-20.6	5	52	7	-103	-20.6	5	52	7	-103	-20.6	5	52	7	-103	-20.6	5	52	7	-103	-20.6	5	52
8	-100	-50.0	2	54	8	-100	-50.0	2	54	8	-100	-50.0	2	54	8	-100	-50.0	2	54	8	-100	-50.0	2	54	8	-100	-50.0	2	54	8	-100	-50.0	2	54	8	-100	-50.0	2	54	8	-100	-50.0	2	54
9	-100	-50.0	2	56	9	-100	-50.0	2	56	9	-100	-50.0	2	56	9	-100	-50.0	2	56	9	-100	-50.0	2	56	9	-100	-50.0	2	56	9	-100	-50.0	2	56	9	-100	-50.0	2	56	9	-100	-50.0	2	56
10	-116	-6.444444444444445	18	74	10	-116	-6.444444444444445	18	74	10	-116	-6.444444444444445	18	74	10	-116	-6.444444444444445	18	74	10	-116	-6.444444444444445	18	74	10	-116	-6.444444444444445	18	74	10	-116	-6.444444444444445	18	74	10	-116	-6.444444444444445	18	74	10	-116	-6.444444444444445	18	74
11	-7	-0.7	10	84	11	-7	-0.7	10	84	11	-7	-0.7	10	84	11	-7	-0.7	10	84	11	-7	-0.7	10	84	11	-7	-0.7	10	84	11	-7	-0.7	10	84	11	-7	-0.7	10	84	11	-7	-0.7	10	84
12	-109	-9.909090909090908	11	95	12	-109	-9.909090909090908	11	95	12	-109	-9.909090909090908	11	95	12	-109	-9.909090909090908	11	95	12	-109	-9.909090909090908	11	95	12	-109	-9.909090909090908	11	95	12	-109	-9.909090909090908	11	95	12	-109	-9.909090909090908	11	95	12	-109	-9.909090909090908	11	95
13	-119	-5.666666666666667	21	116	13	-119	-5.666666666666667	21	116	13	-119	-5.666666666666667	21	116	13	-119	-5.666666666666667	21	116	13	-119	-5.666666666666667	21	116	13	-119	-5.666666666666667	21	116	13	-119	-5.666666666666667	21	116	13	-119	-5.666666666666667	21	116	13	-119	-5.666666666666667	21	116
14	-117	-6.157894736842105	19	135	14	-117	-6.157894736842105	19	135	14	-117	-6.157894736842105	19	135	14	-117	-6.157894736842105	19	135	14	-117	-6.157894736842105	19	135	14	-117	-6.157894736842105	19	135	14	-117	-6.157894736842105	19	135	14	-117	-6.157894736842105	19	135	14	-117	-6.157894736842105	19	135
