Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-109	-9.909090909090908	11	11	0	-109	-9.909090909090908	11	11	0	-109	-9.909090909090908	11	11	0	-109	-9.909090909090908	11	11	0	-109	-9.909090909090908	11	11	0	-109	-9.909090909090908	11	11	0	-109	-9.909090909090908	11	11	0	-109	-9.909090909090908	11	11	0	-109	-9.909090909090908	11	11	0	-109	-9.909090909090908	11	11	0	-109	-9.909090909090908	11	11	0	-109	-9.909090909090908	11	11	0	-109	-9.909090909090908	11	11
1	-102	-25.5	4	15	1	-102	-25.5	4	15	1	-102	-25.5	4	15	1	-102	-25.5	4	15	1	-102	-25.5	4	15	1	-102	-25.5	4	15	1	-102	-25.5	4	15	1	-102	-25.5	4	15	1	-102	-25.5	4	15	1	-102	-25.5	4	15	1	-102	-25.5	4	15	1	-102	-25.5	4	15	1	-102	-25.5	4	15
2	-100	-50.0	2	17	2	-100	-50.0	2	17	2	-100	-50.0	2	17	2	-100	-50.0	2	17	2	-100	-50.0	2	17	2	-100	-50.0	2	17	2	-100	-50.0	2	17	2	-100	-50.0	2	17	2	-100	-50.0	2	17	2	-100	-50.0	2	17	2	-100	-50.0	2	17	2	-100	-50.0	2	17	2	-100	-50.0	2	17
3	-104	-17.333333333333332	6	23	3	-104	-17.333333333333332	6	23	3	-104	-17.333333333333332	6	23	3	-104	-17.333333333333332	6	23	3	-104	-17.333333333333332	6	23	3	-104	-17.333333333333332	6	23	3	-104	-17.333333333333332	6	23	3	-104	-17.333333333333332	6	23	3	-104	-17.333333333333332	6	23	3	-104	-17.333333333333332	6	23	3	-104	-17.333333333333332	6	23	3	-104	-17.333333333333332	6	23	3	-104	-17.333333333333332	6	23
4	-119	-5.666666666666667	21	44	4	-119	-5.666666666666667	21	44	4	-119	-5.666666666666667	21	44	4	-119	-5.666666666666667	21	44	4	-119	-5.666666666666667	21	44	4	-119	-5.666666666666667	21	44	4	-119	-5.666666666666667	21	44	4	-119	-5.666666666666667	21	44	4	-119	-5.666666666666667	21	44	4	-119	-5.666666666666667	21	44	4	-119	-5.666666666666667	21	44	4	-119	-5.666666666666667	21	44	4	-119	-5.666666666666667	21	44
5	-111	-8.538461538461538	13	57	5	-111	-8.538461538461538	13	57	5	-111	-8.538461538461538	13	57	5	-111	-8.538461538461538	13	57	5	-111	-8.538461538461538	13	57	5	-111	-8.538461538461538	13	57	5	-111	-8.538461538461538	13	57	5	-111	-8.538461538461538	13	57	5	-111	-8.538461538461538	13	57	5	-111	-8.538461538461538	13	57	5	-111	-8.538461538461538	13	57	5	-111	-8.538461538461538	13	57	5	-111	-8.538461538461538	13	57
6	-130	-4.0625	32	89	6	-130	-4.0625	32	89	6	-130	-4.0625	32	89	6	-130	-4.0625	32	89	6	-130	-4.0625	32	89	6	-130	-4.0625	32	89	6	-130	-4.0625	32	89	6	-130	-4.0625	32	89	6	-130	-4.0625	32	89	6	-130	-4.0625	32	89	6	-130	-4.0625	32	89	6	-130	-4.0625	32	89	6	-130	-4.0625	32	89
7	-105	-15.0	7	96	7	-105	-15.0	7	96	7	-105	-15.0	7	96	7	-105	-15.0	7	96	7	-105	-15.0	7	96	7	-105	-15.0	7	96	7	-105	-15.0	7	96	7	-105	-15.0	7	96	7	-105	-15.0	7	96	7	-105	-15.0	7	96	7	-105	-15.0	7	96	7	-105	-15.0	7	96	7	-105	-15.0	7	96
8	-148	-2.96	50	146	8	-148	-2.96	50	146	8	-148	-2.96	50	146	8	-148	-2.96	50	146	8	-148	-2.96	50	146	8	-148	-2.96	50	146	8	-148	-2.96	50	146	8	-148	-2.96	50	146	8	-148	-2.96	50	146	8	-148	-2.96	50	146	8	-148	-2.96	50	146	8	-148	-2.96	50	146	8	-148	-2.96	50	146
9	-102	-25.5	4	150	9	-102	-25.5	4	150	9	-102	-25.5	4	150	9	-102	-25.5	4	150	9	-102	-25.5	4	150	9	-102	-25.5	4	150	9	-102	-25.5	4	150	9	-102	-25.5	4	150	9	-102	-25.5	4	150	9	-102	-25.5	4	150	9	-102	-25.5	4	150	9	-102	-25.5	4	150	9	-102	-25.5	4	150
