Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2
1	-137	-3.5128205128205128	39	41	1	-137	-3.5128205128205128	39	41	1	-137	-3.5128205128205128	39	41	1	-137	-3.5128205128205128	39	41	1	-137	-3.5128205128205128	39	41	1	-137	-3.5128205128205128	39	41	1	-137	-3.5128205128205128	39	41	1	-137	-3.5128205128205128	39	41	1	-137	-3.5128205128205128	39	41	1	-137	-3.5128205128205128	39	41	1	-137	-3.5128205128205128	39	41	1	-137	-3.5128205128205128	39	41	1	-137	-3.5128205128205128	39	41	1	-137	-3.5128205128205128	39	41
2	-116	-6.444444444444445	18	59	2	-116	-6.444444444444445	18	59	2	-116	-6.444444444444445	18	59	2	-116	-6.444444444444445	18	59	2	-116	-6.444444444444445	18	59	2	-116	-6.444444444444445	18	59	2	-116	-6.444444444444445	18	59	2	-116	-6.444444444444445	18	59	2	-116	-6.444444444444445	18	59	2	-116	-6.444444444444445	18	59	2	-116	-6.444444444444445	18	59	2	-116	-6.444444444444445	18	59	2	-116	-6.444444444444445	18	59	2	-116	-6.444444444444445	18	59
3	-100	-50.0	2	61	3	-100	-50.0	2	61	3	-100	-50.0	2	61	3	-100	-50.0	2	61	3	-100	-50.0	2	61	3	-100	-50.0	2	61	3	-100	-50.0	2	61	3	-100	-50.0	2	61	3	-100	-50.0	2	61	3	-100	-50.0	2	61	3	-100	-50.0	2	61	3	-100	-50.0	2	61	3	-100	-50.0	2	61	3	-100	-50.0	2	61
4	-100	-50.0	2	63	4	-100	-50.0	2	63	4	-100	-50.0	2	63	4	-100	-50.0	2	63	4	-100	-50.0	2	63	4	-100	-50.0	2	63	4	-100	-50.0	2	63	4	-100	-50.0	2	63	4	-100	-50.0	2	63	4	-100	-50.0	2	63	4	-100	-50.0	2	63	4	-100	-50.0	2	63	4	-100	-50.0	2	63	4	-100	-50.0	2	63
5	-105	-15.0	7	70	5	-105	-15.0	7	70	5	-105	-15.0	7	70	5	-105	-15.0	7	70	5	-105	-15.0	7	70	5	-105	-15.0	7	70	5	-105	-15.0	7	70	5	-105	-15.0	7	70	5	-105	-15.0	7	70	5	-105	-15.0	7	70	5	-105	-15.0	7	70	5	-105	-15.0	7	70	5	-105	-15.0	7	70	5	-105	-15.0	7	70
6	-100	-50.0	2	72	6	-100	-50.0	2	72	6	-100	-50.0	2	72	6	-100	-50.0	2	72	6	-100	-50.0	2	72	6	-100	-50.0	2	72	6	-100	-50.0	2	72	6	-100	-50.0	2	72	6	-100	-50.0	2	72	6	-100	-50.0	2	72	6	-100	-50.0	2	72	6	-100	-50.0	2	72	6	-100	-50.0	2	72	6	-100	-50.0	2	72
7	-100	-50.0	2	74	7	-100	-50.0	2	74	7	-100	-50.0	2	74	7	-100	-50.0	2	74	7	-100	-50.0	2	74	7	-100	-50.0	2	74	7	-100	-50.0	2	74	7	-100	-50.0	2	74	7	-100	-50.0	2	74	7	-100	-50.0	2	74	7	-100	-50.0	2	74	7	-100	-50.0	2	74	7	-100	-50.0	2	74	7	-100	-50.0	2	74
8	-112	-8.0	14	88	8	-112	-8.0	14	88	8	-112	-8.0	14	88	8	-112	-8.0	14	88	8	-112	-8.0	14	88	8	-112	-8.0	14	88	8	-112	-8.0	14	88	8	-112	-8.0	14	88	8	-112	-8.0	14	88	8	-112	-8.0	14	88	8	-112	-8.0	14	88	8	-112	-8.0	14	88	8	-112	-8.0	14	88	8	-112	-8.0	14	88
9	-100	-50.0	2	90	9	-100	-50.0	2	90	9	-100	-50.0	2	90	9	-100	-50.0	2	90	9	-100	-50.0	2	90	9	-100	-50.0	2	90	9	-100	-50.0	2	90	9	-100	-50.0	2	90	9	-100	-50.0	2	90	9	-100	-50.0	2	90	9	-100	-50.0	2	90	9	-100	-50.0	2	90	9	-100	-50.0	2	90	9	-100	-50.0	2	90
