Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-143	-3.1777777777777776	45	45	0	-143	-3.1777777777777776	45	45	0	-143	-3.1777777777777776	45	45	0	-143	-3.1777777777777776	45	45	0	-143	-3.1777777777777776	45	45	0	-143	-3.1777777777777776	45	45	0	-143	-3.1777777777777776	45	45	0	-143	-3.1777777777777776	45	45	0	-143	-3.1777777777777776	45	45	0	-143	-3.1777777777777776	45	45	0	-143	-3.1777777777777776	45	45	0	-143	-3.1777777777777776	45	45	0	-143	-3.1777777777777776	45	45	0	-143	-3.1777777777777776	45	45	0	-143	-3.1777777777777776	45	45
1	-145	-3.0851063829787235	47	92	1	-145	-3.0851063829787235	47	92	1	-145	-3.0851063829787235	47	92	1	-145	-3.0851063829787235	47	92	1	-145	-3.0851063829787235	47	92	1	-145	-3.0851063829787235	47	92	1	-145	-3.0851063829787235	47	92	1	-145	-3.0851063829787235	47	92	1	-145	-3.0851063829787235	47	92	1	-145	-3.0851063829787235	47	92	1	-145	-3.0851063829787235	47	92	1	-145	-3.0851063829787235	47	92	1	-145	-3.0851063829787235	47	92	1	-145	-3.0851063829787235	47	92	1	-145	-3.0851063829787235	47	92
2	-100	-50.0	2	94	2	-100	-50.0	2	94	2	-100	-50.0	2	94	2	-100	-50.0	2	94	2	-100	-50.0	2	94	2	-100	-50.0	2	94	2	-100	-50.0	2	94	2	-100	-50.0	2	94	2	-100	-50.0	2	94	2	-100	-50.0	2	94	2	-100	-50.0	2	94	2	-100	-50.0	2	94	2	-100	-50.0	2	94	2	-100	-50.0	2	94	2	-100	-50.0	2	94
3	-110	-9.166666666666666	12	106	3	-110	-9.166666666666666	12	106	3	-110	-9.166666666666666	12	106	3	-110	-9.166666666666666	12	106	3	-110	-9.166666666666666	12	106	3	-110	-9.166666666666666	12	106	3	-110	-9.166666666666666	12	106	3	-110	-9.166666666666666	12	106	3	-110	-9.166666666666666	12	106	3	-110	-9.166666666666666	12	106	3	-110	-9.166666666666666	12	106	3	-110	-9.166666666666666	12	106	3	-110	-9.166666666666666	12	106	3	-110	-9.166666666666666	12	106	3	-110	-9.166666666666666	12	106
4	-100	-50.0	2	108	4	-100	-50.0	2	108	4	-100	-50.0	2	108	4	-100	-50.0	2	108	4	-100	-50.0	2	108	4	-100	-50.0	2	108	4	-100	-50.0	2	108	4	-100	-50.0	2	108	4	-100	-50.0	2	108	4	-100	-50.0	2	108	4	-100	-50.0	2	108	4	-100	-50.0	2	108	4	-100	-50.0	2	108	4	-100	-50.0	2	108	4	-100	-50.0	2	108
5	-121	-5.260869565217392	23	131	5	-121	-5.260869565217392	23	131	5	-121	-5.260869565217392	23	131	5	-121	-5.260869565217392	23	131	5	-121	-5.260869565217392	23	131	5	-121	-5.260869565217392	23	131	5	-121	-5.260869565217392	23	131	5	-121	-5.260869565217392	23	131	5	-121	-5.260869565217392	23	131	5	-121	-5.260869565217392	23	131	5	-121	-5.260869565217392	23	131	5	-121	-5.260869565217392	23	131	5	-121	-5.260869565217392	23	131	5	-121	-5.260869565217392	23	131	5	-121	-5.260869565217392	23	131
6	-100	-50.0	2	133	6	-100	-50.0	2	133	6	-100	-50.0	2	133	6	-100	-50.0	2	133	6	-100	-50.0	2	133	6	-100	-50.0	2	133	6	-100	-50.0	2	133	6	-100	-50.0	2	133	6	-100	-50.0	2	133	6	-100	-50.0	2	133	6	-100	-50.0	2	133	6	-100	-50.0	2	133	6	-100	-50.0	2	133	6	-100	-50.0	2	133	6	-100	-50.0	2	133
7	-101	-33.666666666666664	3	136	7	-101	-33.666666666666664	3	136	7	-101	-33.666666666666664	3	136	7	-101	-33.666666666666664	3	136	7	-101	-33.666666666666664	3	136	7	-101	-33.666666666666664	3	136	7	-101	-33.666666666666664	3	136	7	-101	-33.666666666666664	3	136	7	-101	-33.666666666666664	3	136	7	-101	-33.666666666666664	3	136	7	-101	-33.666666666666664	3	136	7	-101	-33.666666666666664	3	136	7	-101	-33.666666666666664	3	136	7	-101	-33.666666666666664	3	136	7	-101	-33.666666666666664	3	136
8	-101	-33.666666666666664	3	139	8	-101	-33.666666666666664	3	139	8	-101	-33.666666666666664	3	139	8	-101	-33.666666666666664	3	139	8	-101	-33.666666666666664	3	139	8	-101	-33.666666666666664	3	139	8	-101	-33.666666666666664	3	139	8	-101	-33.666666666666664	3	139	8	-101	-33.666666666666664	3	139	8	-101	-33.666666666666664	3	139	8	-101	-33.666666666666664	3	139	8	-101	-33.666666666666664	3	139	8	-101	-33.666666666666664	3	139	8	-101	-33.666666666666664	3	139	8	-101	-33.666666666666664	3	139
9	-106	-13.25	8	147	9	-106	-13.25	8	147	9	-106	-13.25	8	147	9	-106	-13.25	8	147	9	-106	-13.25	8	147	9	-106	-13.25	8	147	9	-106	-13.25	8	147	9	-106	-13.25	8	147	9	-106	-13.25	8	147	9	-106	-13.25	8	147	9	-106	-13.25	8	147	9	-106	-13.25	8	147	9	-106	-13.25	8	147	9	-106	-13.25	8	147	9	-106	-13.25	8	147
10	-149	-2.9215686274509802	51	198	10	-149	-2.9215686274509802	51	198	10	-149	-2.9215686274509802	51	198	10	-149	-2.9215686274509802	51	198	10	-149	-2.9215686274509802	51	198	10	-149	-2.9215686274509802	51	198	10	-149	-2.9215686274509802	51	198	10	-149	-2.9215686274509802	51	198	10	-149	-2.9215686274509802	51	198	10	-149	-2.9215686274509802	51	198	10	-149	-2.9215686274509802	51	198	10	-149	-2.9215686274509802	51	198	10	-149	-2.9215686274509802	51	198	10	-149	-2.9215686274509802	51	198	10	-149	-2.9215686274509802	51	198
11	-100	-50.0	2	200	11	-100	-50.0	2	200	11	-100	-50.0	2	200	11	-100	-50.0	2	200	11	-100	-50.0	2	200	11	-100	-50.0	2	200	11	-100	-50.0	2	200	11	-100	-50.0	2	200	11	-100	-50.0	2	200	11	-100	-50.0	2	200	11	-100	-50.0	2	200	11	-100	-50.0	2	200	11	-100	-50.0	2	200	11	-100	-50.0	2	200	11	-100	-50.0	2	200
12	-100	-0.970873786407767	103	303	12	-100	-0.970873786407767	103	303	12	-100	-0.970873786407767	103	303	12	-100	-0.970873786407767	103	303	12	-100	-0.970873786407767	103	303	12	-100	-0.970873786407767	103	303	12	-100	-0.970873786407767	103	303	12	-100	-0.970873786407767	103	303	12	-100	-0.970873786407767	103	303	12	-100	-0.970873786407767	103	303	12	-100	-0.970873786407767	103	303	12	-100	-0.970873786407767	103	303	12	-100	-0.970873786407767	103	303	12	-100	-0.970873786407767	103	303	12	-100	-0.970873786407767	103	303
13	-100	-50.0	2	305	13	-100	-50.0	2	305	13	-100	-50.0	2	305	13	-100	-50.0	2	305	13	-100	-50.0	2	305	13	-100	-50.0	2	305	13	-100	-50.0	2	305	13	-100	-50.0	2	305	13	-100	-50.0	2	305	13	-100	-50.0	2	305	13	-100	-50.0	2	305	13	-100	-50.0	2	305	13	-100	-50.0	2	305	13	-100	-50.0	2	305	13	-100	-50.0	2	305
14	-118	-5.9	20	325	14	-118	-5.9	20	325	14	-118	-5.9	20	325	14	-118	-5.9	20	325	14	-118	-5.9	20	325	14	-118	-5.9	20	325	14	-118	-5.9	20	325	14	-118	-5.9	20	325	14	-118	-5.9	20	325	14	-118	-5.9	20	325	14	-118	-5.9	20	325	14	-118	-5.9	20	325	14	-118	-5.9	20	325	14	-118	-5.9	20	325	14	-118	-5.9	20	325
15	-109	-9.909090909090908	11	336	15	-109	-9.909090909090908	11	336	15	-109	-9.909090909090908	11	336	15	-109	-9.909090909090908	11	336	15	-109	-9.909090909090908	11	336	15	-109	-9.909090909090908	11	336	15	-109	-9.909090909090908	11	336	15	-109	-9.909090909090908	11	336	15	-109	-9.909090909090908	11	336	15	-109	-9.909090909090908	11	336	15	-109	-9.909090909090908	11	336	15	-109	-9.909090909090908	11	336	15	-109	-9.909090909090908	11	336	15	-109	-9.909090909090908	11	336	15	-109	-9.909090909090908	11	336
16	-125	-4.62962962962963	27	363	16	-125	-4.62962962962963	27	363	16	-125	-4.62962962962963	27	363	16	-125	-4.62962962962963	27	363	16	-125	-4.62962962962963	27	363	16	-125	-4.62962962962963	27	363	16	-125	-4.62962962962963	27	363	16	-125	-4.62962962962963	27	363	16	-125	-4.62962962962963	27	363	16	-125	-4.62962962962963	27	363	16	-125	-4.62962962962963	27	363	16	-125	-4.62962962962963	27	363	16	-125	-4.62962962962963	27	363	16	-125	-4.62962962962963	27	363	16	-125	-4.62962962962963	27	363
17	-161	-2.5555555555555554	63	426	17	-161	-2.5555555555555554	63	426	17	-161	-2.5555555555555554	63	426	17	-161	-2.5555555555555554	63	426	17	-161	-2.5555555555555554	63	426	17	-161	-2.5555555555555554	63	426	17	-161	-2.5555555555555554	63	426	17	-161	-2.5555555555555554	63	426	17	-161	-2.5555555555555554	63	426	17	-161	-2.5555555555555554	63	426	17	-161	-2.5555555555555554	63	426	17	-161	-2.5555555555555554	63	426	17	-161	-2.5555555555555554	63	426	17	-161	-2.5555555555555554	63	426	17	-161	-2.5555555555555554	63	426
