Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6
1	-100	-50.0	2	8	1	-100	-50.0	2	8	1	-100	-50.0	2	8	1	-100	-50.0	2	8	1	-100	-50.0	2	8	1	-100	-50.0	2	8	1	-100	-50.0	2	8	1	-100	-50.0	2	8	1	-100	-50.0	2	8	1	-100	-50.0	2	8	1	-100	-50.0	2	8	1	-100	-50.0	2	8	1	-100	-50.0	2	8	1	-100	-50.0	2	8	1	-100	-50.0	2	8	1	-100	-50.0	2	8
2	-127	-4.379310344827586	29	37	2	-127	-4.379310344827586	29	37	2	-127	-4.379310344827586	29	37	2	-127	-4.379310344827586	29	37	2	-127	-4.379310344827586	29	37	2	-127	-4.379310344827586	29	37	2	-127	-4.379310344827586	29	37	2	-127	-4.379310344827586	29	37	2	-127	-4.379310344827586	29	37	2	-127	-4.379310344827586	29	37	2	-127	-4.379310344827586	29	37	2	-127	-4.379310344827586	29	37	2	-127	-4.379310344827586	29	37	2	-127	-4.379310344827586	29	37	2	-127	-4.379310344827586	29	37	2	-127	-4.379310344827586	29	37
3	-100	-50.0	2	39	3	-100	-50.0	2	39	3	-100	-50.0	2	39	3	-100	-50.0	2	39	3	-100	-50.0	2	39	3	-100	-50.0	2	39	3	-100	-50.0	2	39	3	-100	-50.0	2	39	3	-100	-50.0	2	39	3	-100	-50.0	2	39	3	-100	-50.0	2	39	3	-100	-50.0	2	39	3	-100	-50.0	2	39	3	-100	-50.0	2	39	3	-100	-50.0	2	39	3	-100	-50.0	2	39
4	-112	-8.0	14	53	4	-112	-8.0	14	53	4	-112	-8.0	14	53	4	-112	-8.0	14	53	4	-112	-8.0	14	53	4	-112	-8.0	14	53	4	-112	-8.0	14	53	4	-112	-8.0	14	53	4	-112	-8.0	14	53	4	-112	-8.0	14	53	4	-112	-8.0	14	53	4	-112	-8.0	14	53	4	-112	-8.0	14	53	4	-112	-8.0	14	53	4	-112	-8.0	14	53	4	-112	-8.0	14	53
5	-100	-50.0	2	55	5	-100	-50.0	2	55	5	-100	-50.0	2	55	5	-100	-50.0	2	55	5	-100	-50.0	2	55	5	-100	-50.0	2	55	5	-100	-50.0	2	55	5	-100	-50.0	2	55	5	-100	-50.0	2	55	5	-100	-50.0	2	55	5	-100	-50.0	2	55	5	-100	-50.0	2	55	5	-100	-50.0	2	55	5	-100	-50.0	2	55	5	-100	-50.0	2	55	5	-100	-50.0	2	55
6	-101	-33.666666666666664	3	58	6	-101	-33.666666666666664	3	58	6	-101	-33.666666666666664	3	58	6	-101	-33.666666666666664	3	58	6	-101	-33.666666666666664	3	58	6	-101	-33.666666666666664	3	58	6	-101	-33.666666666666664	3	58	6	-101	-33.666666666666664	3	58	6	-101	-33.666666666666664	3	58	6	-101	-33.666666666666664	3	58	6	-101	-33.666666666666664	3	58	6	-101	-33.666666666666664	3	58	6	-101	-33.666666666666664	3	58	6	-101	-33.666666666666664	3	58	6	-101	-33.666666666666664	3	58	6	-101	-33.666666666666664	3	58
7	-100	-50.0	2	60	7	-100	-50.0	2	60	7	-100	-50.0	2	60	7	-100	-50.0	2	60	7	-100	-50.0	2	60	7	-100	-50.0	2	60	7	-100	-50.0	2	60	7	-100	-50.0	2	60	7	-100	-50.0	2	60	7	-100	-50.0	2	60	7	-100	-50.0	2	60	7	-100	-50.0	2	60	7	-100	-50.0	2	60	7	-100	-50.0	2	60	7	-100	-50.0	2	60	7	-100	-50.0	2	60
8	-32	-0.9142857142857143	35	95	8	-32	-0.9142857142857143	35	95	8	-32	-0.9142857142857143	35	95	8	-32	-0.9142857142857143	35	95	8	-32	-0.9142857142857143	35	95	8	-32	-0.9142857142857143	35	95	8	-32	-0.9142857142857143	35	95	8	-32	-0.9142857142857143	35	95	8	-32	-0.9142857142857143	35	95	8	-32	-0.9142857142857143	35	95	8	-32	-0.9142857142857143	35	95	8	-32	-0.9142857142857143	35	95	8	-32	-0.9142857142857143	35	95	8	-32	-0.9142857142857143	35	95	8	-32	-0.9142857142857143	35	95	8	-32	-0.9142857142857143	35	95
9	-100	-50.0	2	97	9	-100	-50.0	2	97	9	-100	-50.0	2	97	9	-100	-50.0	2	97	9	-100	-50.0	2	97	9	-100	-50.0	2	97	9	-100	-50.0	2	97	9	-100	-50.0	2	97	9	-100	-50.0	2	97	9	-100	-50.0	2	97	9	-100	-50.0	2	97	9	-100	-50.0	2	97	9	-100	-50.0	2	97	9	-100	-50.0	2	97	9	-100	-50.0	2	97	9	-100	-50.0	2	97
