Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6	0	-104	-17.333333333333332	6	6
1	-122	-5.083333333333333	24	30	1	-122	-5.083333333333333	24	30	1	-122	-5.083333333333333	24	30	1	-122	-5.083333333333333	24	30	1	-122	-5.083333333333333	24	30	1	-122	-5.083333333333333	24	30	1	-122	-5.083333333333333	24	30	1	-122	-5.083333333333333	24	30	1	-122	-5.083333333333333	24	30	1	-122	-5.083333333333333	24	30	1	-122	-5.083333333333333	24	30	1	-122	-5.083333333333333	24	30	1	-122	-5.083333333333333	24	30	1	-122	-5.083333333333333	24	30	1	-122	-5.083333333333333	24	30	1	-122	-5.083333333333333	24	30	1	-122	-5.083333333333333	24	30
2	-100	-50.0	2	32	2	-100	-50.0	2	32	2	-100	-50.0	2	32	2	-100	-50.0	2	32	2	-100	-50.0	2	32	2	-100	-50.0	2	32	2	-100	-50.0	2	32	2	-100	-50.0	2	32	2	-100	-50.0	2	32	2	-100	-50.0	2	32	2	-100	-50.0	2	32	2	-100	-50.0	2	32	2	-100	-50.0	2	32	2	-100	-50.0	2	32	2	-100	-50.0	2	32	2	-100	-50.0	2	32	2	-100	-50.0	2	32
3	-100	-50.0	2	34	3	-100	-50.0	2	34	3	-100	-50.0	2	34	3	-100	-50.0	2	34	3	-100	-50.0	2	34	3	-100	-50.0	2	34	3	-100	-50.0	2	34	3	-100	-50.0	2	34	3	-100	-50.0	2	34	3	-100	-50.0	2	34	3	-100	-50.0	2	34	3	-100	-50.0	2	34	3	-100	-50.0	2	34	3	-100	-50.0	2	34	3	-100	-50.0	2	34	3	-100	-50.0	2	34	3	-100	-50.0	2	34
4	-137	-3.5128205128205128	39	73	4	-137	-3.5128205128205128	39	73	4	-137	-3.5128205128205128	39	73	4	-137	-3.5128205128205128	39	73	4	-137	-3.5128205128205128	39	73	4	-137	-3.5128205128205128	39	73	4	-137	-3.5128205128205128	39	73	4	-137	-3.5128205128205128	39	73	4	-137	-3.5128205128205128	39	73	4	-137	-3.5128205128205128	39	73	4	-137	-3.5128205128205128	39	73	4	-137	-3.5128205128205128	39	73	4	-137	-3.5128205128205128	39	73	4	-137	-3.5128205128205128	39	73	4	-137	-3.5128205128205128	39	73	4	-137	-3.5128205128205128	39	73	4	-137	-3.5128205128205128	39	73
5	-120	-5.454545454545454	22	95	5	-120	-5.454545454545454	22	95	5	-120	-5.454545454545454	22	95	5	-120	-5.454545454545454	22	95	5	-120	-5.454545454545454	22	95	5	-120	-5.454545454545454	22	95	5	-120	-5.454545454545454	22	95	5	-120	-5.454545454545454	22	95	5	-120	-5.454545454545454	22	95	5	-120	-5.454545454545454	22	95	5	-120	-5.454545454545454	22	95	5	-120	-5.454545454545454	22	95	5	-120	-5.454545454545454	22	95	5	-120	-5.454545454545454	22	95	5	-120	-5.454545454545454	22	95	5	-120	-5.454545454545454	22	95	5	-120	-5.454545454545454	22	95
6	-101	-33.666666666666664	3	98	6	-101	-33.666666666666664	3	98	6	-101	-33.666666666666664	3	98	6	-101	-33.666666666666664	3	98	6	-101	-33.666666666666664	3	98	6	-101	-33.666666666666664	3	98	6	-101	-33.666666666666664	3	98	6	-101	-33.666666666666664	3	98	6	-101	-33.666666666666664	3	98	6	-101	-33.666666666666664	3	98	6	-101	-33.666666666666664	3	98	6	-101	-33.666666666666664	3	98	6	-101	-33.666666666666664	3	98	6	-101	-33.666666666666664	3	98	6	-101	-33.666666666666664	3	98	6	-101	-33.666666666666664	3	98	6	-101	-33.666666666666664	3	98
7	-100	-50.0	2	100	7	-100	-50.0	2	100	7	-100	-50.0	2	100	7	-100	-50.0	2	100	7	-100	-50.0	2	100	7	-100	-50.0	2	100	7	-100	-50.0	2	100	7	-100	-50.0	2	100	7	-100	-50.0	2	100	7	-100	-50.0	2	100	7	-100	-50.0	2	100	7	-100	-50.0	2	100	7	-100	-50.0	2	100	7	-100	-50.0	2	100	7	-100	-50.0	2	100	7	-100	-50.0	2	100	7	-100	-50.0	2	100
8	-100	-50.0	2	102	8	-100	-50.0	2	102	8	-100	-50.0	2	102	8	-100	-50.0	2	102	8	-100	-50.0	2	102	8	-100	-50.0	2	102	8	-100	-50.0	2	102	8	-100	-50.0	2	102	8	-100	-50.0	2	102	8	-100	-50.0	2	102	8	-100	-50.0	2	102	8	-100	-50.0	2	102	8	-100	-50.0	2	102	8	-100	-50.0	2	102	8	-100	-50.0	2	102	8	-100	-50.0	2	102	8	-100	-50.0	2	102
9	-118	-5.9	20	122	9	-118	-5.9	20	122	9	-118	-5.9	20	122	9	-118	-5.9	20	122	9	-118	-5.9	20	122	9	-118	-5.9	20	122	9	-118	-5.9	20	122	9	-118	-5.9	20	122	9	-118	-5.9	20	122	9	-118	-5.9	20	122	9	-118	-5.9	20	122	9	-118	-5.9	20	122	9	-118	-5.9	20	122	9	-118	-5.9	20	122	9	-118	-5.9	20	122	9	-118	-5.9	20	122	9	-118	-5.9	20	122
