Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-178	-2.225	80	80	0	-178	-2.225	80	80	0	-178	-2.225	80	80	0	-178	-2.225	80	80	0	-178	-2.225	80	80	0	-178	-2.225	80	80	0	-178	-2.225	80	80	0	-178	-2.225	80	80	0	-178	-2.225	80	80	0	-178	-2.225	80	80	0	-178	-2.225	80	80	0	-178	-2.225	80	80	0	-178	-2.225	80	80	0	-178	-2.225	80	80	0	-178	-2.225	80	80	0	-178	-2.225	80	80	0	-178	-2.225	80	80	0	-178	-2.225	80	80
1	-100	-50.0	2	82	1	-100	-50.0	2	82	1	-100	-50.0	2	82	1	-100	-50.0	2	82	1	-100	-50.0	2	82	1	-100	-50.0	2	82	1	-100	-50.0	2	82	1	-100	-50.0	2	82	1	-100	-50.0	2	82	1	-100	-50.0	2	82	1	-100	-50.0	2	82	1	-100	-50.0	2	82	1	-100	-50.0	2	82	1	-100	-50.0	2	82	1	-100	-50.0	2	82	1	-100	-50.0	2	82	1	-100	-50.0	2	82	1	-100	-50.0	2	82
2	-130	-4.0625	32	114	2	-130	-4.0625	32	114	2	-130	-4.0625	32	114	2	-130	-4.0625	32	114	2	-130	-4.0625	32	114	2	-130	-4.0625	32	114	2	-130	-4.0625	32	114	2	-130	-4.0625	32	114	2	-130	-4.0625	32	114	2	-130	-4.0625	32	114	2	-130	-4.0625	32	114	2	-130	-4.0625	32	114	2	-130	-4.0625	32	114	2	-130	-4.0625	32	114	2	-130	-4.0625	32	114	2	-130	-4.0625	32	114	2	-130	-4.0625	32	114	2	-130	-4.0625	32	114
3	-188	-2.088888888888889	90	204	3	-188	-2.088888888888889	90	204	3	-188	-2.088888888888889	90	204	3	-188	-2.088888888888889	90	204	3	-188	-2.088888888888889	90	204	3	-188	-2.088888888888889	90	204	3	-188	-2.088888888888889	90	204	3	-188	-2.088888888888889	90	204	3	-188	-2.088888888888889	90	204	3	-188	-2.088888888888889	90	204	3	-188	-2.088888888888889	90	204	3	-188	-2.088888888888889	90	204	3	-188	-2.088888888888889	90	204	3	-188	-2.088888888888889	90	204	3	-188	-2.088888888888889	90	204	3	-188	-2.088888888888889	90	204	3	-188	-2.088888888888889	90	204	3	-188	-2.088888888888889	90	204
4	-100	-50.0	2	206	4	-100	-50.0	2	206	4	-100	-50.0	2	206	4	-100	-50.0	2	206	4	-100	-50.0	2	206	4	-100	-50.0	2	206	4	-100	-50.0	2	206	4	-100	-50.0	2	206	4	-100	-50.0	2	206	4	-100	-50.0	2	206	4	-100	-50.0	2	206	4	-100	-50.0	2	206	4	-100	-50.0	2	206	4	-100	-50.0	2	206	4	-100	-50.0	2	206	4	-100	-50.0	2	206	4	-100	-50.0	2	206	4	-100	-50.0	2	206
5	-119	-5.666666666666667	21	227	5	-119	-5.666666666666667	21	227	5	-119	-5.666666666666667	21	227	5	-119	-5.666666666666667	21	227	5	-119	-5.666666666666667	21	227	5	-119	-5.666666666666667	21	227	5	-119	-5.666666666666667	21	227	5	-119	-5.666666666666667	21	227	5	-119	-5.666666666666667	21	227	5	-119	-5.666666666666667	21	227	5	-119	-5.666666666666667	21	227	5	-119	-5.666666666666667	21	227	5	-119	-5.666666666666667	21	227	5	-119	-5.666666666666667	21	227	5	-119	-5.666666666666667	21	227	5	-119	-5.666666666666667	21	227	5	-119	-5.666666666666667	21	227	5	-119	-5.666666666666667	21	227
6	-130	-4.0625	32	259	6	-130	-4.0625	32	259	6	-130	-4.0625	32	259	6	-130	-4.0625	32	259	6	-130	-4.0625	32	259	6	-130	-4.0625	32	259	6	-130	-4.0625	32	259	6	-130	-4.0625	32	259	6	-130	-4.0625	32	259	6	-130	-4.0625	32	259	6	-130	-4.0625	32	259	6	-130	-4.0625	32	259	6	-130	-4.0625	32	259	6	-130	-4.0625	32	259	6	-130	-4.0625	32	259	6	-130	-4.0625	32	259	6	-130	-4.0625	32	259	6	-130	-4.0625	32	259
7	-117	-6.157894736842105	19	278	7	-117	-6.157894736842105	19	278	7	-117	-6.157894736842105	19	278	7	-117	-6.157894736842105	19	278	7	-117	-6.157894736842105	19	278	7	-117	-6.157894736842105	19	278	7	-117	-6.157894736842105	19	278	7	-117	-6.157894736842105	19	278	7	-117	-6.157894736842105	19	278	7	-117	-6.157894736842105	19	278	7	-117	-6.157894736842105	19	278	7	-117	-6.157894736842105	19	278	7	-117	-6.157894736842105	19	278	7	-117	-6.157894736842105	19	278	7	-117	-6.157894736842105	19	278	7	-117	-6.157894736842105	19	278	7	-117	-6.157894736842105	19	278	7	-117	-6.157894736842105	19	278
8	-102	-25.5	4	282	8	-102	-25.5	4	282	8	-102	-25.5	4	282	8	-102	-25.5	4	282	8	-102	-25.5	4	282	8	-102	-25.5	4	282	8	-102	-25.5	4	282	8	-102	-25.5	4	282	8	-102	-25.5	4	282	8	-102	-25.5	4	282	8	-102	-25.5	4	282	8	-102	-25.5	4	282	8	-102	-25.5	4	282	8	-102	-25.5	4	282	8	-102	-25.5	4	282	8	-102	-25.5	4	282	8	-102	-25.5	4	282	8	-102	-25.5	4	282
9	-109	-9.909090909090908	11	293	9	-109	-9.909090909090908	11	293	9	-109	-9.909090909090908	11	293	9	-109	-9.909090909090908	11	293	9	-109	-9.909090909090908	11	293	9	-109	-9.909090909090908	11	293	9	-109	-9.909090909090908	11	293	9	-109	-9.909090909090908	11	293	9	-109	-9.909090909090908	11	293	9	-109	-9.909090909090908	11	293	9	-109	-9.909090909090908	11	293	9	-109	-9.909090909090908	11	293	9	-109	-9.909090909090908	11	293	9	-109	-9.909090909090908	11	293	9	-109	-9.909090909090908	11	293	9	-109	-9.909090909090908	11	293	9	-109	-9.909090909090908	11	293	9	-109	-9.909090909090908	11	293
