Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-168	-2.4	70	70	0	-168	-2.4	70	70	0	-168	-2.4	70	70	0	-168	-2.4	70	70	0	-168	-2.4	70	70	0	-168	-2.4	70	70	0	-168	-2.4	70	70	0	-168	-2.4	70	70	0	-168	-2.4	70	70	0	-168	-2.4	70	70	0	-168	-2.4	70	70	0	-168	-2.4	70	70	0	-168	-2.4	70	70	0	-168	-2.4	70	70	0	-168	-2.4	70	70	0	-168	-2.4	70	70	0	-168	-2.4	70	70	0	-168	-2.4	70	70	0	-168	-2.4	70	70
1	-144	-3.130434782608696	46	116	1	-144	-3.130434782608696	46	116	1	-144	-3.130434782608696	46	116	1	-144	-3.130434782608696	46	116	1	-144	-3.130434782608696	46	116	1	-144	-3.130434782608696	46	116	1	-144	-3.130434782608696	46	116	1	-144	-3.130434782608696	46	116	1	-144	-3.130434782608696	46	116	1	-144	-3.130434782608696	46	116	1	-144	-3.130434782608696	46	116	1	-144	-3.130434782608696	46	116	1	-144	-3.130434782608696	46	116	1	-144	-3.130434782608696	46	116	1	-144	-3.130434782608696	46	116	1	-144	-3.130434782608696	46	116	1	-144	-3.130434782608696	46	116	1	-144	-3.130434782608696	46	116	1	-144	-3.130434782608696	46	116
2	-133	-3.8	35	151	2	-133	-3.8	35	151	2	-133	-3.8	35	151	2	-133	-3.8	35	151	2	-133	-3.8	35	151	2	-133	-3.8	35	151	2	-133	-3.8	35	151	2	-133	-3.8	35	151	2	-133	-3.8	35	151	2	-133	-3.8	35	151	2	-133	-3.8	35	151	2	-133	-3.8	35	151	2	-133	-3.8	35	151	2	-133	-3.8	35	151	2	-133	-3.8	35	151	2	-133	-3.8	35	151	2	-133	-3.8	35	151	2	-133	-3.8	35	151	2	-133	-3.8	35	151
3	-130	-4.0625	32	183	3	-130	-4.0625	32	183	3	-130	-4.0625	32	183	3	-130	-4.0625	32	183	3	-130	-4.0625	32	183	3	-130	-4.0625	32	183	3	-130	-4.0625	32	183	3	-130	-4.0625	32	183	3	-130	-4.0625	32	183	3	-130	-4.0625	32	183	3	-130	-4.0625	32	183	3	-130	-4.0625	32	183	3	-130	-4.0625	32	183	3	-130	-4.0625	32	183	3	-130	-4.0625	32	183	3	-130	-4.0625	32	183	3	-130	-4.0625	32	183	3	-130	-4.0625	32	183	3	-130	-4.0625	32	183
4	-100	-50.0	2	185	4	-100	-50.0	2	185	4	-100	-50.0	2	185	4	-100	-50.0	2	185	4	-100	-50.0	2	185	4	-100	-50.0	2	185	4	-100	-50.0	2	185	4	-100	-50.0	2	185	4	-100	-50.0	2	185	4	-100	-50.0	2	185	4	-100	-50.0	2	185	4	-100	-50.0	2	185	4	-100	-50.0	2	185	4	-100	-50.0	2	185	4	-100	-50.0	2	185	4	-100	-50.0	2	185	4	-100	-50.0	2	185	4	-100	-50.0	2	185	4	-100	-50.0	2	185
5	-161	-2.5555555555555554	63	248	5	-161	-2.5555555555555554	63	248	5	-161	-2.5555555555555554	63	248	5	-161	-2.5555555555555554	63	248	5	-161	-2.5555555555555554	63	248	5	-161	-2.5555555555555554	63	248	5	-161	-2.5555555555555554	63	248	5	-161	-2.5555555555555554	63	248	5	-161	-2.5555555555555554	63	248	5	-161	-2.5555555555555554	63	248	5	-161	-2.5555555555555554	63	248	5	-161	-2.5555555555555554	63	248	5	-161	-2.5555555555555554	63	248	5	-161	-2.5555555555555554	63	248	5	-161	-2.5555555555555554	63	248	5	-161	-2.5555555555555554	63	248	5	-161	-2.5555555555555554	63	248	5	-161	-2.5555555555555554	63	248	5	-161	-2.5555555555555554	63	248
6	-100	-50.0	2	250	6	-100	-50.0	2	250	6	-100	-50.0	2	250	6	-100	-50.0	2	250	6	-100	-50.0	2	250	6	-100	-50.0	2	250	6	-100	-50.0	2	250	6	-100	-50.0	2	250	6	-100	-50.0	2	250	6	-100	-50.0	2	250	6	-100	-50.0	2	250	6	-100	-50.0	2	250	6	-100	-50.0	2	250	6	-100	-50.0	2	250	6	-100	-50.0	2	250	6	-100	-50.0	2	250	6	-100	-50.0	2	250	6	-100	-50.0	2	250	6	-100	-50.0	2	250
7	-105	-15.0	7	257	7	-105	-15.0	7	257	7	-105	-15.0	7	257	7	-105	-15.0	7	257	7	-105	-15.0	7	257	7	-105	-15.0	7	257	7	-105	-15.0	7	257	7	-105	-15.0	7	257	7	-105	-15.0	7	257	7	-105	-15.0	7	257	7	-105	-15.0	7	257	7	-105	-15.0	7	257	7	-105	-15.0	7	257	7	-105	-15.0	7	257	7	-105	-15.0	7	257	7	-105	-15.0	7	257	7	-105	-15.0	7	257	7	-105	-15.0	7	257	7	-105	-15.0	7	257
8	-100	-50.0	2	259	8	-100	-50.0	2	259	8	-100	-50.0	2	259	8	-100	-50.0	2	259	8	-100	-50.0	2	259	8	-100	-50.0	2	259	8	-100	-50.0	2	259	8	-100	-50.0	2	259	8	-100	-50.0	2	259	8	-100	-50.0	2	259	8	-100	-50.0	2	259	8	-100	-50.0	2	259	8	-100	-50.0	2	259	8	-100	-50.0	2	259	8	-100	-50.0	2	259	8	-100	-50.0	2	259	8	-100	-50.0	2	259	8	-100	-50.0	2	259	8	-100	-50.0	2	259
9	-117	-6.157894736842105	19	278	9	-117	-6.157894736842105	19	278	9	-117	-6.157894736842105	19	278	9	-117	-6.157894736842105	19	278	9	-117	-6.157894736842105	19	278	9	-117	-6.157894736842105	19	278	9	-117	-6.157894736842105	19	278	9	-117	-6.157894736842105	19	278	9	-117	-6.157894736842105	19	278	9	-117	-6.157894736842105	19	278	9	-117	-6.157894736842105	19	278	9	-117	-6.157894736842105	19	278	9	-117	-6.157894736842105	19	278	9	-117	-6.157894736842105	19	278	9	-117	-6.157894736842105	19	278	9	-117	-6.157894736842105	19	278	9	-117	-6.157894736842105	19	278	9	-117	-6.157894736842105	19	278	9	-117	-6.157894736842105	19	278
10	-100	-50.0	2	280	10	-100	-50.0	2	280	10	-100	-50.0	2	280	10	-100	-50.0	2	280	10	-100	-50.0	2	280	10	-100	-50.0	2	280	10	-100	-50.0	2	280	10	-100	-50.0	2	280	10	-100	-50.0	2	280	10	-100	-50.0	2	280	10	-100	-50.0	2	280	10	-100	-50.0	2	280	10	-100	-50.0	2	280	10	-100	-50.0	2	280	10	-100	-50.0	2	280	10	-100	-50.0	2	280	10	-100	-50.0	2	280	10	-100	-50.0	2	280	10	-100	-50.0	2	280
11	-108	-10.8	10	290	11	-108	-10.8	10	290	11	-108	-10.8	10	290	11	-108	-10.8	10	290	11	-108	-10.8	10	290	11	-108	-10.8	10	290	11	-108	-10.8	10	290	11	-108	-10.8	10	290	11	-108	-10.8	10	290	11	-108	-10.8	10	290	11	-108	-10.8	10	290	11	-108	-10.8	10	290	11	-108	-10.8	10	290	11	-108	-10.8	10	290	11	-108	-10.8	10	290	11	-108	-10.8	10	290	11	-108	-10.8	10	290	11	-108	-10.8	10	290	11	-108	-10.8	10	290
12	-100	-50.0	2	292	12	-100	-50.0	2	292	12	-100	-50.0	2	292	12	-100	-50.0	2	292	12	-100	-50.0	2	292	12	-100	-50.0	2	292	12	-100	-50.0	2	292	12	-100	-50.0	2	292	12	-100	-50.0	2	292	12	-100	-50.0	2	292	12	-100	-50.0	2	292	12	-100	-50.0	2	292	12	-100	-50.0	2	292	12	-100	-50.0	2	292	12	-100	-50.0	2	292	12	-100	-50.0	2	292	12	-100	-50.0	2	292	12	-100	-50.0	2	292	12	-100	-50.0	2	292
13	-103	-20.6	5	297	13	-103	-20.6	5	297	13	-103	-20.6	5	297	13	-103	-20.6	5	297	13	-103	-20.6	5	297	13	-103	-20.6	5	297	13	-103	-20.6	5	297	13	-103	-20.6	5	297	13	-103	-20.6	5	297	13	-103	-20.6	5	297	13	-103	-20.6	5	297	13	-103	-20.6	5	297	13	-103	-20.6	5	297	13	-103	-20.6	5	297	13	-103	-20.6	5	297	13	-103	-20.6	5	297	13	-103	-20.6	5	297	13	-103	-20.6	5	297	13	-103	-20.6	5	297
14	-102	-25.5	4	301	14	-102	-25.5	4	301	14	-102	-25.5	4	301	14	-102	-25.5	4	301	14	-102	-25.5	4	301	14	-102	-25.5	4	301	14	-102	-25.5	4	301	14	-102	-25.5	4	301	14	-102	-25.5	4	301	14	-102	-25.5	4	301	14	-102	-25.5	4	301	14	-102	-25.5	4	301	14	-102	-25.5	4	301	14	-102	-25.5	4	301	14	-102	-25.5	4	301	14	-102	-25.5	4	301	14	-102	-25.5	4	301	14	-102	-25.5	4	301	14	-102	-25.5	4	301
15	-100	-50.0	2	303	15	-100	-50.0	2	303	15	-100	-50.0	2	303	15	-100	-50.0	2	303	15	-100	-50.0	2	303	15	-100	-50.0	2	303	15	-100	-50.0	2	303	15	-100	-50.0	2	303	15	-100	-50.0	2	303	15	-100	-50.0	2	303	15	-100	-50.0	2	303	15	-100	-50.0	2	303	15	-100	-50.0	2	303	15	-100	-50.0	2	303	15	-100	-50.0	2	303	15	-100	-50.0	2	303	15	-100	-50.0	2	303	15	-100	-50.0	2	303	15	-100	-50.0	2	303
