Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-112	-8.0	14	14	0	-112	-8.0	14	14	0	-112	-8.0	14	14	0	-112	-8.0	14	14	0	-112	-8.0	14	14	0	-112	-8.0	14	14	0	-112	-8.0	14	14	0	-112	-8.0	14	14	0	-112	-8.0	14	14	0	-112	-8.0	14	14	0	-112	-8.0	14	14	0	-112	-8.0	14	14	0	-112	-8.0	14	14	0	-112	-8.0	14	14	0	-112	-8.0	14	14	0	-112	-8.0	14	14	0	-112	-8.0	14	14	0	-112	-8.0	14	14	0	-112	-8.0	14	14	0	-112	-8.0	14	14
1	-107	-11.88888888888889	9	23	1	-107	-11.88888888888889	9	23	1	-107	-11.88888888888889	9	23	1	-107	-11.88888888888889	9	23	1	-107	-11.88888888888889	9	23	1	-107	-11.88888888888889	9	23	1	-107	-11.88888888888889	9	23	1	-107	-11.88888888888889	9	23	1	-107	-11.88888888888889	9	23	1	-107	-11.88888888888889	9	23	1	-107	-11.88888888888889	9	23	1	-107	-11.88888888888889	9	23	1	-107	-11.88888888888889	9	23	1	-107	-11.88888888888889	9	23	1	-107	-11.88888888888889	9	23	1	-107	-11.88888888888889	9	23	1	-107	-11.88888888888889	9	23	1	-107	-11.88888888888889	9	23	1	-107	-11.88888888888889	9	23	1	-107	-11.88888888888889	9	23
2	-124	-4.769230769230769	26	49	2	-124	-4.769230769230769	26	49	2	-124	-4.769230769230769	26	49	2	-124	-4.769230769230769	26	49	2	-124	-4.769230769230769	26	49	2	-124	-4.769230769230769	26	49	2	-124	-4.769230769230769	26	49	2	-124	-4.769230769230769	26	49	2	-124	-4.769230769230769	26	49	2	-124	-4.769230769230769	26	49	2	-124	-4.769230769230769	26	49	2	-124	-4.769230769230769	26	49	2	-124	-4.769230769230769	26	49	2	-124	-4.769230769230769	26	49	2	-124	-4.769230769230769	26	49	2	-124	-4.769230769230769	26	49	2	-124	-4.769230769230769	26	49	2	-124	-4.769230769230769	26	49	2	-124	-4.769230769230769	26	49	2	-124	-4.769230769230769	26	49
3	-118	-5.9	20	69	3	-118	-5.9	20	69	3	-118	-5.9	20	69	3	-118	-5.9	20	69	3	-118	-5.9	20	69	3	-118	-5.9	20	69	3	-118	-5.9	20	69	3	-118	-5.9	20	69	3	-118	-5.9	20	69	3	-118	-5.9	20	69	3	-118	-5.9	20	69	3	-118	-5.9	20	69	3	-118	-5.9	20	69	3	-118	-5.9	20	69	3	-118	-5.9	20	69	3	-118	-5.9	20	69	3	-118	-5.9	20	69	3	-118	-5.9	20	69	3	-118	-5.9	20	69	3	-118	-5.9	20	69
4	-117	-6.157894736842105	19	88	4	-117	-6.157894736842105	19	88	4	-117	-6.157894736842105	19	88	4	-117	-6.157894736842105	19	88	4	-117	-6.157894736842105	19	88	4	-117	-6.157894736842105	19	88	4	-117	-6.157894736842105	19	88	4	-117	-6.157894736842105	19	88	4	-117	-6.157894736842105	19	88	4	-117	-6.157894736842105	19	88	4	-117	-6.157894736842105	19	88	4	-117	-6.157894736842105	19	88	4	-117	-6.157894736842105	19	88	4	-117	-6.157894736842105	19	88	4	-117	-6.157894736842105	19	88	4	-117	-6.157894736842105	19	88	4	-117	-6.157894736842105	19	88	4	-117	-6.157894736842105	19	88	4	-117	-6.157894736842105	19	88	4	-117	-6.157894736842105	19	88
5	-107	-11.88888888888889	9	97	5	-107	-11.88888888888889	9	97	5	-107	-11.88888888888889	9	97	5	-107	-11.88888888888889	9	97	5	-107	-11.88888888888889	9	97	5	-107	-11.88888888888889	9	97	5	-107	-11.88888888888889	9	97	5	-107	-11.88888888888889	9	97	5	-107	-11.88888888888889	9	97	5	-107	-11.88888888888889	9	97	5	-107	-11.88888888888889	9	97	5	-107	-11.88888888888889	9	97	5	-107	-11.88888888888889	9	97	5	-107	-11.88888888888889	9	97	5	-107	-11.88888888888889	9	97	5	-107	-11.88888888888889	9	97	5	-107	-11.88888888888889	9	97	5	-107	-11.88888888888889	9	97	5	-107	-11.88888888888889	9	97	5	-107	-11.88888888888889	9	97
6	-105	-15.0	7	104	6	-105	-15.0	7	104	6	-105	-15.0	7	104	6	-105	-15.0	7	104	6	-105	-15.0	7	104	6	-105	-15.0	7	104	6	-105	-15.0	7	104	6	-105	-15.0	7	104	6	-105	-15.0	7	104	6	-105	-15.0	7	104	6	-105	-15.0	7	104	6	-105	-15.0	7	104	6	-105	-15.0	7	104	6	-105	-15.0	7	104	6	-105	-15.0	7	104	6	-105	-15.0	7	104	6	-105	-15.0	7	104	6	-105	-15.0	7	104	6	-105	-15.0	7	104	6	-105	-15.0	7	104
7	-133	-3.8	35	139	7	-133	-3.8	35	139	7	-133	-3.8	35	139	7	-133	-3.8	35	139	7	-133	-3.8	35	139	7	-133	-3.8	35	139	7	-133	-3.8	35	139	7	-133	-3.8	35	139	7	-133	-3.8	35	139	7	-133	-3.8	35	139	7	-133	-3.8	35	139	7	-133	-3.8	35	139	7	-133	-3.8	35	139	7	-133	-3.8	35	139	7	-133	-3.8	35	139	7	-133	-3.8	35	139	7	-133	-3.8	35	139	7	-133	-3.8	35	139	7	-133	-3.8	35	139	7	-133	-3.8	35	139
8	-100	-50.0	2	141	8	-100	-50.0	2	141	8	-100	-50.0	2	141	8	-100	-50.0	2	141	8	-100	-50.0	2	141	8	-100	-50.0	2	141	8	-100	-50.0	2	141	8	-100	-50.0	2	141	8	-100	-50.0	2	141	8	-100	-50.0	2	141	8	-100	-50.0	2	141	8	-100	-50.0	2	141	8	-100	-50.0	2	141	8	-100	-50.0	2	141	8	-100	-50.0	2	141	8	-100	-50.0	2	141	8	-100	-50.0	2	141	8	-100	-50.0	2	141	8	-100	-50.0	2	141	8	-100	-50.0	2	141
9	-118	-5.9	20	161	9	-118	-5.9	20	161	9	-118	-5.9	20	161	9	-118	-5.9	20	161	9	-118	-5.9	20	161	9	-118	-5.9	20	161	9	-118	-5.9	20	161	9	-118	-5.9	20	161	9	-118	-5.9	20	161	9	-118	-5.9	20	161	9	-118	-5.9	20	161	9	-118	-5.9	20	161	9	-118	-5.9	20	161	9	-118	-5.9	20	161	9	-118	-5.9	20	161	9	-118	-5.9	20	161	9	-118	-5.9	20	161	9	-118	-5.9	20	161	9	-118	-5.9	20	161	9	-118	-5.9	20	161
