Episode	Accumulated Reward	Average Reward	Length	Steps
0	-146	-3.0416666666666665	48	48
1	-125	-4.62962962962963	27	75
2	-106	-13.25	8	83
3	-109	-9.909090909090908	11	94
4	-109	-9.909090909090908	11	105
5	-100	-50.0	2	107
6	-115	-6.764705882352941	17	124
7	-116	-6.444444444444445	18	142
8	-111	-8.538461538461538	13	155
9	-105	-15.0	7	162
10	-101	-33.666666666666664	3	165
11	-100	-50.0	2	167
12	-106	-13.25	8	175
13	-103	-20.6	5	180
14	-158	-2.6333333333333333	60	240
15	-147	-3.0	49	289
16	-100	-50.0	2	291
17	-114	-7.125	16	307
18	-100	-50.0	2	309
19	-100	-50.0	2	311
20	-106	-13.25	8	319
21	-100	-50.0	2	321
22	-127	-4.379310344827586	29	350
23	-100	-50.0	2	352
24	-105	-15.0	7	359
25	-107	-11.88888888888889	9	368
26	-103	-20.6	5	373
27	-106	-13.25	8	381
28	-104	-17.333333333333332	6	387
29	-152	-2.814814814814815	54	441
30	-100	-50.0	2	443
31	-142	-3.227272727272727	44	487
32	-100	-50.0	2	489
33	-100	-50.0	2	491
34	-100	-50.0	2	493
35	-116	-6.444444444444445	18	511
36	-131	-3.9696969696969697	33	544
37	-104	-17.333333333333332	6	550
38	-100	-50.0	2	552
39	-118	-5.9	20	572
40	-101	-33.666666666666664	3	575
41	-100	-50.0	2	577
42	-100	-50.0	2	579
43	-105	-15.0	7	586
44	-100	-50.0	2	588
45	-101	-33.666666666666664	3	591
46	-100	-50.0	2	593
47	-120	-5.454545454545454	22	615
48	-101	-33.666666666666664	3	618
49	-100	-50.0	2	620
50	-112	-8.0	14	634
51	-181	-2.180722891566265	83	717
52	-100	-50.0	2	719
53	-109	-9.909090909090908	11	730
54	-150	-2.8846153846153846	52	782
55	-102	-25.5	4	786
56	-107	-11.88888888888889	9	795
57	-101	-33.666666666666664	3	798
58	-103	-20.6	5	803
59	-45	-0.9375	48	851
60	-89	-0.967391304347826	92	943
61	-150	-2.8846153846153846	52	995
62	-142	-3.227272727272727	44	1039
63	-107	-11.88888888888889	9	1048
64	-107	-11.88888888888889	9	1057
65	-100	-50.0	2	1059
66	-139	-3.3902439024390243	41	1100
67	-100	-50.0	2	1102
68	-127	-4.379310344827586	29	1131
69	-106	-13.25	8	1139
70	-102	-25.5	4	1143
71	-121	-5.260869565217392	23	1166
72	-100	-50.0	2	1168
73	-100	-50.0	2	1170
74	-123	-4.92	25	1195
75	-107	-11.88888888888889	9	1204
76	-125	-4.62962962962963	27	1231
77	-115	-6.764705882352941	17	1248
78	-16	-0.8421052631578947	19	1267
79	-122	-5.083333333333333	24	1291
80	-101	-33.666666666666664	3	1294
81	-118	-5.9	20	1314
82	-118	-5.9	20	1334
83	-100	-50.0	2	1336
84	-100	-50.0	2	1338
85	-100	-50.0	2	1340
86	-102	-25.5	4	1344
87	-116	-6.444444444444445	18	1362
88	-100	-50.0	2	1364
89	-109	-9.909090909090908	11	1375
90	-100	-50.0	2	1377
91	-126	-4.5	28	1405
92	-100	-50.0	2	1407
93	-100	-50.0	2	1409
94	-100	-50.0	2	1411
95	-111	-8.538461538461538	13	1424
96	-114	-7.125	16	1440
97	-101	-33.666666666666664	3	1443
98	-261	-1.6012269938650308	163	1606
99	-110	-9.166666666666666	12	1618
100	-51	-0.9444444444444444	54	1672
101	-107	-11.88888888888889	9	1681
102	-104	-17.333333333333332	6	1687
103	-128	-4.266666666666667	30	1717
104	-118	-0.9752066115702479	121	1838
105	-114	-7.125	16	1854
106	-116	-6.444444444444445	18	1872
107	-107	-11.88888888888889	9	1881
108	-106	-13.25	8	1889
109	-122	-5.083333333333333	24	1913
110	-100	-50.0	2	1915
111	-100	-50.0	2	1917
112	-101	-33.666666666666664	3	1920
113	-109	-9.909090909090908	11	1931
114	-100	-50.0	2	1933
115	-115	-6.764705882352941	17	1950
116	-127	-4.379310344827586	29	1979
117	-108	-10.8	10	1989
118	-100	-50.0	2	1991
119	-119	-5.666666666666667	21	2012
120	-186	-2.1136363636363638	88	2100
121	-141	-3.2790697674418605	43	2143
122	-105	-15.0	7	2150
123	-131	-3.9696969696969697	33	2183
124	-102	-25.5	4	2187
125	-126	-4.5	28	2215
126	-100	-50.0	2	2217
127	-100	-50.0	2	2219
128	-121	-5.260869565217392	23	2242
129	-100	-50.0	2	2244
130	-100	-50.0	2	2246
131	-100	-50.0	2	2248
132	-113	-7.533333333333333	15	2263
133	-106	-13.25	8	2271
134	-103	-20.6	5	2276
135	-108	-10.8	10	2286
136	-100	-50.0	2	2288
137	-102	-25.5	4	2292
138	-147	-3.0	49	2341
139	-128	-4.266666666666667	30	2371
140	-115	-6.764705882352941	17	2388
141	-123	-4.92	25	2413
142	-100	-50.0	2	2415
143	-102	-25.5	4	2419
144	-133	-3.8	35	2454
145	-122	-5.083333333333333	24	2478
146	-128	-4.266666666666667	30	2508
147	-260	-1.6049382716049383	162	2670
148	-118	-5.9	20	2690
149	-143	-3.1777777777777776	45	2735
150	-114	-7.125	16	2751
151	-103	-20.6	5	2756
152	-100	-50.0	2	2758
153	-65	-0.9558823529411765	68	2826
154	-100	-50.0	2	2828
155	-122	-5.083333333333333	24	2852
156	-100	-50.0	2	2854
157	-105	-15.0	7	2861
158	-115	-6.764705882352941	17	2878
159	-100	-50.0	2	2880
160	-104	-17.333333333333332	6	2886
161	-128	-4.266666666666667	30	2916
162	-105	-15.0	7	2923
163	-100	-50.0	2	2925
164	-115	-6.764705882352941	17	2942
165	-6	-0.6666666666666666	9	2951
166	-157	-2.6610169491525424	59	3010
167	-111	-8.538461538461538	13	3023
168	-115	-6.764705882352941	17	3040
169	-110	-9.166666666666666	12	3052
170	-145	-3.0851063829787235	47	3099
171	-100	-50.0	2	3101
172	-106	-13.25	8	3109
173	-100	-50.0	2	3111
174	-102	-25.5	4	3115
175	-100	-50.0	2	3117
176	-114	-7.125	16	3133
177	-100	-50.0	2	3135
178	-107	-11.88888888888889	9	3144
179	-100	-50.0	2	3146
180	-120	-5.454545454545454	22	3168
181	-107	-11.88888888888889	9	3177
182	-116	-6.444444444444445	18	3195
183	-111	-8.538461538461538	13	3208
184	-111	-8.538461538461538	13	3221
185	-137	-0.9785714285714285	140	3361
186	-112	-8.0	14	3375
187	-100	-50.0	2	3377
188	-100	-50.0	2	3379
189	-20	-0.8695652173913043	23	3402
190	-100	-50.0	2	3404
191	-104	-17.333333333333332	6	3410
192	-160	-2.5806451612903225	62	3472
193	-100	-50.0	2	3474
194	-127	-4.379310344827586	29	3503
195	-101	-33.666666666666664	3	3506
196	-100	-50.0	2	3508
197	-105	-15.0	7	3515
198	-115	-6.764705882352941	17	3532
199	-125	-4.62962962962963	27	3559
200	-113	-7.533333333333333	15	3574
201	-101	-33.666666666666664	3	3577
202	-100	-50.0	2	3579
203	-106	-13.25	8	3587
204	-107	-11.88888888888889	9	3596
205	-100	-50.0	2	3598
206	-130	-4.0625	32	3630
207	-113	-7.533333333333333	15	3645
208	-100	-50.0	2	3647
209	-121	-5.260869565217392	23	3670
210	-100	-50.0	2	3672
211	-106	-13.25	8	3680
212	-117	-6.157894736842105	19	3699
213	-104	-17.333333333333332	6	3705
214	-137	-3.5128205128205128	39	3744
215	-140	-3.3333333333333335	42	3786
216	-127	-4.379310344827586	29	3815
217	-120	-5.454545454545454	22	3837
218	-83	-0.9651162790697675	86	3923
219	-116	-6.444444444444445	18	3941
220	-100	-50.0	2	3943
221	-129	-4.161290322580645	31	3974
222	-100	-50.0	2	3976
223	-149	-2.9215686274509802	51	4027
224	-100	-50.0	2	4029
225	-100	-50.0	2	4031
226	-103	-20.6	5	4036
227	-111	-8.538461538461538	13	4049
228	-100	-50.0	2	4051
229	-103	-20.6	5	4056
230	-146	-3.0416666666666665	48	4104
231	-100	-50.0	2	4106
232	-104	-17.333333333333332	6	4112
233	-101	-33.666666666666664	3	4115
234	-103	-20.6	5	4120
235	-173	-2.3066666666666666	75	4195
236	-104	-17.333333333333332	6	4201
237	-113	-7.533333333333333	15	4216
238	-100	-50.0	2	4218
239	-100	-50.0	2	4220
240	-41	-0.9318181818181818	44	4264
241	-112	-8.0	14	4278
242	-145	-3.0851063829787235	47	4325
243	-104	-17.333333333333332	6	4331
244	-100	-50.0	2	4333
245	-11	-0.7857142857142857	14	4347
246	-129	-4.161290322580645	31	4378
247	-106	-13.25	8	4386
248	-120	-5.454545454545454	22	4408
249	-106	-13.25	8	4416
250	-109	-9.909090909090908	11	4427
251	-141	-3.2790697674418605	43	4470
252	-116	-6.444444444444445	18	4488
253	-131	-3.9696969696969697	33	4521
254	-121	-5.260869565217392	23	4544
255	-116	-6.444444444444445	18	4562
256	-105	-15.0	7	4569
257	-100	-50.0	2	4571
258	-117	-6.157894736842105	19	4590
259	-106	-13.25	8	4598
260	-50	-0.9433962264150944	53	4651
261	-25	-0.8928571428571429	28	4679
262	-125	-4.62962962962963	27	4706
263	-100	-50.0	2	4708
264	-101	-33.666666666666664	3	4711
265	-110	-9.166666666666666	12	4723
266	-36	-0.9230769230769231	39	4762
267	-108	-10.8	10	4772
268	-100	-50.0	2	4774
269	-100	-50.0	2	4776
270	-100	-50.0	2	4778
271	-177	-2.240506329113924	79	4857
272	-102	-25.5	4	4861
273	-89	-0.967391304347826	92	4953
274	-107	-11.88888888888889	9	4962
275	-177	-2.240506329113924	79	5041
276	-104	-17.333333333333332	6	5047
277	-183	-2.152941176470588	85	5132
278	-158	-2.6333333333333333	60	5192
279	-100	-50.0	2	5194
280	-108	-10.8	10	5204
281	-104	-17.333333333333332	6	5210
282	-100	-50.0	2	5212
283	-102	-25.5	4	5216
284	-193	-2.031578947368421	95	5311
285	-118	-5.9	20	5331
286	-120	-5.454545454545454	22	5353
287	-107	-11.88888888888889	9	5362
288	-26	-0.896551724137931	29	5391
289	-100	-50.0	2	5393
290	-129	-4.161290322580645	31	5424
291	-104	-17.333333333333332	6	5430
292	-100	-50.0	2	5432
293	-105	-15.0	7	5439
294	-100	-50.0	2	5441
295	-113	-7.533333333333333	15	5456
296	-18	-0.8571428571428571	21	5477
297	-100	-50.0	2	5479
298	-102	-25.5	4	5483
299	-118	-5.9	20	5503
300	-105	-15.0	7	5510
301	-101	-33.666666666666664	3	5513
302	-105	-15.0	7	5520
303	-100	-50.0	2	5522
304	-23	-0.8846153846153846	26	5548
305	-100	-50.0	2	5550
306	-165	-2.462686567164179	67	5617
307	-110	-9.166666666666666	12	5629
308	-100	-50.0	2	5631
309	-103	-20.6	5	5636
310	-135	-3.6486486486486487	37	5673
311	-120	-5.454545454545454	22	5695
312	-138	-3.45	40	5735
313	-100	-50.0	2	5737
314	-101	-33.666666666666664	3	5740
315	-156	-2.689655172413793	58	5798
316	-100	-50.0	2	5800
317	-103	-20.6	5	5805
318	-244	-1.6712328767123288	146	5951
319	-122	-5.083333333333333	24	5975
320	-100	-50.0	2	5977
321	-104	-17.333333333333332	6	5983
322	-116	-6.444444444444445	18	6001
323	-120	-5.454545454545454	22	6023
324	-2	-0.4	5	6028
325	-126	-4.5	28	6056
326	-100	-50.0	2	6058
327	-106	-13.25	8	6066
328	-107	-11.88888888888889	9	6075
329	-100	-50.0	2	6077
330	-100	-50.0	2	6079
331	-107	-11.88888888888889	9	6088
332	-133	-3.8	35	6123
333	-104	-17.333333333333332	6	6129
334	-127	-4.379310344827586	29	6158
335	-100	-50.0	2	6160
336	-100	-50.0	2	6162
337	-100	-50.0	2	6164
338	-113	-7.533333333333333	15	6179
339	-100	-50.0	2	6181
340	-100	-50.0	2	6183
341	-119	-5.666666666666667	21	6204
342	-160	-2.5806451612903225	62	6266
343	-119	-5.666666666666667	21	6287
344	-127	-4.379310344827586	29	6316
345	-100	-50.0	2	6318
346	-102	-25.5	4	6322
347	-102	-25.5	4	6326
348	-102	-25.5	4	6330
349	-100	-50.0	2	6332
350	-100	-50.0	2	6334
351	-86	-0.9662921348314607	89	6423
352	-100	-50.0	2	6425
353	-107	-11.88888888888889	9	6434
354	-124	-4.769230769230769	26	6460
355	-100	-50.0	2	6462
356	-119	-5.666666666666667	21	6483
357	-100	-50.0	2	6485
358	72	2.25	32	6517
359	-103	-20.6	5	6522
360	-114	-7.125	16	6538
361	-156	-2.689655172413793	58	6596
362	-123	-4.92	25	6621
363	-112	-8.0	14	6635
364	36	0.5294117647058824	68	6703
365	-5	-0.625	8	6711
366	-105	-15.0	7	6718
367	-103	-20.6	5	6723
368	-103	-20.6	5	6728
369	-103	-20.6	5	6733
370	-100	-50.0	2	6735
371	-100	-50.0	2	6737
372	-119	-5.666666666666667	21	6758
373	-100	-50.0	2	6760
374	-100	-50.0	2	6762
375	-100	-50.0	2	6764
376	-112	-8.0	14	6778
377	-100	-50.0	2	6780
378	-100	-50.0	2	6782
379	-20	-0.8695652173913043	23	6805
380	-102	-25.5	4	6809
381	-114	-7.125	16	6825
382	-105	-15.0	7	6832
383	-100	-50.0	2	6834
384	-106	-13.25	8	6842
385	-113	-7.533333333333333	15	6857
386	-53	-0.9464285714285714	56	6913
387	-130	-4.0625	32	6945
388	-152	-2.814814814814815	54	6999
389	-100	-50.0	2	7001
390	-146	-3.0416666666666665	48	7049
391	-115	-6.764705882352941	17	7066
392	-110	-9.166666666666666	12	7078
393	-100	-50.0	2	7080
394	-101	-33.666666666666664	3	7083
395	-114	-7.125	16	7099
396	-100	-50.0	2	7101
397	-120	-5.454545454545454	22	7123
398	-100	-50.0	2	7125
399	-100	-50.0	2	7127
400	-100	-50.0	2	7129
401	-100	-50.0	2	7131
402	-1	-0.25	4	7135
403	-100	-50.0	2	7137
404	-100	-50.0	2	7139
405	-111	-8.538461538461538	13	7152
406	-12	-0.8	15	7167
407	-100	-50.0	2	7169
408	-100	-50.0	2	7171
409	-121	-5.260869565217392	23	7194
410	-100	-50.0	2	7196
411	-102	-25.5	4	7200
412	-100	-50.0	2	7202
413	-100	-50.0	2	7204
414	-100	-50.0	2	7206
415	-102	-25.5	4	7210
416	-102	-25.5	4	7214
417	-114	-7.125	16	7230
418	-100	-50.0	2	7232
419	-101	-33.666666666666664	3	7235
420	-36	-0.9230769230769231	39	7274
