Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-126	-4.5	28	28	0	-126	-4.5	28	28	0	-126	-4.5	28	28
1	-101	-33.666666666666664	3	31	1	-101	-33.666666666666664	3	31	1	-101	-33.666666666666664	3	31
2	-100	-50.0	2	33	2	-100	-50.0	2	33	2	-100	-50.0	2	33
3	-112	-8.0	14	47	3	-112	-8.0	14	47	3	-112	-8.0	14	47
4	-107	-11.88888888888889	9	56	4	-107	-11.88888888888889	9	56	4	-107	-11.88888888888889	9	56
5	-100	-50.0	2	58	5	-100	-50.0	2	58	5	-100	-50.0	2	58
6	-100	-50.0	2	60	6	-100	-50.0	2	60	6	-100	-50.0	2	60
7	-158	-2.6333333333333333	60	120	7	-158	-2.6333333333333333	60	120	7	-158	-2.6333333333333333	60	120
8	-123	-4.92	25	145	8	-123	-4.92	25	145	8	-123	-4.92	25	145
9	-100	-50.0	2	147	9	-100	-50.0	2	147	9	-100	-50.0	2	147
10	-107	-11.88888888888889	9	156	10	-107	-11.88888888888889	9	156	10	-107	-11.88888888888889	9	156
11	-100	-50.0	2	158	11	-100	-50.0	2	158	11	-100	-50.0	2	158
12	-107	-11.88888888888889	9	167	12	-107	-11.88888888888889	9	167	12	-107	-11.88888888888889	9	167
13	-108	-10.8	10	177	13	-108	-10.8	10	177	13	-108	-10.8	10	177
14	-100	-50.0	2	179	14	-100	-50.0	2	179	14	-100	-50.0	2	179
15	-100	-50.0	2	181	15	-100	-50.0	2	181	15	-100	-50.0	2	181
16	-137	-3.5128205128205128	39	220	16	-137	-3.5128205128205128	39	220	16	-137	-3.5128205128205128	39	220
17	-26	-0.896551724137931	29	249	17	-26	-0.896551724137931	29	249	17	-26	-0.896551724137931	29	249
18	-124	-4.769230769230769	26	275	18	-124	-4.769230769230769	26	275	18	-124	-4.769230769230769	26	275
19	-190	-2.0652173913043477	92	367	19	-190	-2.0652173913043477	92	367	19	-190	-2.0652173913043477	92	367
20	-107	-11.88888888888889	9	376	20	-107	-11.88888888888889	9	376	20	-107	-11.88888888888889	9	376
21	-110	-9.166666666666666	12	388	21	-110	-9.166666666666666	12	388	21	-110	-9.166666666666666	12	388
22	-100	-50.0	2	390	22	-100	-50.0	2	390	22	-100	-50.0	2	390
23	-124	-4.769230769230769	26	416	23	-124	-4.769230769230769	26	416	23	-124	-4.769230769230769	26	416
24	-100	-50.0	2	418	24	-100	-50.0	2	418	24	-100	-50.0	2	418
25	-100	-50.0	2	420	25	-100	-50.0	2	420	25	-100	-50.0	2	420
26	-115	-6.764705882352941	17	437	26	-115	-6.764705882352941	17	437	26	-115	-6.764705882352941	17	437
27	-102	-25.5	4	441	27	-102	-25.5	4	441	27	-102	-25.5	4	441
28	-103	-20.6	5	446	28	-103	-20.6	5	446	28	-103	-20.6	5	446
29	-117	-6.157894736842105	19	465	29	-117	-6.157894736842105	19	465	29	-117	-6.157894736842105	19	465
30	-122	-5.083333333333333	24	489	30	-122	-5.083333333333333	24	489	30	-122	-5.083333333333333	24	489
31	-100	-50.0	2	491	31	-100	-50.0	2	491	31	-100	-50.0	2	491
32	-100	-50.0	2	493	32	-100	-50.0	2	493	32	-100	-50.0	2	493
33	-100	-50.0	2	495	33	-100	-50.0	2	495	33	-100	-50.0	2	495
34	-101	-33.666666666666664	3	498	34	-101	-33.666666666666664	3	498	34	-101	-33.666666666666664	3	498
35	-100	-50.0	2	500	35	-100	-50.0	2	500	35	-100	-50.0	2	500
36	-127	-4.379310344827586	29	529	36	-127	-4.379310344827586	29	529	36	-127	-4.379310344827586	29	529
37	-104	-17.333333333333332	6	535	37	-104	-17.333333333333332	6	535	37	-104	-17.333333333333332	6	535
38	-106	-13.25	8	543	38	-106	-13.25	8	543	38	-106	-13.25	8	543
39	-121	-5.260869565217392	23	566	39	-121	-5.260869565217392	23	566	39	-121	-5.260869565217392	23	566
40	-100	-50.0	2	568	40	-100	-50.0	2	568	40	-100	-50.0	2	568
41	-100	-50.0	2	570	41	-100	-50.0	2	570	41	-100	-50.0	2	570
42	-106	-13.25	8	578	42	-106	-13.25	8	578	42	-106	-13.25	8	578
43	-111	-8.538461538461538	13	591	43	-111	-8.538461538461538	13	591	43	-111	-8.538461538461538	13	591
44	-39	-0.9285714285714286	42	633	44	-39	-0.9285714285714286	42	633	44	-39	-0.9285714285714286	42	633
45	-103	-20.6	5	638	45	-103	-20.6	5	638	45	-103	-20.6	5	638
46	-100	-50.0	2	640	46	-100	-50.0	2	640	46	-100	-50.0	2	640
47	-102	-25.5	4	644	47	-102	-25.5	4	644	47	-102	-25.5	4	644
48	-102	-25.5	4	648	48	-102	-25.5	4	648	48	-102	-25.5	4	648
49	-100	-50.0	2	650	49	-100	-50.0	2	650	49	-100	-50.0	2	650
50	77	2.8518518518518516	27	677	50	77	2.8518518518518516	27	677	50	77	2.8518518518518516	27	677
51	-100	-50.0	2	679	51	-100	-50.0	2	679	51	-100	-50.0	2	679
52	-100	-50.0	2	681	52	-100	-50.0	2	681	52	-100	-50.0	2	681
53	-123	-4.92	25	706	53	-123	-4.92	25	706	53	-123	-4.92	25	706
54	-108	-10.8	10	716	54	-108	-10.8	10	716	54	-108	-10.8	10	716
55	-162	-2.53125	64	780	55	-162	-2.53125	64	780	55	-162	-2.53125	64	780
56	-105	-15.0	7	787	56	-105	-15.0	7	787	56	-105	-15.0	7	787
57	-139	-3.3902439024390243	41	828	57	-139	-3.3902439024390243	41	828	57	-139	-3.3902439024390243	41	828
58	-100	-50.0	2	830	58	-100	-50.0	2	830	58	-100	-50.0	2	830
59	-120	-5.454545454545454	22	852	59	-120	-5.454545454545454	22	852	59	-120	-5.454545454545454	22	852
60	-100	-50.0	2	854	60	-100	-50.0	2	854	60	-100	-50.0	2	854
61	-104	-17.333333333333332	6	860	61	-104	-17.333333333333332	6	860	61	-104	-17.333333333333332	6	860
62	-100	-50.0	2	862	62	-100	-50.0	2	862	62	-100	-50.0	2	862
