Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-133	-3.8	35	35	0	-133	-3.8	35	35	0	-133	-3.8	35	35	0	-133	-3.8	35	35
1	-42	-0.9333333333333333	45	80	1	-42	-0.9333333333333333	45	80	1	-42	-0.9333333333333333	45	80	1	-42	-0.9333333333333333	45	80
2	-104	-17.333333333333332	6	86	2	-104	-17.333333333333332	6	86	2	-104	-17.333333333333332	6	86	2	-104	-17.333333333333332	6	86
3	-132	-3.8823529411764706	34	120	3	-132	-3.8823529411764706	34	120	3	-132	-3.8823529411764706	34	120	3	-132	-3.8823529411764706	34	120
4	-100	-50.0	2	122	4	-100	-50.0	2	122	4	-100	-50.0	2	122	4	-100	-50.0	2	122
5	-135	-3.6486486486486487	37	159	5	-135	-3.6486486486486487	37	159	5	-135	-3.6486486486486487	37	159	5	-135	-3.6486486486486487	37	159
6	-104	-17.333333333333332	6	165	6	-104	-17.333333333333332	6	165	6	-104	-17.333333333333332	6	165	6	-104	-17.333333333333332	6	165
7	-100	-50.0	2	167	7	-100	-50.0	2	167	7	-100	-50.0	2	167	7	-100	-50.0	2	167
8	-100	-50.0	2	169	8	-100	-50.0	2	169	8	-100	-50.0	2	169	8	-100	-50.0	2	169
9	-110	-9.166666666666666	12	181	9	-110	-9.166666666666666	12	181	9	-110	-9.166666666666666	12	181	9	-110	-9.166666666666666	12	181
10	-101	-33.666666666666664	3	184	10	-101	-33.666666666666664	3	184	10	-101	-33.666666666666664	3	184	10	-101	-33.666666666666664	3	184
11	-102	-25.5	4	188	11	-102	-25.5	4	188	11	-102	-25.5	4	188	11	-102	-25.5	4	188
12	-100	-50.0	2	190	12	-100	-50.0	2	190	12	-100	-50.0	2	190	12	-100	-50.0	2	190
13	-106	-13.25	8	198	13	-106	-13.25	8	198	13	-106	-13.25	8	198	13	-106	-13.25	8	198
14	-106	-13.25	8	206	14	-106	-13.25	8	206	14	-106	-13.25	8	206	14	-106	-13.25	8	206
15	-100	-50.0	2	208	15	-100	-50.0	2	208	15	-100	-50.0	2	208	15	-100	-50.0	2	208
16	-119	-5.666666666666667	21	229	16	-119	-5.666666666666667	21	229	16	-119	-5.666666666666667	21	229	16	-119	-5.666666666666667	21	229
17	-129	-4.161290322580645	31	260	17	-129	-4.161290322580645	31	260	17	-129	-4.161290322580645	31	260	17	-129	-4.161290322580645	31	260
18	-100	-50.0	2	262	18	-100	-50.0	2	262	18	-100	-50.0	2	262	18	-100	-50.0	2	262
