Episode	Accumulated Reward	Average Reward	Length	Steps
0	-110	-9.166666666666666	12	12
1	-103	-20.6	5	17
2	-100	-50.0	2	19
3	-100	-50.0	2	21
4	-109	-9.909090909090908	11	32
5	-102	-25.5	4	36
6	-106	-13.25	8	44
7	-143	-3.1777777777777776	45	89
8	-155	-2.719298245614035	57	146
9	-115	-6.764705882352941	17	163
10	-112	-8.0	14	177
11	-121	-5.260869565217392	23	200
12	-100	-50.0	2	202
13	-105	-15.0	7	209
14	-100	-50.0	2	211
15	-102	-25.5	4	215
16	-130	-4.0625	32	247
17	-100	-50.0	2	249
18	-132	-3.8823529411764706	34	283
19	-100	-50.0	2	285
20	-100	-50.0	2	287
21	-100	-50.0	2	289
22	-100	-50.0	2	291
23	-100	-50.0	2	293
24	-126	-4.5	28	321
25	-100	-50.0	2	323
26	-110	-9.166666666666666	12	335
27	-266	-1.5833333333333333	168	503
28	-103	-20.6	5	508
29	-108	-10.8	10	518
30	-101	-33.666666666666664	3	521
31	-162	-2.53125	64	585
32	-105	-15.0	7	592
33	-136	-3.5789473684210527	38	630
34	-121	-5.260869565217392	23	653
35	-115	-6.764705882352941	17	670
36	-34	-0.918918918918919	37	707
37	-111	-8.538461538461538	13	720
38	-101	-33.666666666666664	3	723
39	-101	-33.666666666666664	3	726
40	-100	-50.0	2	728
41	-105	-15.0	7	735
42	-100	-50.0	2	737
43	-119	-5.666666666666667	21	758
44	-100	-50.0	2	760
45	-137	-3.5128205128205128	39	799
46	-104	-17.333333333333332	6	805
47	-109	-9.909090909090908	11	816
48	-138	-3.45	40	856
49	-138	-3.45	40	896
50	-101	-33.666666666666664	3	899
51	-126	-4.5	28	927
52	-100	-50.0	2	929
53	-100	-50.0	2	931
54	-135	-3.6486486486486487	37	968
55	-101	-33.666666666666664	3	971
56	-138	-3.45	40	1011
57	-106	-13.25	8	1019
58	-100	-50.0	2	1021
59	-103	-20.6	5	1026
60	-100	-50.0	2	1028
61	-147	-3.0	49	1077
62	-179	-2.2098765432098766	81	1158
63	-100	-50.0	2	1160
64	-100	-50.0	2	1162
65	-103	-20.6	5	1167
66	-109	-9.909090909090908	11	1178
67	-100	-50.0	2	1180
68	-180	-2.1951219512195124	82	1262
69	-66	-0.9565217391304348	69	1331
70	-163	-2.5076923076923077	65	1396
71	-100	-50.0	2	1398
72	-138	-3.45	40	1438
73	-101	-33.666666666666664	3	1441
74	-146	-3.0416666666666665	48	1489
75	-160	-2.5806451612903225	62	1551
76	-100	-50.0	2	1553
77	-104	-17.333333333333332	6	1559
78	-101	-33.666666666666664	3	1562
79	-105	-15.0	7	1569
80	-104	-17.333333333333332	6	1575
81	-100	-50.0	2	1577
82	-122	-5.083333333333333	24	1601
83	-105	-15.0	7	1608
84	-113	-7.533333333333333	15	1623
85	-101	-33.666666666666664	3	1626
86	-100	-50.0	2	1628
87	-131	-3.9696969696969697	33	1661
88	-102	-25.5	4	1665
89	-109	-9.909090909090908	11	1676
90	-172	-2.324324324324324	74	1750
91	-100	-50.0	2	1752
92	-115	-6.764705882352941	17	1769
93	-100	-50.0	2	1771
94	-112	-8.0	14	1785
95	-115	-6.764705882352941	17	1802
96	-110	-9.166666666666666	12	1814
97	-106	-13.25	8	1822
98	-133	-3.8	35	1857
99	-126	-4.5	28	1885
100	-102	-25.5	4	1889
101	-142	-3.227272727272727	44	1933
102	-102	-25.5	4	1937
103	-102	-25.5	4	1941
104	-108	-10.8	10	1951
105	-100	-50.0	2	1953
106	-108	-10.8	10	1963
107	-131	-3.9696969696969697	33	1996
108	-142	-3.227272727272727	44	2040
109	-109	-9.909090909090908	11	2051
110	-102	-25.5	4	2055
111	-105	-15.0	7	2062
112	-120	-5.454545454545454	22	2084
113	-104	-17.333333333333332	6	2090
114	-104	-17.333333333333332	6	2096
115	-152	-2.814814814814815	54	2150
116	-157	-2.6610169491525424	59	2209
117	-100	-50.0	2	2211
118	-103	-20.6	5	2216
119	-110	-9.166666666666666	12	2228
120	-137	-3.5128205128205128	39	2267
121	-119	-5.666666666666667	21	2288
122	-66	-0.9565217391304348	69	2357
123	-130	-4.0625	32	2389
124	-103	-20.6	5	2394
125	-157	-2.6610169491525424	59	2453
126	-109	-9.909090909090908	11	2464
127	-103	-20.6	5	2469
128	-130	-4.0625	32	2501
129	-100	-50.0	2	2503
130	-100	-50.0	2	2505
131	-104	-17.333333333333332	6	2511
132	-100	-50.0	2	2513
133	-100	-50.0	2	2515
134	-100	-50.0	2	2517
135	-100	-50.0	2	2519
136	-100	-50.0	2	2521
137	-112	-8.0	14	2535
138	-100	-50.0	2	2537
139	-111	-8.538461538461538	13	2550
140	-100	-50.0	2	2552
141	-100	-50.0	2	2554
142	-120	-5.454545454545454	22	2576
143	-113	-7.533333333333333	15	2591
144	-106	-13.25	8	2599
145	-113	-7.533333333333333	15	2614
146	-233	-1.7259259259259259	135	2749
147	-120	-5.454545454545454	22	2771
148	-125	-4.62962962962963	27	2798
149	-177	-2.240506329113924	79	2877
150	-100	-50.0	2	2879
151	-100	-50.0	2	2881
152	-135	-3.6486486486486487	37	2918
153	-124	-4.769230769230769	26	2944
154	-101	-33.666666666666664	3	2947
155	-195	-2.0103092783505154	97	3044
156	-137	-3.5128205128205128	39	3083
157	-100	-50.0	2	3085
158	-109	-9.909090909090908	11	3096
159	-100	-50.0	2	3098
160	-110	-9.166666666666666	12	3110
161	-100	-50.0	2	3112
162	-167	-2.420289855072464	69	3181
163	-182	-2.1666666666666665	84	3265
164	-42	-0.9333333333333333	45	3310
165	-100	-50.0	2	3312
166	-117	-6.157894736842105	19	3331
167	-54	-0.9473684210526315	57	3388
168	-126	-4.5	28	3416
169	-161	-2.5555555555555554	63	3479
170	-100	-50.0	2	3481
171	-102	-25.5	4	3485
172	-121	-5.260869565217392	23	3508
173	-100	-50.0	2	3510
174	-117	-6.157894736842105	19	3529
175	-122	-5.083333333333333	24	3553
176	-115	-6.764705882352941	17	3570
177	-134	-3.7222222222222223	36	3606
178	-138	-3.45	40	3646
179	-114	-7.125	16	3662
180	-114	-7.125	16	3678
181	-204	-1.9245283018867925	106	3784
182	-142	-3.227272727272727	44	3828
183	-177	-2.240506329113924	79	3907
184	-108	-10.8	10	3917
185	-206	-1.9074074074074074	108	4025
186	-100	-50.0	2	4027
187	-129	-0.9772727272727273	132	4159
188	-113	-7.533333333333333	15	4174
189	-100	-50.0	2	4176
190	-120	-5.454545454545454	22	4198
191	-112	-8.0	14	4212
192	-101	-33.666666666666664	3	4215
193	-100	-50.0	2	4217
194	-101	-33.666666666666664	3	4220
195	-105	-15.0	7	4227
196	-100	-50.0	2	4229
197	-143	-3.1777777777777776	45	4274
198	-22	-0.88	25	4299
199	-203	-1.9333333333333333	105	4404
200	45	0.7627118644067796	59	4463
201	-100	-50.0	2	4465
202	-100	-50.0	2	4467
203	-108	-10.8	10	4477
204	-103	-20.6	5	4482
205	-28	-0.21212121212121213	132	4614
206	-100	-50.0	2	4616
207	-102	-25.5	4	4620
208	-119	-5.666666666666667	21	4641
209	-135	-3.6486486486486487	37	4678
210	-27	-0.9	30	4708
211	-100	-50.0	2	4710
212	-117	-6.157894736842105	19	4729
213	-156	-2.689655172413793	58	4787
214	-100	-50.0	2	4789
