Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-107	-11.88888888888889	9	9	0	-107	-11.88888888888889	9	9	0	-107	-11.88888888888889	9	9	0	-107	-11.88888888888889	9	9	0	-107	-11.88888888888889	9	9	0	-107	-11.88888888888889	9	9	0	-107	-11.88888888888889	9	9	0	-107	-11.88888888888889	9	9	0	-107	-11.88888888888889	9	9	0	-107	-11.88888888888889	9	9
1	-104	-17.333333333333332	6	15	1	-104	-17.333333333333332	6	15	1	-104	-17.333333333333332	6	15	1	-104	-17.333333333333332	6	15	1	-104	-17.333333333333332	6	15	1	-104	-17.333333333333332	6	15	1	-104	-17.333333333333332	6	15	1	-104	-17.333333333333332	6	15	1	-104	-17.333333333333332	6	15	1	-104	-17.333333333333332	6	15
2	-124	-4.769230769230769	26	41	2	-124	-4.769230769230769	26	41	2	-124	-4.769230769230769	26	41	2	-124	-4.769230769230769	26	41	2	-124	-4.769230769230769	26	41	2	-124	-4.769230769230769	26	41	2	-124	-4.769230769230769	26	41	2	-124	-4.769230769230769	26	41	2	-124	-4.769230769230769	26	41	2	-124	-4.769230769230769	26	41
3	-100	-50.0	2	43	3	-100	-50.0	2	43	3	-100	-50.0	2	43	3	-100	-50.0	2	43	3	-100	-50.0	2	43	3	-100	-50.0	2	43	3	-100	-50.0	2	43	3	-100	-50.0	2	43	3	-100	-50.0	2	43	3	-100	-50.0	2	43
4	-115	-6.764705882352941	17	60	4	-115	-6.764705882352941	17	60	4	-115	-6.764705882352941	17	60	4	-115	-6.764705882352941	17	60	4	-115	-6.764705882352941	17	60	4	-115	-6.764705882352941	17	60	4	-115	-6.764705882352941	17	60	4	-115	-6.764705882352941	17	60	4	-115	-6.764705882352941	17	60	4	-115	-6.764705882352941	17	60
5	-101	-33.666666666666664	3	63	5	-101	-33.666666666666664	3	63	5	-101	-33.666666666666664	3	63	5	-101	-33.666666666666664	3	63	5	-101	-33.666666666666664	3	63	5	-101	-33.666666666666664	3	63	5	-101	-33.666666666666664	3	63	5	-101	-33.666666666666664	3	63	5	-101	-33.666666666666664	3	63	5	-101	-33.666666666666664	3	63
6	-124	-4.769230769230769	26	89	6	-124	-4.769230769230769	26	89	6	-124	-4.769230769230769	26	89	6	-124	-4.769230769230769	26	89	6	-124	-4.769230769230769	26	89	6	-124	-4.769230769230769	26	89	6	-124	-4.769230769230769	26	89	6	-124	-4.769230769230769	26	89	6	-124	-4.769230769230769	26	89	6	-124	-4.769230769230769	26	89
7	-107	-11.88888888888889	9	98	7	-107	-11.88888888888889	9	98	7	-107	-11.88888888888889	9	98	7	-107	-11.88888888888889	9	98	7	-107	-11.88888888888889	9	98	7	-107	-11.88888888888889	9	98	7	-107	-11.88888888888889	9	98	7	-107	-11.88888888888889	9	98	7	-107	-11.88888888888889	9	98	7	-107	-11.88888888888889	9	98
8	-201	-0.9852941176470589	204	302	8	-201	-0.9852941176470589	204	302	8	-201	-0.9852941176470589	204	302	8	-201	-0.9852941176470589	204	302	8	-201	-0.9852941176470589	204	302	8	-201	-0.9852941176470589	204	302	8	-201	-0.9852941176470589	204	302	8	-201	-0.9852941176470589	204	302	8	-201	-0.9852941176470589	204	302	8	-201	-0.9852941176470589	204	302
9	-100	-50.0	2	304	9	-100	-50.0	2	304	9	-100	-50.0	2	304	9	-100	-50.0	2	304	9	-100	-50.0	2	304	9	-100	-50.0	2	304	9	-100	-50.0	2	304	9	-100	-50.0	2	304	9	-100	-50.0	2	304	9	-100	-50.0	2	304
