Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-162	-2.53125	64	64	0	-162	-2.53125	64	64	0	-162	-2.53125	64	64	0	-162	-2.53125	64	64	0	-162	-2.53125	64	64	0	-162	-2.53125	64	64	0	-162	-2.53125	64	64	0	-162	-2.53125	64	64	0	-162	-2.53125	64	64	0	-162	-2.53125	64	64	0	-162	-2.53125	64	64
1	-128	-4.266666666666667	30	94	1	-128	-4.266666666666667	30	94	1	-128	-4.266666666666667	30	94	1	-128	-4.266666666666667	30	94	1	-128	-4.266666666666667	30	94	1	-128	-4.266666666666667	30	94	1	-128	-4.266666666666667	30	94	1	-128	-4.266666666666667	30	94	1	-128	-4.266666666666667	30	94	1	-128	-4.266666666666667	30	94	1	-128	-4.266666666666667	30	94
2	-111	-8.538461538461538	13	107	2	-111	-8.538461538461538	13	107	2	-111	-8.538461538461538	13	107	2	-111	-8.538461538461538	13	107	2	-111	-8.538461538461538	13	107	2	-111	-8.538461538461538	13	107	2	-111	-8.538461538461538	13	107	2	-111	-8.538461538461538	13	107	2	-111	-8.538461538461538	13	107	2	-111	-8.538461538461538	13	107	2	-111	-8.538461538461538	13	107
3	-100	-50.0	2	109	3	-100	-50.0	2	109	3	-100	-50.0	2	109	3	-100	-50.0	2	109	3	-100	-50.0	2	109	3	-100	-50.0	2	109	3	-100	-50.0	2	109	3	-100	-50.0	2	109	3	-100	-50.0	2	109	3	-100	-50.0	2	109	3	-100	-50.0	2	109
4	-100	-50.0	2	111	4	-100	-50.0	2	111	4	-100	-50.0	2	111	4	-100	-50.0	2	111	4	-100	-50.0	2	111	4	-100	-50.0	2	111	4	-100	-50.0	2	111	4	-100	-50.0	2	111	4	-100	-50.0	2	111	4	-100	-50.0	2	111	4	-100	-50.0	2	111
5	-107	-11.88888888888889	9	120	5	-107	-11.88888888888889	9	120	5	-107	-11.88888888888889	9	120	5	-107	-11.88888888888889	9	120	5	-107	-11.88888888888889	9	120	5	-107	-11.88888888888889	9	120	5	-107	-11.88888888888889	9	120	5	-107	-11.88888888888889	9	120	5	-107	-11.88888888888889	9	120	5	-107	-11.88888888888889	9	120	5	-107	-11.88888888888889	9	120
6	-111	-8.538461538461538	13	133	6	-111	-8.538461538461538	13	133	6	-111	-8.538461538461538	13	133	6	-111	-8.538461538461538	13	133	6	-111	-8.538461538461538	13	133	6	-111	-8.538461538461538	13	133	6	-111	-8.538461538461538	13	133	6	-111	-8.538461538461538	13	133	6	-111	-8.538461538461538	13	133	6	-111	-8.538461538461538	13	133	6	-111	-8.538461538461538	13	133
7	-203	-1.9333333333333333	105	238	7	-203	-1.9333333333333333	105	238	7	-203	-1.9333333333333333	105	238	7	-203	-1.9333333333333333	105	238	7	-203	-1.9333333333333333	105	238	7	-203	-1.9333333333333333	105	238	7	-203	-1.9333333333333333	105	238	7	-203	-1.9333333333333333	105	238	7	-203	-1.9333333333333333	105	238	7	-203	-1.9333333333333333	105	238	7	-203	-1.9333333333333333	105	238
8	-101	-33.666666666666664	3	241	8	-101	-33.666666666666664	3	241	8	-101	-33.666666666666664	3	241	8	-101	-33.666666666666664	3	241	8	-101	-33.666666666666664	3	241	8	-101	-33.666666666666664	3	241	8	-101	-33.666666666666664	3	241	8	-101	-33.666666666666664	3	241	8	-101	-33.666666666666664	3	241	8	-101	-33.666666666666664	3	241	8	-101	-33.666666666666664	3	241
9	-101	-33.666666666666664	3	244	9	-101	-33.666666666666664	3	244	9	-101	-33.666666666666664	3	244	9	-101	-33.666666666666664	3	244	9	-101	-33.666666666666664	3	244	9	-101	-33.666666666666664	3	244	9	-101	-33.666666666666664	3	244	9	-101	-33.666666666666664	3	244	9	-101	-33.666666666666664	3	244	9	-101	-33.666666666666664	3	244	9	-101	-33.666666666666664	3	244
10	-126	-4.5	28	272	10	-126	-4.5	28	272	10	-126	-4.5	28	272	10	-126	-4.5	28	272	10	-126	-4.5	28	272	10	-126	-4.5	28	272	10	-126	-4.5	28	272	10	-126	-4.5	28	272	10	-126	-4.5	28	272	10	-126	-4.5	28	272	10	-126	-4.5	28	272
11	-102	-25.5	4	276	11	-102	-25.5	4	276	11	-102	-25.5	4	276	11	-102	-25.5	4	276	11	-102	-25.5	4	276	11	-102	-25.5	4	276	11	-102	-25.5	4	276	11	-102	-25.5	4	276	11	-102	-25.5	4	276	11	-102	-25.5	4	276	11	-102	-25.5	4	276
12	-123	-4.92	25	301	12	-123	-4.92	25	301	12	-123	-4.92	25	301	12	-123	-4.92	25	301	12	-123	-4.92	25	301	12	-123	-4.92	25	301	12	-123	-4.92	25	301	12	-123	-4.92	25	301	12	-123	-4.92	25	301	12	-123	-4.92	25	301	12	-123	-4.92	25	301
13	-155	-2.719298245614035	57	358	13	-155	-2.719298245614035	57	358	13	-155	-2.719298245614035	57	358	13	-155	-2.719298245614035	57	358	13	-155	-2.719298245614035	57	358	13	-155	-2.719298245614035	57	358	13	-155	-2.719298245614035	57	358	13	-155	-2.719298245614035	57	358	13	-155	-2.719298245614035	57	358	13	-155	-2.719298245614035	57	358	13	-155	-2.719298245614035	57	358
14	-102	-25.5	4	362	14	-102	-25.5	4	362	14	-102	-25.5	4	362	14	-102	-25.5	4	362	14	-102	-25.5	4	362	14	-102	-25.5	4	362	14	-102	-25.5	4	362	14	-102	-25.5	4	362	14	-102	-25.5	4	362	14	-102	-25.5	4	362	14	-102	-25.5	4	362
