Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2	0	-100	-50.0	2	2
1	-108	-10.8	10	12	1	-108	-10.8	10	12	1	-108	-10.8	10	12	1	-108	-10.8	10	12	1	-108	-10.8	10	12	1	-108	-10.8	10	12	1	-108	-10.8	10	12	1	-108	-10.8	10	12	1	-108	-10.8	10	12	1	-108	-10.8	10	12	1	-108	-10.8	10	12	1	-108	-10.8	10	12
2	-170	-2.361111111111111	72	84	2	-170	-2.361111111111111	72	84	2	-170	-2.361111111111111	72	84	2	-170	-2.361111111111111	72	84	2	-170	-2.361111111111111	72	84	2	-170	-2.361111111111111	72	84	2	-170	-2.361111111111111	72	84	2	-170	-2.361111111111111	72	84	2	-170	-2.361111111111111	72	84	2	-170	-2.361111111111111	72	84	2	-170	-2.361111111111111	72	84	2	-170	-2.361111111111111	72	84
3	-109	-9.909090909090908	11	95	3	-109	-9.909090909090908	11	95	3	-109	-9.909090909090908	11	95	3	-109	-9.909090909090908	11	95	3	-109	-9.909090909090908	11	95	3	-109	-9.909090909090908	11	95	3	-109	-9.909090909090908	11	95	3	-109	-9.909090909090908	11	95	3	-109	-9.909090909090908	11	95	3	-109	-9.909090909090908	11	95	3	-109	-9.909090909090908	11	95	3	-109	-9.909090909090908	11	95
4	-111	-8.538461538461538	13	108	4	-111	-8.538461538461538	13	108	4	-111	-8.538461538461538	13	108	4	-111	-8.538461538461538	13	108	4	-111	-8.538461538461538	13	108	4	-111	-8.538461538461538	13	108	4	-111	-8.538461538461538	13	108	4	-111	-8.538461538461538	13	108	4	-111	-8.538461538461538	13	108	4	-111	-8.538461538461538	13	108	4	-111	-8.538461538461538	13	108	4	-111	-8.538461538461538	13	108
5	-101	-33.666666666666664	3	111	5	-101	-33.666666666666664	3	111	5	-101	-33.666666666666664	3	111	5	-101	-33.666666666666664	3	111	5	-101	-33.666666666666664	3	111	5	-101	-33.666666666666664	3	111	5	-101	-33.666666666666664	3	111	5	-101	-33.666666666666664	3	111	5	-101	-33.666666666666664	3	111	5	-101	-33.666666666666664	3	111	5	-101	-33.666666666666664	3	111	5	-101	-33.666666666666664	3	111
6	-100	-50.0	2	113	6	-100	-50.0	2	113	6	-100	-50.0	2	113	6	-100	-50.0	2	113	6	-100	-50.0	2	113	6	-100	-50.0	2	113	6	-100	-50.0	2	113	6	-100	-50.0	2	113	6	-100	-50.0	2	113	6	-100	-50.0	2	113	6	-100	-50.0	2	113	6	-100	-50.0	2	113
7	-111	-8.538461538461538	13	126	7	-111	-8.538461538461538	13	126	7	-111	-8.538461538461538	13	126	7	-111	-8.538461538461538	13	126	7	-111	-8.538461538461538	13	126	7	-111	-8.538461538461538	13	126	7	-111	-8.538461538461538	13	126	7	-111	-8.538461538461538	13	126	7	-111	-8.538461538461538	13	126	7	-111	-8.538461538461538	13	126	7	-111	-8.538461538461538	13	126	7	-111	-8.538461538461538	13	126
8	-105	-15.0	7	133	8	-105	-15.0	7	133	8	-105	-15.0	7	133	8	-105	-15.0	7	133	8	-105	-15.0	7	133	8	-105	-15.0	7	133	8	-105	-15.0	7	133	8	-105	-15.0	7	133	8	-105	-15.0	7	133	8	-105	-15.0	7	133	8	-105	-15.0	7	133	8	-105	-15.0	7	133
9	-116	-6.444444444444445	18	151	9	-116	-6.444444444444445	18	151	9	-116	-6.444444444444445	18	151	9	-116	-6.444444444444445	18	151	9	-116	-6.444444444444445	18	151	9	-116	-6.444444444444445	18	151	9	-116	-6.444444444444445	18	151	9	-116	-6.444444444444445	18	151	9	-116	-6.444444444444445	18	151	9	-116	-6.444444444444445	18	151	9	-116	-6.444444444444445	18	151	9	-116	-6.444444444444445	18	151
10	-100	-50.0	2	153	10	-100	-50.0	2	153	10	-100	-50.0	2	153	10	-100	-50.0	2	153	10	-100	-50.0	2	153	10	-100	-50.0	2	153	10	-100	-50.0	2	153	10	-100	-50.0	2	153	10	-100	-50.0	2	153	10	-100	-50.0	2	153	10	-100	-50.0	2	153	10	-100	-50.0	2	153
11	-109	-9.909090909090908	11	164	11	-109	-9.909090909090908	11	164	11	-109	-9.909090909090908	11	164	11	-109	-9.909090909090908	11	164	11	-109	-9.909090909090908	11	164	11	-109	-9.909090909090908	11	164	11	-109	-9.909090909090908	11	164	11	-109	-9.909090909090908	11	164	11	-109	-9.909090909090908	11	164	11	-109	-9.909090909090908	11	164	11	-109	-9.909090909090908	11	164	11	-109	-9.909090909090908	11	164
12	-100	-50.0	2	166	12	-100	-50.0	2	166	12	-100	-50.0	2	166	12	-100	-50.0	2	166	12	-100	-50.0	2	166	12	-100	-50.0	2	166	12	-100	-50.0	2	166	12	-100	-50.0	2	166	12	-100	-50.0	2	166	12	-100	-50.0	2	166	12	-100	-50.0	2	166	12	-100	-50.0	2	166
13	-103	-20.6	5	171	13	-103	-20.6	5	171	13	-103	-20.6	5	171	13	-103	-20.6	5	171	13	-103	-20.6	5	171	13	-103	-20.6	5	171	13	-103	-20.6	5	171	13	-103	-20.6	5	171	13	-103	-20.6	5	171	13	-103	-20.6	5	171	13	-103	-20.6	5	171	13	-103	-20.6	5	171
14	-165	-2.462686567164179	67	238	14	-165	-2.462686567164179	67	238	14	-165	-2.462686567164179	67	238	14	-165	-2.462686567164179	67	238	14	-165	-2.462686567164179	67	238	14	-165	-2.462686567164179	67	238	14	-165	-2.462686567164179	67	238	14	-165	-2.462686567164179	67	238	14	-165	-2.462686567164179	67	238	14	-165	-2.462686567164179	67	238	14	-165	-2.462686567164179	67	238	14	-165	-2.462686567164179	67	238
15	-130	-4.0625	32	270	15	-130	-4.0625	32	270	15	-130	-4.0625	32	270	15	-130	-4.0625	32	270	15	-130	-4.0625	32	270	15	-130	-4.0625	32	270	15	-130	-4.0625	32	270	15	-130	-4.0625	32	270	15	-130	-4.0625	32	270	15	-130	-4.0625	32	270	15	-130	-4.0625	32	270	15	-130	-4.0625	32	270
16	-130	-4.0625	32	302	16	-130	-4.0625	32	302	16	-130	-4.0625	32	302	16	-130	-4.0625	32	302	16	-130	-4.0625	32	302	16	-130	-4.0625	32	302	16	-130	-4.0625	32	302	16	-130	-4.0625	32	302	16	-130	-4.0625	32	302	16	-130	-4.0625	32	302	16	-130	-4.0625	32	302	16	-130	-4.0625	32	302
17	-102	-25.5	4	306	17	-102	-25.5	4	306	17	-102	-25.5	4	306	17	-102	-25.5	4	306	17	-102	-25.5	4	306	17	-102	-25.5	4	306	17	-102	-25.5	4	306	17	-102	-25.5	4	306	17	-102	-25.5	4	306	17	-102	-25.5	4	306	17	-102	-25.5	4	306	17	-102	-25.5	4	306
18	-140	-3.3333333333333335	42	348	18	-140	-3.3333333333333335	42	348	18	-140	-3.3333333333333335	42	348	18	-140	-3.3333333333333335	42	348	18	-140	-3.3333333333333335	42	348	18	-140	-3.3333333333333335	42	348	18	-140	-3.3333333333333335	42	348	18	-140	-3.3333333333333335	42	348	18	-140	-3.3333333333333335	42	348	18	-140	-3.3333333333333335	42	348	18	-140	-3.3333333333333335	42	348	18	-140	-3.3333333333333335	42	348
19	-100	-50.0	2	350	19	-100	-50.0	2	350	19	-100	-50.0	2	350	19	-100	-50.0	2	350	19	-100	-50.0	2	350	19	-100	-50.0	2	350	19	-100	-50.0	2	350	19	-100	-50.0	2	350	19	-100	-50.0	2	350	19	-100	-50.0	2	350	19	-100	-50.0	2	350	19	-100	-50.0	2	350
20	-100	-50.0	2	352	20	-100	-50.0	2	352	20	-100	-50.0	2	352	20	-100	-50.0	2	352	20	-100	-50.0	2	352	20	-100	-50.0	2	352	20	-100	-50.0	2	352	20	-100	-50.0	2	352	20	-100	-50.0	2	352	20	-100	-50.0	2	352	20	-100	-50.0	2	352	20	-100	-50.0	2	352
21	-100	-50.0	2	354	21	-100	-50.0	2	354	21	-100	-50.0	2	354	21	-100	-50.0	2	354	21	-100	-50.0	2	354	21	-100	-50.0	2	354	21	-100	-50.0	2	354	21	-100	-50.0	2	354	21	-100	-50.0	2	354	21	-100	-50.0	2	354	21	-100	-50.0	2	354	21	-100	-50.0	2	354
22	-117	-6.157894736842105	19	373	22	-117	-6.157894736842105	19	373	22	-117	-6.157894736842105	19	373	22	-117	-6.157894736842105	19	373	22	-117	-6.157894736842105	19	373	22	-117	-6.157894736842105	19	373	22	-117	-6.157894736842105	19	373	22	-117	-6.157894736842105	19	373	22	-117	-6.157894736842105	19	373	22	-117	-6.157894736842105	19	373	22	-117	-6.157894736842105	19	373	22	-117	-6.157894736842105	19	373
23	-112	-8.0	14	387	23	-112	-8.0	14	387	23	-112	-8.0	14	387	23	-112	-8.0	14	387	23	-112	-8.0	14	387	23	-112	-8.0	14	387	23	-112	-8.0	14	387	23	-112	-8.0	14	387	23	-112	-8.0	14	387	23	-112	-8.0	14	387	23	-112	-8.0	14	387	23	-112	-8.0	14	387
24	-193	-2.031578947368421	95	482	24	-193	-2.031578947368421	95	482	24	-193	-2.031578947368421	95	482	24	-193	-2.031578947368421	95	482	24	-193	-2.031578947368421	95	482	24	-193	-2.031578947368421	95	482	24	-193	-2.031578947368421	95	482	24	-193	-2.031578947368421	95	482	24	-193	-2.031578947368421	95	482	24	-193	-2.031578947368421	95	482	24	-193	-2.031578947368421	95	482	24	-193	-2.031578947368421	95	482
25	-105	-15.0	7	489	25	-105	-15.0	7	489	25	-105	-15.0	7	489	25	-105	-15.0	7	489	25	-105	-15.0	7	489	25	-105	-15.0	7	489	25	-105	-15.0	7	489	25	-105	-15.0	7	489	25	-105	-15.0	7	489	25	-105	-15.0	7	489	25	-105	-15.0	7	489	25	-105	-15.0	7	489
