Episode	Accumulated Reward	Average Reward	Length	Steps
0	-4829.023115912565	-38.632184927300514	125	125
1	-4340.854721563964	-34.726837772511715	125	250
2	-3210.110406629081	-25.680883253032654	125	375
3	-1639.502671186385	-13.116021369491083	125	500
4	-1534.1242484849056	-12.272993987879243	125	625
5	-1618.8770872416576	-12.951016697933259	125	750
6	-1907.9727866449875	-15.263782293159899	125	875
7	-838.5684219263054	-6.708547375410446	125	1000
8	-1116.6195402895996	-8.932956322316791	125	1125
9	-1319.0483748219867	-10.55238699857589	125	1250
10	-1207.8617043781992	-9.662893635025593	125	1375
11	-1019.015909208322	-8.15212727366658	125	1500
12	-1331.5912910291952	-10.65273032823357	125	1625
13	-1239.286501703376	-9.914292013627007	125	1750
14	-910.9504660225788	-7.287603728180628	125	1875
15	-1301.240937757366	-10.409927502058927	125	2000
