Episode	Accumulated Reward	Average Reward	Length	Steps
0	-1865	-3.893528183716075	479	479
1	-463	-2.789156626506024	166	645
2	-222	-1.8048780487804879	123	768
3	-228	-1.7674418604651163	129	897
4	-406	-3.7247706422018347	109	1006
5	-84	-1.0	84	1090
6	-74	-1.0	74	1164
7	-66	-1.0	66	1230
8	-49	-1.0	49	1279
9	-23	-1.0	23	1302
10	-269	-3.788732394366197	71	1373
11	-416	-3.495798319327731	119	1492
12	-299	-2.9603960396039604	101	1593
13	-42	-1.0	42	1635
14	-52	-1.0	52	1687
15	-169	-2.414285714285714	70	1757
16	-28	-1.0	28	1785
17	-37	-1.0	37	1822
18	-142	-3.302325581395349	43	1865
19	-148	-3.020408163265306	49	1914
20	-30	-1.0	30	1944
21	-136	-3.675675675675676	37	1981
22	-45	-1.0	45	2026
23	-21	-1.0	21	2047
24	-31	-1.0	31	2078
25	-41	-1.0	41	2119
26	-26	-1.0	26	2145
27	-19	-1.0	19	2164
28	-37	-1.0	37	2201
29	-16	-1.0	16	2217
30	-25	-1.0	25	2242
31	-24	-1.0	24	2266
32	-47	-1.0	47	2313
33	-18	-1.0	18	2331
34	-15	-1.0	15	2346
35	-144	-3.2	45	2391
36	-24	-1.0	24	2415
37	-30	-1.0	30	2445
38	-27	-1.0	27	2472
39	-20	-1.0	20	2492
40	-19	-1.0	19	2511
41	-15	-1.0	15	2526
42	-19	-1.0	19	2545
43	-119	-5.95	20	2565
44	-15	-1.0	15	2580
45	-23	-1.0	23	2603
46	-25	-1.0	25	2628
47	-17	-1.0	17	2645
48	-126	-4.666666666666667	27	2672
49	-16	-1.0	16	2688
50	-25	-1.0	25	2713
51	-13	-1.0	13	2726
52	-354	-6.2105263157894735	57	2783
53	-13	-1.0	13	2796
54	-13	-1.0	13	2809
55	-13	-1.0	13	2822
56	-15	-1.0	15	2837
57	-15	-1.0	15	2852
58	-117	-6.5	18	2870
59	-113	-8.071428571428571	14	2884
60	-13	-1.0	13	2897
61	-15	-1.0	15	2912
62	-19	-1.0	19	2931
63	-17	-1.0	17	2948
64	-13	-1.0	13	2961
65	-113	-8.071428571428571	14	2975
66	-17	-1.0	17	2992
67	-334	-9.027027027027026	37	3029
68	-127	-4.535714285714286	28	3057
69	-17	-1.0	17	3074
70	-13	-1.0	13	3087
71	-126	-4.666666666666667	27	3114
72	-117	-6.5	18	3132
73	-15	-1.0	15	3147
74	-19	-1.0	19	3166
75	-15	-1.0	15	3181
76	-17	-1.0	17	3198
77	-121	-5.5	22	3220
78	-13	-1.0	13	3233
79	-121	-5.5	22	3255
80	-17	-1.0	17	3272
81	-13	-1.0	13	3285
82	-13	-1.0	13	3298
83	-13	-1.0	13	3311
84	-17	-1.0	17	3328
85	-13	-1.0	13	3341
86	-18	-1.0	18	3359
87	-13	-1.0	13	3372
88	-14	-1.0	14	3386
89	-15	-1.0	15	3401
90	-13	-1.0	13	3414
91	-13	-1.0	13	3427
92	-115	-7.1875	16	3443
93	-13	-1.0	13	3456
94	-130	-4.193548387096774	31	3487
95	-20	-1.0	20	3507
96	-13	-1.0	13	3520
97	-17	-1.0	17	3537
98	-13	-1.0	13	3550
99	-17	-1.0	17	3567
100	-13	-1.0	13	3580
101	-16	-1.0	16	3596
102	-14	-1.0	14	3610
103	-15	-1.0	15	3625
104	-234	-6.5	36	3661
105	-15	-1.0	15	3676
106	-17	-1.0	17	3693
107	-18	-1.0	18	3711
108	-13	-1.0	13	3724
109	-13	-1.0	13	3737
110	-113	-8.071428571428571	14	3751
111	-120	-5.714285714285714	21	3772
112	-31	-1.0	31	3803
113	-15	-1.0	15	3818
114	-13	-1.0	13	3831
115	-13	-1.0	13	3844
116	-218	-10.9	20	3864
117	-17	-1.0	17	3881
118	-16	-1.0	16	3897
119	-229	-7.387096774193548	31	3928
120	-13	-1.0	13	3941
121	-15	-1.0	15	3956
122	-15	-1.0	15	3971
123	-15	-1.0	15	3986
124	-13	-1.0	13	3999
125	-14	-1.0	14	4013
126	-17	-1.0	17	4030
127	-13	-1.0	13	4043
128	-117	-6.5	18	4061
129	-13	-1.0	13	4074
130	-115	-7.1875	16	4090
131	-13	-1.0	13	4103
132	-117	-6.5	18	4121
133	-15	-1.0	15	4136
134	-13	-1.0	13	4149
135	-15	-1.0	15	4164
136	-117	-6.5	18	4182
137	-17	-1.0	17	4199
138	-13	-1.0	13	4212
139	-120	-5.714285714285714	21	4233
140	-124	-4.96	25	4258
141	-13	-1.0	13	4271
142	-13	-1.0	13	4284
143	-13	-1.0	13	4297
144	-16	-1.0	16	4313
145	-15	-1.0	15	4328
146	-121	-5.5	22	4350
147	-13	-1.0	13	4363
148	-13	-1.0	13	4376
149	-17	-1.0	17	4393
150	-17	-1.0	17	4410
151	-15	-1.0	15	4425
152	-125	-4.8076923076923075	26	4451
153	-15	-1.0	15	4466
154	-13	-1.0	13	4479
155	-117	-6.5	18	4497
156	-13	-1.0	13	4510
157	-13	-1.0	13	4523
158	-123	-5.125	24	4547
159	-123	-5.125	24	4571
160	-20	-1.0	20	4591
161	-126	-4.666666666666667	27	4618
162	-119	-5.95	20	4638
163	-13	-1.0	13	4651
164	-15	-1.0	15	4666
165	-124	-4.96	25	4691
166	-15	-1.0	15	4706
167	-220	-10.0	22	4728
168	-15	-1.0	15	4743
169	-235	-6.351351351351352	37	4780
170	-13	-1.0	13	4793
171	-23	-1.0	23	4816
172	-18	-1.0	18	4834
173	-15	-1.0	15	4849
174	-126	-4.666666666666667	27	4876
175	-13	-1.0	13	4889
176	-17	-1.0	17	4906
177	-13	-1.0	13	4919
178	-15	-1.0	15	4934
179	-15	-1.0	15	4949
180	-13	-1.0	13	4962
181	-13	-1.0	13	4975
182	-114	-7.6	15	4990
183	-13	-1.0	13	5003
184	-118	-6.2105263157894735	19	5022
185	-13	-1.0	13	5035
186	-239	-5.829268292682927	41	5076
187	-13	-1.0	13	5089
188	-13	-1.0	13	5102
189	-13	-1.0	13	5115
190	-15	-1.0	15	5130
191	-17	-1.0	17	5147
192	-13	-1.0	13	5160
193	-21	-1.0	21	5181
194	-127	-4.535714285714286	28	5209
195	-17	-1.0	17	5226
196	-15	-1.0	15	5241
197	-13	-1.0	13	5254
198	-15	-1.0	15	5269
199	-13	-1.0	13	5282
