Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-1418	-4.310030395136778	329	329	0	-1418	-4.310030395136778	329	329	0	-1418	-4.310030395136778	329	329	0	-1418	-4.310030395136778	329	329
1	-405	-1.9565217391304348	207	536	1	-405	-1.9565217391304348	207	536	1	-405	-1.9565217391304348	207	536	1	-405	-1.9565217391304348	207	536
2	-292	-1.5129533678756477	193	729	2	-292	-1.5129533678756477	193	729	2	-292	-1.5129533678756477	193	729	2	-292	-1.5129533678756477	193	729
3	-43	-1.0	43	772	3	-43	-1.0	43	772	3	-43	-1.0	43	772	3	-43	-1.0	43	772
4	-86	-1.0	86	858	4	-86	-1.0	86	858	4	-86	-1.0	86	858	4	-86	-1.0	86	858
5	-59	-1.0	59	917	5	-59	-1.0	59	917	5	-59	-1.0	59	917	5	-59	-1.0	59	917
6	-66	-1.0	66	983	6	-66	-1.0	66	983	6	-66	-1.0	66	983	6	-66	-1.0	66	983
7	-78	-1.0	78	1061	7	-78	-1.0	78	1061	7	-78	-1.0	78	1061	7	-78	-1.0	78	1061
8	-35	-1.0	35	1096	8	-35	-1.0	35	1096	8	-35	-1.0	35	1096	8	-35	-1.0	35	1096
9	-56	-1.0	56	1152	9	-56	-1.0	56	1152	9	-56	-1.0	56	1152	9	-56	-1.0	56	1152
10	-36	-1.0	36	1188	10	-36	-1.0	36	1188	10	-36	-1.0	36	1188	10	-36	-1.0	36	1188
11	-67	-1.0	67	1255	11	-67	-1.0	67	1255	11	-67	-1.0	67	1255	11	-67	-1.0	67	1255
12	-58	-1.0	58	1313	12	-58	-1.0	58	1313	12	-58	-1.0	58	1313	12	-58	-1.0	58	1313
13	-59	-1.0	59	1372	13	-59	-1.0	59	1372	13	-59	-1.0	59	1372	13	-59	-1.0	59	1372
14	-55	-1.0	55	1427	14	-55	-1.0	55	1427	14	-55	-1.0	55	1427	14	-55	-1.0	55	1427
15	-24	-1.0	24	1451	15	-24	-1.0	24	1451	15	-24	-1.0	24	1451	15	-24	-1.0	24	1451
16	-301	-2.9223300970873787	103	1554	16	-301	-2.9223300970873787	103	1554	16	-301	-2.9223300970873787	103	1554	16	-301	-2.9223300970873787	103	1554
17	-307	-2.81651376146789	109	1663	17	-307	-2.81651376146789	109	1663	17	-307	-2.81651376146789	109	1663	17	-307	-2.81651376146789	109	1663
18	-49	-1.0	49	1712	18	-49	-1.0	49	1712	18	-49	-1.0	49	1712	18	-49	-1.0	49	1712
19	-24	-1.0	24	1736	19	-24	-1.0	24	1736	19	-24	-1.0	24	1736	19	-24	-1.0	24	1736
20	-22	-1.0	22	1758	20	-22	-1.0	22	1758	20	-22	-1.0	22	1758	20	-22	-1.0	22	1758
21	-32	-1.0	32	1790	21	-32	-1.0	32	1790	21	-32	-1.0	32	1790	21	-32	-1.0	32	1790
22	-26	-1.0	26	1816	22	-26	-1.0	26	1816	22	-26	-1.0	26	1816	22	-26	-1.0	26	1816
23	-35	-1.0	35	1851	23	-35	-1.0	35	1851	23	-35	-1.0	35	1851	23	-35	-1.0	35	1851
24	-40	-1.0	40	1891	24	-40	-1.0	40	1891	24	-40	-1.0	40	1891	24	-40	-1.0	40	1891
25	-42	-1.0	42	1933	25	-42	-1.0	42	1933	25	-42	-1.0	42	1933	25	-42	-1.0	42	1933
26	-139	-3.475	40	1973	26	-139	-3.475	40	1973	26	-139	-3.475	40	1973	26	-139	-3.475	40	1973
27	-18	-1.0	18	1991	27	-18	-1.0	18	1991	27	-18	-1.0	18	1991	27	-18	-1.0	18	1991
28	-30	-1.0	30	2021	28	-30	-1.0	30	2021	28	-30	-1.0	30	2021	28	-30	-1.0	30	2021
29	-36	-1.0	36	2057	29	-36	-1.0	36	2057	29	-36	-1.0	36	2057	29	-36	-1.0	36	2057
30	-30	-1.0	30	2087	30	-30	-1.0	30	2087	30	-30	-1.0	30	2087	30	-30	-1.0	30	2087
31	-30	-1.0	30	2117	31	-30	-1.0	30	2117	31	-30	-1.0	30	2117	31	-30	-1.0	30	2117
32	-121	-5.5	22	2139	32	-121	-5.5	22	2139	32	-121	-5.5	22	2139	32	-121	-5.5	22	2139
33	-27	-1.0	27	2166	33	-27	-1.0	27	2166	33	-27	-1.0	27	2166	33	-27	-1.0	27	2166
34	-17	-1.0	17	2183	34	-17	-1.0	17	2183	34	-17	-1.0	17	2183	34	-17	-1.0	17	2183
