Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-1368	-3.619047619047619	378	378	0	-1368	-3.619047619047619	378	378	0	-1368	-3.619047619047619	378	378	0	-1368	-3.619047619047619	378	378	0	-1368	-3.619047619047619	378	378	0	-1368	-3.619047619047619	378	378	0	-1368	-3.619047619047619	378	378
1	-599	-1.9834437086092715	302	680	1	-599	-1.9834437086092715	302	680	1	-599	-1.9834437086092715	302	680	1	-599	-1.9834437086092715	302	680	1	-599	-1.9834437086092715	302	680	1	-599	-1.9834437086092715	302	680	1	-599	-1.9834437086092715	302	680
2	-223	-1.7983870967741935	124	804	2	-223	-1.7983870967741935	124	804	2	-223	-1.7983870967741935	124	804	2	-223	-1.7983870967741935	124	804	2	-223	-1.7983870967741935	124	804	2	-223	-1.7983870967741935	124	804	2	-223	-1.7983870967741935	124	804
3	-87	-1.0	87	891	3	-87	-1.0	87	891	3	-87	-1.0	87	891	3	-87	-1.0	87	891	3	-87	-1.0	87	891	3	-87	-1.0	87	891	3	-87	-1.0	87	891
4	-212	-1.8761061946902655	113	1004	4	-212	-1.8761061946902655	113	1004	4	-212	-1.8761061946902655	113	1004	4	-212	-1.8761061946902655	113	1004	4	-212	-1.8761061946902655	113	1004	4	-212	-1.8761061946902655	113	1004	4	-212	-1.8761061946902655	113	1004
5	-241	-1.6971830985915493	142	1146	5	-241	-1.6971830985915493	142	1146	5	-241	-1.6971830985915493	142	1146	5	-241	-1.6971830985915493	142	1146	5	-241	-1.6971830985915493	142	1146	5	-241	-1.6971830985915493	142	1146	5	-241	-1.6971830985915493	142	1146
6	-43	-1.0	43	1189	6	-43	-1.0	43	1189	6	-43	-1.0	43	1189	6	-43	-1.0	43	1189	6	-43	-1.0	43	1189	6	-43	-1.0	43	1189	6	-43	-1.0	43	1189
7	-64	-1.0	64	1253	7	-64	-1.0	64	1253	7	-64	-1.0	64	1253	7	-64	-1.0	64	1253	7	-64	-1.0	64	1253	7	-64	-1.0	64	1253	7	-64	-1.0	64	1253
8	-48	-1.0	48	1301	8	-48	-1.0	48	1301	8	-48	-1.0	48	1301	8	-48	-1.0	48	1301	8	-48	-1.0	48	1301	8	-48	-1.0	48	1301	8	-48	-1.0	48	1301
9	-49	-1.0	49	1350	9	-49	-1.0	49	1350	9	-49	-1.0	49	1350	9	-49	-1.0	49	1350	9	-49	-1.0	49	1350	9	-49	-1.0	49	1350	9	-49	-1.0	49	1350
10	-332	-2.4776119402985075	134	1484	10	-332	-2.4776119402985075	134	1484	10	-332	-2.4776119402985075	134	1484	10	-332	-2.4776119402985075	134	1484	10	-332	-2.4776119402985075	134	1484	10	-332	-2.4776119402985075	134	1484	10	-332	-2.4776119402985075	134	1484
11	-26	-1.0	26	1510	11	-26	-1.0	26	1510	11	-26	-1.0	26	1510	11	-26	-1.0	26	1510	11	-26	-1.0	26	1510	11	-26	-1.0	26	1510	11	-26	-1.0	26	1510
12	-125	-4.8076923076923075	26	1536	12	-125	-4.8076923076923075	26	1536	12	-125	-4.8076923076923075	26	1536	12	-125	-4.8076923076923075	26	1536	12	-125	-4.8076923076923075	26	1536	12	-125	-4.8076923076923075	26	1536	12	-125	-4.8076923076923075	26	1536
13	-191	-2.0760869565217392	92	1628	13	-191	-2.0760869565217392	92	1628	13	-191	-2.0760869565217392	92	1628	13	-191	-2.0760869565217392	92	1628	13	-191	-2.0760869565217392	92	1628	13	-191	-2.0760869565217392	92	1628	13	-191	-2.0760869565217392	92	1628
