Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-1857	-3.2578947368421054	570	570	0	-1857	-3.2578947368421054	570	570	0	-1857	-3.2578947368421054	570	570	0	-1857	-3.2578947368421054	570	570	0	-1857	-3.2578947368421054	570	570	0	-1857	-3.2578947368421054	570	570	0	-1857	-3.2578947368421054	570	570	0	-1857	-3.2578947368421054	570	570	0	-1857	-3.2578947368421054	570	570	0	-1857	-3.2578947368421054	570	570
1	-83	-1.0	83	653	1	-83	-1.0	83	653	1	-83	-1.0	83	653	1	-83	-1.0	83	653	1	-83	-1.0	83	653	1	-83	-1.0	83	653	1	-83	-1.0	83	653	1	-83	-1.0	83	653	1	-83	-1.0	83	653	1	-83	-1.0	83	653
2	-281	-3.3855421686746987	83	736	2	-281	-3.3855421686746987	83	736	2	-281	-3.3855421686746987	83	736	2	-281	-3.3855421686746987	83	736	2	-281	-3.3855421686746987	83	736	2	-281	-3.3855421686746987	83	736	2	-281	-3.3855421686746987	83	736	2	-281	-3.3855421686746987	83	736	2	-281	-3.3855421686746987	83	736	2	-281	-3.3855421686746987	83	736
3	-76	-1.0	76	812	3	-76	-1.0	76	812	3	-76	-1.0	76	812	3	-76	-1.0	76	812	3	-76	-1.0	76	812	3	-76	-1.0	76	812	3	-76	-1.0	76	812	3	-76	-1.0	76	812	3	-76	-1.0	76	812	3	-76	-1.0	76	812
4	-79	-1.0	79	891	4	-79	-1.0	79	891	4	-79	-1.0	79	891	4	-79	-1.0	79	891	4	-79	-1.0	79	891	4	-79	-1.0	79	891	4	-79	-1.0	79	891	4	-79	-1.0	79	891	4	-79	-1.0	79	891	4	-79	-1.0	79	891
5	-193	-2.0531914893617023	94	985	5	-193	-2.0531914893617023	94	985	5	-193	-2.0531914893617023	94	985	5	-193	-2.0531914893617023	94	985	5	-193	-2.0531914893617023	94	985	5	-193	-2.0531914893617023	94	985	5	-193	-2.0531914893617023	94	985	5	-193	-2.0531914893617023	94	985	5	-193	-2.0531914893617023	94	985	5	-193	-2.0531914893617023	94	985
6	-68	-1.0	68	1053	6	-68	-1.0	68	1053	6	-68	-1.0	68	1053	6	-68	-1.0	68	1053	6	-68	-1.0	68	1053	6	-68	-1.0	68	1053	6	-68	-1.0	68	1053	6	-68	-1.0	68	1053	6	-68	-1.0	68	1053	6	-68	-1.0	68	1053
7	-38	-1.0	38	1091	7	-38	-1.0	38	1091	7	-38	-1.0	38	1091	7	-38	-1.0	38	1091	7	-38	-1.0	38	1091	7	-38	-1.0	38	1091	7	-38	-1.0	38	1091	7	-38	-1.0	38	1091	7	-38	-1.0	38	1091	7	-38	-1.0	38	1091
8	-85	-1.0	85	1176	8	-85	-1.0	85	1176	8	-85	-1.0	85	1176	8	-85	-1.0	85	1176	8	-85	-1.0	85	1176	8	-85	-1.0	85	1176	8	-85	-1.0	85	1176	8	-85	-1.0	85	1176	8	-85	-1.0	85	1176	8	-85	-1.0	85	1176
9	-16	-1.0	16	1192	9	-16	-1.0	16	1192	9	-16	-1.0	16	1192	9	-16	-1.0	16	1192	9	-16	-1.0	16	1192	9	-16	-1.0	16	1192	9	-16	-1.0	16	1192	9	-16	-1.0	16	1192	9	-16	-1.0	16	1192	9	-16	-1.0	16	1192
10	-87	-1.0	87	1279	10	-87	-1.0	87	1279	10	-87	-1.0	87	1279	10	-87	-1.0	87	1279	10	-87	-1.0	87	1279	10	-87	-1.0	87	1279	10	-87	-1.0	87	1279	10	-87	-1.0	87	1279	10	-87	-1.0	87	1279	10	-87	-1.0	87	1279
11	-42	-1.0	42	1321	11	-42	-1.0	42	1321	11	-42	-1.0	42	1321	11	-42	-1.0	42	1321	11	-42	-1.0	42	1321	11	-42	-1.0	42	1321	11	-42	-1.0	42	1321	11	-42	-1.0	42	1321	11	-42	-1.0	42	1321	11	-42	-1.0	42	1321
12	-70	-1.0	70	1391	12	-70	-1.0	70	1391	12	-70	-1.0	70	1391	12	-70	-1.0	70	1391	12	-70	-1.0	70	1391	12	-70	-1.0	70	1391	12	-70	-1.0	70	1391	12	-70	-1.0	70	1391	12	-70	-1.0	70	1391	12	-70	-1.0	70	1391
13	-150	-2.9411764705882355	51	1442	13	-150	-2.9411764705882355	51	1442	13	-150	-2.9411764705882355	51	1442	13	-150	-2.9411764705882355	51	1442	13	-150	-2.9411764705882355	51	1442	13	-150	-2.9411764705882355	51	1442	13	-150	-2.9411764705882355	51	1442	13	-150	-2.9411764705882355	51	1442	13	-150	-2.9411764705882355	51	1442	13	-150	-2.9411764705882355	51	1442
14	-55	-1.0	55	1497	14	-55	-1.0	55	1497	14	-55	-1.0	55	1497	14	-55	-1.0	55	1497	14	-55	-1.0	55	1497	14	-55	-1.0	55	1497	14	-55	-1.0	55	1497	14	-55	-1.0	55	1497	14	-55	-1.0	55	1497	14	-55	-1.0	55	1497
15	-260	-4.193548387096774	62	1559	15	-260	-4.193548387096774	62	1559	15	-260	-4.193548387096774	62	1559	15	-260	-4.193548387096774	62	1559	15	-260	-4.193548387096774	62	1559	15	-260	-4.193548387096774	62	1559	15	-260	-4.193548387096774	62	1559	15	-260	-4.193548387096774	62	1559	15	-260	-4.193548387096774	62	1559	15	-260	-4.193548387096774	62	1559
16	-37	-1.0	37	1596	16	-37	-1.0	37	1596	16	-37	-1.0	37	1596	16	-37	-1.0	37	1596	16	-37	-1.0	37	1596	16	-37	-1.0	37	1596	16	-37	-1.0	37	1596	16	-37	-1.0	37	1596	16	-37	-1.0	37	1596	16	-37	-1.0	37	1596
17	-37	-1.0	37	1633	17	-37	-1.0	37	1633	17	-37	-1.0	37	1633	17	-37	-1.0	37	1633	17	-37	-1.0	37	1633	17	-37	-1.0	37	1633	17	-37	-1.0	37	1633	17	-37	-1.0	37	1633	17	-37	-1.0	37	1633	17	-37	-1.0	37	1633
18	-41	-1.0	41	1674	18	-41	-1.0	41	1674	18	-41	-1.0	41	1674	18	-41	-1.0	41	1674	18	-41	-1.0	41	1674	18	-41	-1.0	41	1674	18	-41	-1.0	41	1674	18	-41	-1.0	41	1674	18	-41	-1.0	41	1674	18	-41	-1.0	41	1674
19	-36	-1.0	36	1710	19	-36	-1.0	36	1710	19	-36	-1.0	36	1710	19	-36	-1.0	36	1710	19	-36	-1.0	36	1710	19	-36	-1.0	36	1710	19	-36	-1.0	36	1710	19	-36	-1.0	36	1710	19	-36	-1.0	36	1710	19	-36	-1.0	36	1710
20	-33	-1.0	33	1743	20	-33	-1.0	33	1743	20	-33	-1.0	33	1743	20	-33	-1.0	33	1743	20	-33	-1.0	33	1743	20	-33	-1.0	33	1743	20	-33	-1.0	33	1743	20	-33	-1.0	33	1743	20	-33	-1.0	33	1743	20	-33	-1.0	33	1743
21	-36	-1.0	36	1779	21	-36	-1.0	36	1779	21	-36	-1.0	36	1779	21	-36	-1.0	36	1779	21	-36	-1.0	36	1779	21	-36	-1.0	36	1779	21	-36	-1.0	36	1779	21	-36	-1.0	36	1779	21	-36	-1.0	36	1779	21	-36	-1.0	36	1779
22	-150	-2.9411764705882355	51	1830	22	-150	-2.9411764705882355	51	1830	22	-150	-2.9411764705882355	51	1830	22	-150	-2.9411764705882355	51	1830	22	-150	-2.9411764705882355	51	1830	22	-150	-2.9411764705882355	51	1830	22	-150	-2.9411764705882355	51	1830	22	-150	-2.9411764705882355	51	1830	22	-150	-2.9411764705882355	51	1830	22	-150	-2.9411764705882355	51	1830
23	-143	-3.25	44	1874	23	-143	-3.25	44	1874	23	-143	-3.25	44	1874	23	-143	-3.25	44	1874	23	-143	-3.25	44	1874	23	-143	-3.25	44	1874	23	-143	-3.25	44	1874	23	-143	-3.25	44	1874	23	-143	-3.25	44	1874	23	-143	-3.25	44	1874
