Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-1982	-3.9879275653923543	497	497	0	-1982	-3.9879275653923543	497	497	0	-1982	-3.9879275653923543	497	497	0	-1982	-3.9879275653923543	497	497	0	-1982	-3.9879275653923543	497	497	0	-1982	-3.9879275653923543	497	497	0	-1982	-3.9879275653923543	497	497	0	-1982	-3.9879275653923543	497	497	0	-1982	-3.9879275653923543	497	497	0	-1982	-3.9879275653923543	497	497	0	-1982	-3.9879275653923543	497	497	0	-1982	-3.9879275653923543	497	497	0	-1982	-3.9879275653923543	497	497
1	-157	-1.0	157	654	1	-157	-1.0	157	654	1	-157	-1.0	157	654	1	-157	-1.0	157	654	1	-157	-1.0	157	654	1	-157	-1.0	157	654	1	-157	-1.0	157	654	1	-157	-1.0	157	654	1	-157	-1.0	157	654	1	-157	-1.0	157	654	1	-157	-1.0	157	654	1	-157	-1.0	157	654	1	-157	-1.0	157	654
2	-196	-2.020618556701031	97	751	2	-196	-2.020618556701031	97	751	2	-196	-2.020618556701031	97	751	2	-196	-2.020618556701031	97	751	2	-196	-2.020618556701031	97	751	2	-196	-2.020618556701031	97	751	2	-196	-2.020618556701031	97	751	2	-196	-2.020618556701031	97	751	2	-196	-2.020618556701031	97	751	2	-196	-2.020618556701031	97	751	2	-196	-2.020618556701031	97	751	2	-196	-2.020618556701031	97	751	2	-196	-2.020618556701031	97	751
3	-211	-1.8839285714285714	112	863	3	-211	-1.8839285714285714	112	863	3	-211	-1.8839285714285714	112	863	3	-211	-1.8839285714285714	112	863	3	-211	-1.8839285714285714	112	863	3	-211	-1.8839285714285714	112	863	3	-211	-1.8839285714285714	112	863	3	-211	-1.8839285714285714	112	863	3	-211	-1.8839285714285714	112	863	3	-211	-1.8839285714285714	112	863	3	-211	-1.8839285714285714	112	863	3	-211	-1.8839285714285714	112	863	3	-211	-1.8839285714285714	112	863
4	-48	-1.0	48	911	4	-48	-1.0	48	911	4	-48	-1.0	48	911	4	-48	-1.0	48	911	4	-48	-1.0	48	911	4	-48	-1.0	48	911	4	-48	-1.0	48	911	4	-48	-1.0	48	911	4	-48	-1.0	48	911	4	-48	-1.0	48	911	4	-48	-1.0	48	911	4	-48	-1.0	48	911	4	-48	-1.0	48	911
5	-214	-1.8608695652173912	115	1026	5	-214	-1.8608695652173912	115	1026	5	-214	-1.8608695652173912	115	1026	5	-214	-1.8608695652173912	115	1026	5	-214	-1.8608695652173912	115	1026	5	-214	-1.8608695652173912	115	1026	5	-214	-1.8608695652173912	115	1026	5	-214	-1.8608695652173912	115	1026	5	-214	-1.8608695652173912	115	1026	5	-214	-1.8608695652173912	115	1026	5	-214	-1.8608695652173912	115	1026	5	-214	-1.8608695652173912	115	1026	5	-214	-1.8608695652173912	115	1026
6	-150	-2.9411764705882355	51	1077	6	-150	-2.9411764705882355	51	1077	6	-150	-2.9411764705882355	51	1077	6	-150	-2.9411764705882355	51	1077	6	-150	-2.9411764705882355	51	1077	6	-150	-2.9411764705882355	51	1077	6	-150	-2.9411764705882355	51	1077	6	-150	-2.9411764705882355	51	1077	6	-150	-2.9411764705882355	51	1077	6	-150	-2.9411764705882355	51	1077	6	-150	-2.9411764705882355	51	1077	6	-150	-2.9411764705882355	51	1077	6	-150	-2.9411764705882355	51	1077
7	-42	-1.0	42	1119	7	-42	-1.0	42	1119	7	-42	-1.0	42	1119	7	-42	-1.0	42	1119	7	-42	-1.0	42	1119	7	-42	-1.0	42	1119	7	-42	-1.0	42	1119	7	-42	-1.0	42	1119	7	-42	-1.0	42	1119	7	-42	-1.0	42	1119	7	-42	-1.0	42	1119	7	-42	-1.0	42	1119	7	-42	-1.0	42	1119
8	-74	-1.0	74	1193	8	-74	-1.0	74	1193	8	-74	-1.0	74	1193	8	-74	-1.0	74	1193	8	-74	-1.0	74	1193	8	-74	-1.0	74	1193	8	-74	-1.0	74	1193	8	-74	-1.0	74	1193	8	-74	-1.0	74	1193	8	-74	-1.0	74	1193	8	-74	-1.0	74	1193	8	-74	-1.0	74	1193	8	-74	-1.0	74	1193
9	-78	-1.0	78	1271	9	-78	-1.0	78	1271	9	-78	-1.0	78	1271	9	-78	-1.0	78	1271	9	-78	-1.0	78	1271	9	-78	-1.0	78	1271	9	-78	-1.0	78	1271	9	-78	-1.0	78	1271	9	-78	-1.0	78	1271	9	-78	-1.0	78	1271	9	-78	-1.0	78	1271	9	-78	-1.0	78	1271	9	-78	-1.0	78	1271
10	-52	-1.0	52	1323	10	-52	-1.0	52	1323	10	-52	-1.0	52	1323	10	-52	-1.0	52	1323	10	-52	-1.0	52	1323	10	-52	-1.0	52	1323	10	-52	-1.0	52	1323	10	-52	-1.0	52	1323	10	-52	-1.0	52	1323	10	-52	-1.0	52	1323	10	-52	-1.0	52	1323	10	-52	-1.0	52	1323	10	-52	-1.0	52	1323
