Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-2114	-3.360890302066773	629	629	0	-2114	-3.360890302066773	629	629	0	-2114	-3.360890302066773	629	629	0	-2114	-3.360890302066773	629	629	0	-2114	-3.360890302066773	629	629	0	-2114	-3.360890302066773	629	629	0	-2114	-3.360890302066773	629	629	0	-2114	-3.360890302066773	629	629	0	-2114	-3.360890302066773	629	629	0	-2114	-3.360890302066773	629	629	0	-2114	-3.360890302066773	629	629	0	-2114	-3.360890302066773	629	629	0	-2114	-3.360890302066773	629	629	0	-2114	-3.360890302066773	629	629	0	-2114	-3.360890302066773	629	629	0	-2114	-3.360890302066773	629	629
1	-148	-3.020408163265306	49	678	1	-148	-3.020408163265306	49	678	1	-148	-3.020408163265306	49	678	1	-148	-3.020408163265306	49	678	1	-148	-3.020408163265306	49	678	1	-148	-3.020408163265306	49	678	1	-148	-3.020408163265306	49	678	1	-148	-3.020408163265306	49	678	1	-148	-3.020408163265306	49	678	1	-148	-3.020408163265306	49	678	1	-148	-3.020408163265306	49	678	1	-148	-3.020408163265306	49	678	1	-148	-3.020408163265306	49	678	1	-148	-3.020408163265306	49	678	1	-148	-3.020408163265306	49	678	1	-148	-3.020408163265306	49	678
2	-108	-1.0	108	786	2	-108	-1.0	108	786	2	-108	-1.0	108	786	2	-108	-1.0	108	786	2	-108	-1.0	108	786	2	-108	-1.0	108	786	2	-108	-1.0	108	786	2	-108	-1.0	108	786	2	-108	-1.0	108	786	2	-108	-1.0	108	786	2	-108	-1.0	108	786	2	-108	-1.0	108	786	2	-108	-1.0	108	786	2	-108	-1.0	108	786	2	-108	-1.0	108	786	2	-108	-1.0	108	786
3	-42	-1.0	42	828	3	-42	-1.0	42	828	3	-42	-1.0	42	828	3	-42	-1.0	42	828	3	-42	-1.0	42	828	3	-42	-1.0	42	828	3	-42	-1.0	42	828	3	-42	-1.0	42	828	3	-42	-1.0	42	828	3	-42	-1.0	42	828	3	-42	-1.0	42	828	3	-42	-1.0	42	828	3	-42	-1.0	42	828	3	-42	-1.0	42	828	3	-42	-1.0	42	828	3	-42	-1.0	42	828
4	-59	-1.0	59	887	4	-59	-1.0	59	887	4	-59	-1.0	59	887	4	-59	-1.0	59	887	4	-59	-1.0	59	887	4	-59	-1.0	59	887	4	-59	-1.0	59	887	4	-59	-1.0	59	887	4	-59	-1.0	59	887	4	-59	-1.0	59	887	4	-59	-1.0	59	887	4	-59	-1.0	59	887	4	-59	-1.0	59	887	4	-59	-1.0	59	887	4	-59	-1.0	59	887	4	-59	-1.0	59	887
5	-79	-1.0	79	966	5	-79	-1.0	79	966	5	-79	-1.0	79	966	5	-79	-1.0	79	966	5	-79	-1.0	79	966	5	-79	-1.0	79	966	5	-79	-1.0	79	966	5	-79	-1.0	79	966	5	-79	-1.0	79	966	5	-79	-1.0	79	966	5	-79	-1.0	79	966	5	-79	-1.0	79	966	5	-79	-1.0	79	966	5	-79	-1.0	79	966	5	-79	-1.0	79	966	5	-79	-1.0	79	966
6	-237	-1.7173913043478262	138	1104	6	-237	-1.7173913043478262	138	1104	6	-237	-1.7173913043478262	138	1104	6	-237	-1.7173913043478262	138	1104	6	-237	-1.7173913043478262	138	1104	6	-237	-1.7173913043478262	138	1104	6	-237	-1.7173913043478262	138	1104	6	-237	-1.7173913043478262	138	1104	6	-237	-1.7173913043478262	138	1104	6	-237	-1.7173913043478262	138	1104	6	-237	-1.7173913043478262	138	1104	6	-237	-1.7173913043478262	138	1104	6	-237	-1.7173913043478262	138	1104	6	-237	-1.7173913043478262	138	1104	6	-237	-1.7173913043478262	138	1104	6	-237	-1.7173913043478262	138	1104
7	-47	-1.0	47	1151	7	-47	-1.0	47	1151	7	-47	-1.0	47	1151	7	-47	-1.0	47	1151	7	-47	-1.0	47	1151	7	-47	-1.0	47	1151	7	-47	-1.0	47	1151	7	-47	-1.0	47	1151	7	-47	-1.0	47	1151	7	-47	-1.0	47	1151	7	-47	-1.0	47	1151	7	-47	-1.0	47	1151	7	-47	-1.0	47	1151	7	-47	-1.0	47	1151	7	-47	-1.0	47	1151	7	-47	-1.0	47	1151
8	-56	-1.0	56	1207	8	-56	-1.0	56	1207	8	-56	-1.0	56	1207	8	-56	-1.0	56	1207	8	-56	-1.0	56	1207	8	-56	-1.0	56	1207	8	-56	-1.0	56	1207	8	-56	-1.0	56	1207	8	-56	-1.0	56	1207	8	-56	-1.0	56	1207	8	-56	-1.0	56	1207	8	-56	-1.0	56	1207	8	-56	-1.0	56	1207	8	-56	-1.0	56	1207	8	-56	-1.0	56	1207	8	-56	-1.0	56	1207
9	-61	-1.0	61	1268	9	-61	-1.0	61	1268	9	-61	-1.0	61	1268	9	-61	-1.0	61	1268	9	-61	-1.0	61	1268	9	-61	-1.0	61	1268	9	-61	-1.0	61	1268	9	-61	-1.0	61	1268	9	-61	-1.0	61	1268	9	-61	-1.0	61	1268	9	-61	-1.0	61	1268	9	-61	-1.0	61	1268	9	-61	-1.0	61	1268	9	-61	-1.0	61	1268	9	-61	-1.0	61	1268	9	-61	-1.0	61	1268
10	-62	-1.0	62	1330	10	-62	-1.0	62	1330	10	-62	-1.0	62	1330	10	-62	-1.0	62	1330	10	-62	-1.0	62	1330	10	-62	-1.0	62	1330	10	-62	-1.0	62	1330	10	-62	-1.0	62	1330	10	-62	-1.0	62	1330	10	-62	-1.0	62	1330	10	-62	-1.0	62	1330	10	-62	-1.0	62	1330	10	-62	-1.0	62	1330	10	-62	-1.0	62	1330	10	-62	-1.0	62	1330	10	-62	-1.0	62	1330
11	-157	-2.706896551724138	58	1388	11	-157	-2.706896551724138	58	1388	11	-157	-2.706896551724138	58	1388	11	-157	-2.706896551724138	58	1388	11	-157	-2.706896551724138	58	1388	11	-157	-2.706896551724138	58	1388	11	-157	-2.706896551724138	58	1388	11	-157	-2.706896551724138	58	1388	11	-157	-2.706896551724138	58	1388	11	-157	-2.706896551724138	58	1388	11	-157	-2.706896551724138	58	1388	11	-157	-2.706896551724138	58	1388	11	-157	-2.706896551724138	58	1388	11	-157	-2.706896551724138	58	1388	11	-157	-2.706896551724138	58	1388	11	-157	-2.706896551724138	58	1388
12	-35	-1.0	35	1423	12	-35	-1.0	35	1423	12	-35	-1.0	35	1423	12	-35	-1.0	35	1423	12	-35	-1.0	35	1423	12	-35	-1.0	35	1423	12	-35	-1.0	35	1423	12	-35	-1.0	35	1423	12	-35	-1.0	35	1423	12	-35	-1.0	35	1423	12	-35	-1.0	35	1423	12	-35	-1.0	35	1423	12	-35	-1.0	35	1423	12	-35	-1.0	35	1423	12	-35	-1.0	35	1423	12	-35	-1.0	35	1423
13	-48	-1.0	48	1471	13	-48	-1.0	48	1471	13	-48	-1.0	48	1471	13	-48	-1.0	48	1471	13	-48	-1.0	48	1471	13	-48	-1.0	48	1471	13	-48	-1.0	48	1471	13	-48	-1.0	48	1471	13	-48	-1.0	48	1471	13	-48	-1.0	48	1471	13	-48	-1.0	48	1471	13	-48	-1.0	48	1471	13	-48	-1.0	48	1471	13	-48	-1.0	48	1471	13	-48	-1.0	48	1471	13	-48	-1.0	48	1471
14	-280	-3.4146341463414633	82	1553	14	-280	-3.4146341463414633	82	1553	14	-280	-3.4146341463414633	82	1553	14	-280	-3.4146341463414633	82	1553	14	-280	-3.4146341463414633	82	1553	14	-280	-3.4146341463414633	82	1553	14	-280	-3.4146341463414633	82	1553	14	-280	-3.4146341463414633	82	1553	14	-280	-3.4146341463414633	82	1553	14	-280	-3.4146341463414633	82	1553	14	-280	-3.4146341463414633	82	1553	14	-280	-3.4146341463414633	82	1553	14	-280	-3.4146341463414633	82	1553	14	-280	-3.4146341463414633	82	1553	14	-280	-3.4146341463414633	82	1553	14	-280	-3.4146341463414633	82	1553
15	-46	-1.0	46	1599	15	-46	-1.0	46	1599	15	-46	-1.0	46	1599	15	-46	-1.0	46	1599	15	-46	-1.0	46	1599	15	-46	-1.0	46	1599	15	-46	-1.0	46	1599	15	-46	-1.0	46	1599	15	-46	-1.0	46	1599	15	-46	-1.0	46	1599	15	-46	-1.0	46	1599	15	-46	-1.0	46	1599	15	-46	-1.0	46	1599	15	-46	-1.0	46	1599	15	-46	-1.0	46	1599	15	-46	-1.0	46	1599
16	-139	-3.475	40	1639	16	-139	-3.475	40	1639	16	-139	-3.475	40	1639	16	-139	-3.475	40	1639	16	-139	-3.475	40	1639	16	-139	-3.475	40	1639	16	-139	-3.475	40	1639	16	-139	-3.475	40	1639	16	-139	-3.475	40	1639	16	-139	-3.475	40	1639	16	-139	-3.475	40	1639	16	-139	-3.475	40	1639	16	-139	-3.475	40	1639	16	-139	-3.475	40	1639	16	-139	-3.475	40	1639	16	-139	-3.475	40	1639
17	-161	-2.596774193548387	62	1701	17	-161	-2.596774193548387	62	1701	17	-161	-2.596774193548387	62	1701	17	-161	-2.596774193548387	62	1701	17	-161	-2.596774193548387	62	1701	17	-161	-2.596774193548387	62	1701	17	-161	-2.596774193548387	62	1701	17	-161	-2.596774193548387	62	1701	17	-161	-2.596774193548387	62	1701	17	-161	-2.596774193548387	62	1701	17	-161	-2.596774193548387	62	1701	17	-161	-2.596774193548387	62	1701	17	-161	-2.596774193548387	62	1701	17	-161	-2.596774193548387	62	1701	17	-161	-2.596774193548387	62	1701	17	-161	-2.596774193548387	62	1701
18	-40	-1.0	40	1741	18	-40	-1.0	40	1741	18	-40	-1.0	40	1741	18	-40	-1.0	40	1741	18	-40	-1.0	40	1741	18	-40	-1.0	40	1741	18	-40	-1.0	40	1741	18	-40	-1.0	40	1741	18	-40	-1.0	40	1741	18	-40	-1.0	40	1741	18	-40	-1.0	40	1741	18	-40	-1.0	40	1741	18	-40	-1.0	40	1741	18	-40	-1.0	40	1741	18	-40	-1.0	40	1741	18	-40	-1.0	40	1741
19	-127	-4.535714285714286	28	1769	19	-127	-4.535714285714286	28	1769	19	-127	-4.535714285714286	28	1769	19	-127	-4.535714285714286	28	1769	19	-127	-4.535714285714286	28	1769	19	-127	-4.535714285714286	28	1769	19	-127	-4.535714285714286	28	1769	19	-127	-4.535714285714286	28	1769	19	-127	-4.535714285714286	28	1769	19	-127	-4.535714285714286	28	1769	19	-127	-4.535714285714286	28	1769	19	-127	-4.535714285714286	28	1769	19	-127	-4.535714285714286	28	1769	19	-127	-4.535714285714286	28	1769	19	-127	-4.535714285714286	28	1769	19	-127	-4.535714285714286	28	1769
20	-31	-1.0	31	1800	20	-31	-1.0	31	1800	20	-31	-1.0	31	1800	20	-31	-1.0	31	1800	20	-31	-1.0	31	1800	20	-31	-1.0	31	1800	20	-31	-1.0	31	1800	20	-31	-1.0	31	1800	20	-31	-1.0	31	1800	20	-31	-1.0	31	1800	20	-31	-1.0	31	1800	20	-31	-1.0	31	1800	20	-31	-1.0	31	1800	20	-31	-1.0	31	1800	20	-31	-1.0	31	1800	20	-31	-1.0	31	1800
21	-36	-1.0	36	1836	21	-36	-1.0	36	1836	21	-36	-1.0	36	1836	21	-36	-1.0	36	1836	21	-36	-1.0	36	1836	21	-36	-1.0	36	1836	21	-36	-1.0	36	1836	21	-36	-1.0	36	1836	21	-36	-1.0	36	1836	21	-36	-1.0	36	1836	21	-36	-1.0	36	1836	21	-36	-1.0	36	1836	21	-36	-1.0	36	1836	21	-36	-1.0	36	1836	21	-36	-1.0	36	1836	21	-36	-1.0	36	1836
22	-26	-1.0	26	1862	22	-26	-1.0	26	1862	22	-26	-1.0	26	1862	22	-26	-1.0	26	1862	22	-26	-1.0	26	1862	22	-26	-1.0	26	1862	22	-26	-1.0	26	1862	22	-26	-1.0	26	1862	22	-26	-1.0	26	1862	22	-26	-1.0	26	1862	22	-26	-1.0	26	1862	22	-26	-1.0	26	1862	22	-26	-1.0	26	1862	22	-26	-1.0	26	1862	22	-26	-1.0	26	1862	22	-26	-1.0	26	1862
