Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-1213	-3.767080745341615	322	322	0	-1213	-3.767080745341615	322	322	0	-1213	-3.767080745341615	322	322	0	-1213	-3.767080745341615	322	322	0	-1213	-3.767080745341615	322	322	0	-1213	-3.767080745341615	322	322	0	-1213	-3.767080745341615	322	322	0	-1213	-3.767080745341615	322	322	0	-1213	-3.767080745341615	322	322	0	-1213	-3.767080745341615	322	322	0	-1213	-3.767080745341615	322	322	0	-1213	-3.767080745341615	322	322	0	-1213	-3.767080745341615	322	322	0	-1213	-3.767080745341615	322	322	0	-1213	-3.767080745341615	322	322	0	-1213	-3.767080745341615	322	322	0	-1213	-3.767080745341615	322	322	0	-1213	-3.767080745341615	322	322	0	-1213	-3.767080745341615	322	322
1	-927	-2.7837837837837838	333	655	1	-927	-2.7837837837837838	333	655	1	-927	-2.7837837837837838	333	655	1	-927	-2.7837837837837838	333	655	1	-927	-2.7837837837837838	333	655	1	-927	-2.7837837837837838	333	655	1	-927	-2.7837837837837838	333	655	1	-927	-2.7837837837837838	333	655	1	-927	-2.7837837837837838	333	655	1	-927	-2.7837837837837838	333	655	1	-927	-2.7837837837837838	333	655	1	-927	-2.7837837837837838	333	655	1	-927	-2.7837837837837838	333	655	1	-927	-2.7837837837837838	333	655	1	-927	-2.7837837837837838	333	655	1	-927	-2.7837837837837838	333	655	1	-927	-2.7837837837837838	333	655	1	-927	-2.7837837837837838	333	655	1	-927	-2.7837837837837838	333	655
2	-78	-1.0	78	733	2	-78	-1.0	78	733	2	-78	-1.0	78	733	2	-78	-1.0	78	733	2	-78	-1.0	78	733	2	-78	-1.0	78	733	2	-78	-1.0	78	733	2	-78	-1.0	78	733	2	-78	-1.0	78	733	2	-78	-1.0	78	733	2	-78	-1.0	78	733	2	-78	-1.0	78	733	2	-78	-1.0	78	733	2	-78	-1.0	78	733	2	-78	-1.0	78	733	2	-78	-1.0	78	733	2	-78	-1.0	78	733	2	-78	-1.0	78	733	2	-78	-1.0	78	733
3	-53	-1.0	53	786	3	-53	-1.0	53	786	3	-53	-1.0	53	786	3	-53	-1.0	53	786	3	-53	-1.0	53	786	3	-53	-1.0	53	786	3	-53	-1.0	53	786	3	-53	-1.0	53	786	3	-53	-1.0	53	786	3	-53	-1.0	53	786	3	-53	-1.0	53	786	3	-53	-1.0	53	786	3	-53	-1.0	53	786	3	-53	-1.0	53	786	3	-53	-1.0	53	786	3	-53	-1.0	53	786	3	-53	-1.0	53	786	3	-53	-1.0	53	786	3	-53	-1.0	53	786
4	-390	-2.03125	192	978	4	-390	-2.03125	192	978	4	-390	-2.03125	192	978	4	-390	-2.03125	192	978	4	-390	-2.03125	192	978	4	-390	-2.03125	192	978	4	-390	-2.03125	192	978	4	-390	-2.03125	192	978	4	-390	-2.03125	192	978	4	-390	-2.03125	192	978	4	-390	-2.03125	192	978	4	-390	-2.03125	192	978	4	-390	-2.03125	192	978	4	-390	-2.03125	192	978	4	-390	-2.03125	192	978	4	-390	-2.03125	192	978	4	-390	-2.03125	192	978	4	-390	-2.03125	192	978	4	-390	-2.03125	192	978
5	-18	-1.0	18	996	5	-18	-1.0	18	996	5	-18	-1.0	18	996	5	-18	-1.0	18	996	5	-18	-1.0	18	996	5	-18	-1.0	18	996	5	-18	-1.0	18	996	5	-18	-1.0	18	996	5	-18	-1.0	18	996	5	-18	-1.0	18	996	5	-18	-1.0	18	996	5	-18	-1.0	18	996	5	-18	-1.0	18	996	5	-18	-1.0	18	996	5	-18	-1.0	18	996	5	-18	-1.0	18	996	5	-18	-1.0	18	996	5	-18	-1.0	18	996	5	-18	-1.0	18	996
6	-180	-2.2222222222222223	81	1077	6	-180	-2.2222222222222223	81	1077	6	-180	-2.2222222222222223	81	1077	6	-180	-2.2222222222222223	81	1077	6	-180	-2.2222222222222223	81	1077	6	-180	-2.2222222222222223	81	1077	6	-180	-2.2222222222222223	81	1077	6	-180	-2.2222222222222223	81	1077	6	-180	-2.2222222222222223	81	1077	6	-180	-2.2222222222222223	81	1077	6	-180	-2.2222222222222223	81	1077	6	-180	-2.2222222222222223	81	1077	6	-180	-2.2222222222222223	81	1077	6	-180	-2.2222222222222223	81	1077	6	-180	-2.2222222222222223	81	1077	6	-180	-2.2222222222222223	81	1077	6	-180	-2.2222222222222223	81	1077	6	-180	-2.2222222222222223	81	1077	6	-180	-2.2222222222222223	81	1077
7	-59	-1.0	59	1136	7	-59	-1.0	59	1136	7	-59	-1.0	59	1136	7	-59	-1.0	59	1136	7	-59	-1.0	59	1136	7	-59	-1.0	59	1136	7	-59	-1.0	59	1136	7	-59	-1.0	59	1136	7	-59	-1.0	59	1136	7	-59	-1.0	59	1136	7	-59	-1.0	59	1136	7	-59	-1.0	59	1136	7	-59	-1.0	59	1136	7	-59	-1.0	59	1136	7	-59	-1.0	59	1136	7	-59	-1.0	59	1136	7	-59	-1.0	59	1136	7	-59	-1.0	59	1136	7	-59	-1.0	59	1136
8	-284	-3.302325581395349	86	1222	8	-284	-3.302325581395349	86	1222	8	-284	-3.302325581395349	86	1222	8	-284	-3.302325581395349	86	1222	8	-284	-3.302325581395349	86	1222	8	-284	-3.302325581395349	86	1222	8	-284	-3.302325581395349	86	1222	8	-284	-3.302325581395349	86	1222	8	-284	-3.302325581395349	86	1222	8	-284	-3.302325581395349	86	1222	8	-284	-3.302325581395349	86	1222	8	-284	-3.302325581395349	86	1222	8	-284	-3.302325581395349	86	1222	8	-284	-3.302325581395349	86	1222	8	-284	-3.302325581395349	86	1222	8	-284	-3.302325581395349	86	1222	8	-284	-3.302325581395349	86	1222	8	-284	-3.302325581395349	86	1222	8	-284	-3.302325581395349	86	1222
9	-162	-2.5714285714285716	63	1285	9	-162	-2.5714285714285716	63	1285	9	-162	-2.5714285714285716	63	1285	9	-162	-2.5714285714285716	63	1285	9	-162	-2.5714285714285716	63	1285	9	-162	-2.5714285714285716	63	1285	9	-162	-2.5714285714285716	63	1285	9	-162	-2.5714285714285716	63	1285	9	-162	-2.5714285714285716	63	1285	9	-162	-2.5714285714285716	63	1285	9	-162	-2.5714285714285716	63	1285	9	-162	-2.5714285714285716	63	1285	9	-162	-2.5714285714285716	63	1285	9	-162	-2.5714285714285716	63	1285	9	-162	-2.5714285714285716	63	1285	9	-162	-2.5714285714285716	63	1285	9	-162	-2.5714285714285716	63	1285	9	-162	-2.5714285714285716	63	1285	9	-162	-2.5714285714285716	63	1285
10	-39	-1.0	39	1324	10	-39	-1.0	39	1324	10	-39	-1.0	39	1324	10	-39	-1.0	39	1324	10	-39	-1.0	39	1324	10	-39	-1.0	39	1324	10	-39	-1.0	39	1324	10	-39	-1.0	39	1324	10	-39	-1.0	39	1324	10	-39	-1.0	39	1324	10	-39	-1.0	39	1324	10	-39	-1.0	39	1324	10	-39	-1.0	39	1324	10	-39	-1.0	39	1324	10	-39	-1.0	39	1324	10	-39	-1.0	39	1324	10	-39	-1.0	39	1324	10	-39	-1.0	39	1324	10	-39	-1.0	39	1324
11	-85	-1.0	85	1409	11	-85	-1.0	85	1409	11	-85	-1.0	85	1409	11	-85	-1.0	85	1409	11	-85	-1.0	85	1409	11	-85	-1.0	85	1409	11	-85	-1.0	85	1409	11	-85	-1.0	85	1409	11	-85	-1.0	85	1409	11	-85	-1.0	85	1409	11	-85	-1.0	85	1409	11	-85	-1.0	85	1409	11	-85	-1.0	85	1409	11	-85	-1.0	85	1409	11	-85	-1.0	85	1409	11	-85	-1.0	85	1409	11	-85	-1.0	85	1409	11	-85	-1.0	85	1409	11	-85	-1.0	85	1409
12	-166	-2.4776119402985075	67	1476	12	-166	-2.4776119402985075	67	1476	12	-166	-2.4776119402985075	67	1476	12	-166	-2.4776119402985075	67	1476	12	-166	-2.4776119402985075	67	1476	12	-166	-2.4776119402985075	67	1476	12	-166	-2.4776119402985075	67	1476	12	-166	-2.4776119402985075	67	1476	12	-166	-2.4776119402985075	67	1476	12	-166	-2.4776119402985075	67	1476	12	-166	-2.4776119402985075	67	1476	12	-166	-2.4776119402985075	67	1476	12	-166	-2.4776119402985075	67	1476	12	-166	-2.4776119402985075	67	1476	12	-166	-2.4776119402985075	67	1476	12	-166	-2.4776119402985075	67	1476	12	-166	-2.4776119402985075	67	1476	12	-166	-2.4776119402985075	67	1476	12	-166	-2.4776119402985075	67	1476
13	-45	-1.0	45	1521	13	-45	-1.0	45	1521	13	-45	-1.0	45	1521	13	-45	-1.0	45	1521	13	-45	-1.0	45	1521	13	-45	-1.0	45	1521	13	-45	-1.0	45	1521	13	-45	-1.0	45	1521	13	-45	-1.0	45	1521	13	-45	-1.0	45	1521	13	-45	-1.0	45	1521	13	-45	-1.0	45	1521	13	-45	-1.0	45	1521	13	-45	-1.0	45	1521	13	-45	-1.0	45	1521	13	-45	-1.0	45	1521	13	-45	-1.0	45	1521	13	-45	-1.0	45	1521	13	-45	-1.0	45	1521
14	-145	-3.152173913043478	46	1567	14	-145	-3.152173913043478	46	1567	14	-145	-3.152173913043478	46	1567	14	-145	-3.152173913043478	46	1567	14	-145	-3.152173913043478	46	1567	14	-145	-3.152173913043478	46	1567	14	-145	-3.152173913043478	46	1567	14	-145	-3.152173913043478	46	1567	14	-145	-3.152173913043478	46	1567	14	-145	-3.152173913043478	46	1567	14	-145	-3.152173913043478	46	1567	14	-145	-3.152173913043478	46	1567	14	-145	-3.152173913043478	46	1567	14	-145	-3.152173913043478	46	1567	14	-145	-3.152173913043478	46	1567	14	-145	-3.152173913043478	46	1567	14	-145	-3.152173913043478	46	1567	14	-145	-3.152173913043478	46	1567	14	-145	-3.152173913043478	46	1567
15	-55	-1.0	55	1622	15	-55	-1.0	55	1622	15	-55	-1.0	55	1622	15	-55	-1.0	55	1622	15	-55	-1.0	55	1622	15	-55	-1.0	55	1622	15	-55	-1.0	55	1622	15	-55	-1.0	55	1622	15	-55	-1.0	55	1622	15	-55	-1.0	55	1622	15	-55	-1.0	55	1622	15	-55	-1.0	55	1622	15	-55	-1.0	55	1622	15	-55	-1.0	55	1622	15	-55	-1.0	55	1622	15	-55	-1.0	55	1622	15	-55	-1.0	55	1622	15	-55	-1.0	55	1622	15	-55	-1.0	55	1622
16	-41	-1.0	41	1663	16	-41	-1.0	41	1663	16	-41	-1.0	41	1663	16	-41	-1.0	41	1663	16	-41	-1.0	41	1663	16	-41	-1.0	41	1663	16	-41	-1.0	41	1663	16	-41	-1.0	41	1663	16	-41	-1.0	41	1663	16	-41	-1.0	41	1663	16	-41	-1.0	41	1663	16	-41	-1.0	41	1663	16	-41	-1.0	41	1663	16	-41	-1.0	41	1663	16	-41	-1.0	41	1663	16	-41	-1.0	41	1663	16	-41	-1.0	41	1663	16	-41	-1.0	41	1663	16	-41	-1.0	41	1663
17	-36	-1.0	36	1699	17	-36	-1.0	36	1699	17	-36	-1.0	36	1699	17	-36	-1.0	36	1699	17	-36	-1.0	36	1699	17	-36	-1.0	36	1699	17	-36	-1.0	36	1699	17	-36	-1.0	36	1699	17	-36	-1.0	36	1699	17	-36	-1.0	36	1699	17	-36	-1.0	36	1699	17	-36	-1.0	36	1699	17	-36	-1.0	36	1699	17	-36	-1.0	36	1699	17	-36	-1.0	36	1699	17	-36	-1.0	36	1699	17	-36	-1.0	36	1699	17	-36	-1.0	36	1699	17	-36	-1.0	36	1699
18	-47	-1.0	47	1746	18	-47	-1.0	47	1746	18	-47	-1.0	47	1746	18	-47	-1.0	47	1746	18	-47	-1.0	47	1746	18	-47	-1.0	47	1746	18	-47	-1.0	47	1746	18	-47	-1.0	47	1746	18	-47	-1.0	47	1746	18	-47	-1.0	47	1746	18	-47	-1.0	47	1746	18	-47	-1.0	47	1746	18	-47	-1.0	47	1746	18	-47	-1.0	47	1746	18	-47	-1.0	47	1746	18	-47	-1.0	47	1746	18	-47	-1.0	47	1746	18	-47	-1.0	47	1746	18	-47	-1.0	47	1746
19	-26	-1.0	26	1772	19	-26	-1.0	26	1772	19	-26	-1.0	26	1772	19	-26	-1.0	26	1772	19	-26	-1.0	26	1772	19	-26	-1.0	26	1772	19	-26	-1.0	26	1772	19	-26	-1.0	26	1772	19	-26	-1.0	26	1772	19	-26	-1.0	26	1772	19	-26	-1.0	26	1772	19	-26	-1.0	26	1772	19	-26	-1.0	26	1772	19	-26	-1.0	26	1772	19	-26	-1.0	26	1772	19	-26	-1.0	26	1772	19	-26	-1.0	26	1772	19	-26	-1.0	26	1772	19	-26	-1.0	26	1772
