Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-1852	-3.2778761061946904	565	565	0	-1852	-3.2778761061946904	565	565	0	-1852	-3.2778761061946904	565	565	0	-1852	-3.2778761061946904	565	565	0	-1852	-3.2778761061946904	565	565	0	-1852	-3.2778761061946904	565	565	0	-1852	-3.2778761061946904	565	565	0	-1852	-3.2778761061946904	565	565	0	-1852	-3.2778761061946904	565	565	0	-1852	-3.2778761061946904	565	565	0	-1852	-3.2778761061946904	565	565	0	-1852	-3.2778761061946904	565	565	0	-1852	-3.2778761061946904	565	565	0	-1852	-3.2778761061946904	565	565	0	-1852	-3.2778761061946904	565	565	0	-1852	-3.2778761061946904	565	565	0	-1852	-3.2778761061946904	565	565	0	-1852	-3.2778761061946904	565	565	0	-1852	-3.2778761061946904	565	565	0	-1852	-3.2778761061946904	565	565	0	-1852	-3.2778761061946904	565	565	0	-1852	-3.2778761061946904	565	565
1	-39	-1.0	39	604	1	-39	-1.0	39	604	1	-39	-1.0	39	604	1	-39	-1.0	39	604	1	-39	-1.0	39	604	1	-39	-1.0	39	604	1	-39	-1.0	39	604	1	-39	-1.0	39	604	1	-39	-1.0	39	604	1	-39	-1.0	39	604	1	-39	-1.0	39	604	1	-39	-1.0	39	604	1	-39	-1.0	39	604	1	-39	-1.0	39	604	1	-39	-1.0	39	604	1	-39	-1.0	39	604	1	-39	-1.0	39	604	1	-39	-1.0	39	604	1	-39	-1.0	39	604	1	-39	-1.0	39	604	1	-39	-1.0	39	604	1	-39	-1.0	39	604
2	-159	-1.0	159	763	2	-159	-1.0	159	763	2	-159	-1.0	159	763	2	-159	-1.0	159	763	2	-159	-1.0	159	763	2	-159	-1.0	159	763	2	-159	-1.0	159	763	2	-159	-1.0	159	763	2	-159	-1.0	159	763	2	-159	-1.0	159	763	2	-159	-1.0	159	763	2	-159	-1.0	159	763	2	-159	-1.0	159	763	2	-159	-1.0	159	763	2	-159	-1.0	159	763	2	-159	-1.0	159	763	2	-159	-1.0	159	763	2	-159	-1.0	159	763	2	-159	-1.0	159	763	2	-159	-1.0	159	763	2	-159	-1.0	159	763	2	-159	-1.0	159	763
3	-316	-2.6779661016949152	118	881	3	-316	-2.6779661016949152	118	881	3	-316	-2.6779661016949152	118	881	3	-316	-2.6779661016949152	118	881	3	-316	-2.6779661016949152	118	881	3	-316	-2.6779661016949152	118	881	3	-316	-2.6779661016949152	118	881	3	-316	-2.6779661016949152	118	881	3	-316	-2.6779661016949152	118	881	3	-316	-2.6779661016949152	118	881	3	-316	-2.6779661016949152	118	881	3	-316	-2.6779661016949152	118	881	3	-316	-2.6779661016949152	118	881	3	-316	-2.6779661016949152	118	881	3	-316	-2.6779661016949152	118	881	3	-316	-2.6779661016949152	118	881	3	-316	-2.6779661016949152	118	881	3	-316	-2.6779661016949152	118	881	3	-316	-2.6779661016949152	118	881	3	-316	-2.6779661016949152	118	881	3	-316	-2.6779661016949152	118	881	3	-316	-2.6779661016949152	118	881
4	-67	-1.0	67	948	4	-67	-1.0	67	948	4	-67	-1.0	67	948	4	-67	-1.0	67	948	4	-67	-1.0	67	948	4	-67	-1.0	67	948	4	-67	-1.0	67	948	4	-67	-1.0	67	948	4	-67	-1.0	67	948	4	-67	-1.0	67	948	4	-67	-1.0	67	948	4	-67	-1.0	67	948	4	-67	-1.0	67	948	4	-67	-1.0	67	948	4	-67	-1.0	67	948	4	-67	-1.0	67	948	4	-67	-1.0	67	948	4	-67	-1.0	67	948	4	-67	-1.0	67	948	4	-67	-1.0	67	948	4	-67	-1.0	67	948	4	-67	-1.0	67	948
5	-407	-3.7	110	1058	5	-407	-3.7	110	1058	5	-407	-3.7	110	1058	5	-407	-3.7	110	1058	5	-407	-3.7	110	1058	5	-407	-3.7	110	1058	5	-407	-3.7	110	1058	5	-407	-3.7	110	1058	5	-407	-3.7	110	1058	5	-407	-3.7	110	1058	5	-407	-3.7	110	1058	5	-407	-3.7	110	1058	5	-407	-3.7	110	1058	5	-407	-3.7	110	1058	5	-407	-3.7	110	1058	5	-407	-3.7	110	1058	5	-407	-3.7	110	1058	5	-407	-3.7	110	1058	5	-407	-3.7	110	1058	5	-407	-3.7	110	1058	5	-407	-3.7	110	1058	5	-407	-3.7	110	1058
6	-63	-1.0	63	1121	6	-63	-1.0	63	1121	6	-63	-1.0	63	1121	6	-63	-1.0	63	1121	6	-63	-1.0	63	1121	6	-63	-1.0	63	1121	6	-63	-1.0	63	1121	6	-63	-1.0	63	1121	6	-63	-1.0	63	1121	6	-63	-1.0	63	1121	6	-63	-1.0	63	1121	6	-63	-1.0	63	1121	6	-63	-1.0	63	1121	6	-63	-1.0	63	1121	6	-63	-1.0	63	1121	6	-63	-1.0	63	1121	6	-63	-1.0	63	1121	6	-63	-1.0	63	1121	6	-63	-1.0	63	1121	6	-63	-1.0	63	1121	6	-63	-1.0	63	1121	6	-63	-1.0	63	1121
7	-170	-2.3943661971830985	71	1192	7	-170	-2.3943661971830985	71	1192	7	-170	-2.3943661971830985	71	1192	7	-170	-2.3943661971830985	71	1192	7	-170	-2.3943661971830985	71	1192	7	-170	-2.3943661971830985	71	1192	7	-170	-2.3943661971830985	71	1192	7	-170	-2.3943661971830985	71	1192	7	-170	-2.3943661971830985	71	1192	7	-170	-2.3943661971830985	71	1192	7	-170	-2.3943661971830985	71	1192	7	-170	-2.3943661971830985	71	1192	7	-170	-2.3943661971830985	71	1192	7	-170	-2.3943661971830985	71	1192	7	-170	-2.3943661971830985	71	1192	7	-170	-2.3943661971830985	71	1192	7	-170	-2.3943661971830985	71	1192	7	-170	-2.3943661971830985	71	1192	7	-170	-2.3943661971830985	71	1192	7	-170	-2.3943661971830985	71	1192	7	-170	-2.3943661971830985	71	1192	7	-170	-2.3943661971830985	71	1192
8	-42	-1.0	42	1234	8	-42	-1.0	42	1234	8	-42	-1.0	42	1234	8	-42	-1.0	42	1234	8	-42	-1.0	42	1234	8	-42	-1.0	42	1234	8	-42	-1.0	42	1234	8	-42	-1.0	42	1234	8	-42	-1.0	42	1234	8	-42	-1.0	42	1234	8	-42	-1.0	42	1234	8	-42	-1.0	42	1234	8	-42	-1.0	42	1234	8	-42	-1.0	42	1234	8	-42	-1.0	42	1234	8	-42	-1.0	42	1234	8	-42	-1.0	42	1234	8	-42	-1.0	42	1234	8	-42	-1.0	42	1234	8	-42	-1.0	42	1234	8	-42	-1.0	42	1234	8	-42	-1.0	42	1234
9	-28	-1.0	28	1262	9	-28	-1.0	28	1262	9	-28	-1.0	28	1262	9	-28	-1.0	28	1262	9	-28	-1.0	28	1262	9	-28	-1.0	28	1262	9	-28	-1.0	28	1262	9	-28	-1.0	28	1262	9	-28	-1.0	28	1262	9	-28	-1.0	28	1262	9	-28	-1.0	28	1262	9	-28	-1.0	28	1262	9	-28	-1.0	28	1262	9	-28	-1.0	28	1262	9	-28	-1.0	28	1262	9	-28	-1.0	28	1262	9	-28	-1.0	28	1262	9	-28	-1.0	28	1262	9	-28	-1.0	28	1262	9	-28	-1.0	28	1262	9	-28	-1.0	28	1262	9	-28	-1.0	28	1262
