Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-1675	-3.439425051334702	487	487	0	-1675	-3.439425051334702	487	487	0	-1675	-3.439425051334702	487	487	0	-1675	-3.439425051334702	487	487	0	-1675	-3.439425051334702	487	487	0	-1675	-3.439425051334702	487	487	0	-1675	-3.439425051334702	487	487	0	-1675	-3.439425051334702	487	487	0	-1675	-3.439425051334702	487	487	0	-1675	-3.439425051334702	487	487	0	-1675	-3.439425051334702	487	487	0	-1675	-3.439425051334702	487	487	0	-1675	-3.439425051334702	487	487	0	-1675	-3.439425051334702	487	487	0	-1675	-3.439425051334702	487	487	0	-1675	-3.439425051334702	487	487	0	-1675	-3.439425051334702	487	487	0	-1675	-3.439425051334702	487	487	0	-1675	-3.439425051334702	487	487	0	-1675	-3.439425051334702	487	487	0	-1675	-3.439425051334702	487	487	0	-1675	-3.439425051334702	487	487	0	-1675	-3.439425051334702	487	487	0	-1675	-3.439425051334702	487	487	0	-1675	-3.439425051334702	487	487
1	-506	-2.4210526315789473	209	696	1	-506	-2.4210526315789473	209	696	1	-506	-2.4210526315789473	209	696	1	-506	-2.4210526315789473	209	696	1	-506	-2.4210526315789473	209	696	1	-506	-2.4210526315789473	209	696	1	-506	-2.4210526315789473	209	696	1	-506	-2.4210526315789473	209	696	1	-506	-2.4210526315789473	209	696	1	-506	-2.4210526315789473	209	696	1	-506	-2.4210526315789473	209	696	1	-506	-2.4210526315789473	209	696	1	-506	-2.4210526315789473	209	696	1	-506	-2.4210526315789473	209	696	1	-506	-2.4210526315789473	209	696	1	-506	-2.4210526315789473	209	696	1	-506	-2.4210526315789473	209	696	1	-506	-2.4210526315789473	209	696	1	-506	-2.4210526315789473	209	696	1	-506	-2.4210526315789473	209	696	1	-506	-2.4210526315789473	209	696	1	-506	-2.4210526315789473	209	696	1	-506	-2.4210526315789473	209	696	1	-506	-2.4210526315789473	209	696	1	-506	-2.4210526315789473	209	696
2	-314	-2.706896551724138	116	812	2	-314	-2.706896551724138	116	812	2	-314	-2.706896551724138	116	812	2	-314	-2.706896551724138	116	812	2	-314	-2.706896551724138	116	812	2	-314	-2.706896551724138	116	812	2	-314	-2.706896551724138	116	812	2	-314	-2.706896551724138	116	812	2	-314	-2.706896551724138	116	812	2	-314	-2.706896551724138	116	812	2	-314	-2.706896551724138	116	812	2	-314	-2.706896551724138	116	812	2	-314	-2.706896551724138	116	812	2	-314	-2.706896551724138	116	812	2	-314	-2.706896551724138	116	812	2	-314	-2.706896551724138	116	812	2	-314	-2.706896551724138	116	812	2	-314	-2.706896551724138	116	812	2	-314	-2.706896551724138	116	812	2	-314	-2.706896551724138	116	812	2	-314	-2.706896551724138	116	812	2	-314	-2.706896551724138	116	812	2	-314	-2.706896551724138	116	812	2	-314	-2.706896551724138	116	812	2	-314	-2.706896551724138	116	812
3	-65	-1.0	65	877	3	-65	-1.0	65	877	3	-65	-1.0	65	877	3	-65	-1.0	65	877	3	-65	-1.0	65	877	3	-65	-1.0	65	877	3	-65	-1.0	65	877	3	-65	-1.0	65	877	3	-65	-1.0	65	877	3	-65	-1.0	65	877	3	-65	-1.0	65	877	3	-65	-1.0	65	877	3	-65	-1.0	65	877	3	-65	-1.0	65	877	3	-65	-1.0	65	877	3	-65	-1.0	65	877	3	-65	-1.0	65	877	3	-65	-1.0	65	877	3	-65	-1.0	65	877	3	-65	-1.0	65	877	3	-65	-1.0	65	877	3	-65	-1.0	65	877	3	-65	-1.0	65	877	3	-65	-1.0	65	877	3	-65	-1.0	65	877
4	-58	-1.0	58	935	4	-58	-1.0	58	935	4	-58	-1.0	58	935	4	-58	-1.0	58	935	4	-58	-1.0	58	935	4	-58	-1.0	58	935	4	-58	-1.0	58	935	4	-58	-1.0	58	935	4	-58	-1.0	58	935	4	-58	-1.0	58	935	4	-58	-1.0	58	935	4	-58	-1.0	58	935	4	-58	-1.0	58	935	4	-58	-1.0	58	935	4	-58	-1.0	58	935	4	-58	-1.0	58	935	4	-58	-1.0	58	935	4	-58	-1.0	58	935	4	-58	-1.0	58	935	4	-58	-1.0	58	935	4	-58	-1.0	58	935	4	-58	-1.0	58	935	4	-58	-1.0	58	935	4	-58	-1.0	58	935	4	-58	-1.0	58	935
5	-174	-2.32	75	1010	5	-174	-2.32	75	1010	5	-174	-2.32	75	1010	5	-174	-2.32	75	1010	5	-174	-2.32	75	1010	5	-174	-2.32	75	1010	5	-174	-2.32	75	1010	5	-174	-2.32	75	1010	5	-174	-2.32	75	1010	5	-174	-2.32	75	1010	5	-174	-2.32	75	1010	5	-174	-2.32	75	1010	5	-174	-2.32	75	1010	5	-174	-2.32	75	1010	5	-174	-2.32	75	1010	5	-174	-2.32	75	1010	5	-174	-2.32	75	1010	5	-174	-2.32	75	1010	5	-174	-2.32	75	1010	5	-174	-2.32	75	1010	5	-174	-2.32	75	1010	5	-174	-2.32	75	1010	5	-174	-2.32	75	1010	5	-174	-2.32	75	1010	5	-174	-2.32	75	1010
6	-60	-1.0	60	1070	6	-60	-1.0	60	1070	6	-60	-1.0	60	1070	6	-60	-1.0	60	1070	6	-60	-1.0	60	1070	6	-60	-1.0	60	1070	6	-60	-1.0	60	1070	6	-60	-1.0	60	1070	6	-60	-1.0	60	1070	6	-60	-1.0	60	1070	6	-60	-1.0	60	1070	6	-60	-1.0	60	1070	6	-60	-1.0	60	1070	6	-60	-1.0	60	1070	6	-60	-1.0	60	1070	6	-60	-1.0	60	1070	6	-60	-1.0	60	1070	6	-60	-1.0	60	1070	6	-60	-1.0	60	1070	6	-60	-1.0	60	1070	6	-60	-1.0	60	1070	6	-60	-1.0	60	1070	6	-60	-1.0	60	1070	6	-60	-1.0	60	1070	6	-60	-1.0	60	1070
7	-171	-2.375	72	1142	7	-171	-2.375	72	1142	7	-171	-2.375	72	1142	7	-171	-2.375	72	1142	7	-171	-2.375	72	1142	7	-171	-2.375	72	1142	7	-171	-2.375	72	1142	7	-171	-2.375	72	1142	7	-171	-2.375	72	1142	7	-171	-2.375	72	1142	7	-171	-2.375	72	1142	7	-171	-2.375	72	1142	7	-171	-2.375	72	1142	7	-171	-2.375	72	1142	7	-171	-2.375	72	1142	7	-171	-2.375	72	1142	7	-171	-2.375	72	1142	7	-171	-2.375	72	1142	7	-171	-2.375	72	1142	7	-171	-2.375	72	1142	7	-171	-2.375	72	1142	7	-171	-2.375	72	1142	7	-171	-2.375	72	1142	7	-171	-2.375	72	1142	7	-171	-2.375	72	1142
8	-49	-1.0	49	1191	8	-49	-1.0	49	1191	8	-49	-1.0	49	1191	8	-49	-1.0	49	1191	8	-49	-1.0	49	1191	8	-49	-1.0	49	1191	8	-49	-1.0	49	1191	8	-49	-1.0	49	1191	8	-49	-1.0	49	1191	8	-49	-1.0	49	1191	8	-49	-1.0	49	1191	8	-49	-1.0	49	1191	8	-49	-1.0	49	1191	8	-49	-1.0	49	1191	8	-49	-1.0	49	1191	8	-49	-1.0	49	1191	8	-49	-1.0	49	1191	8	-49	-1.0	49	1191	8	-49	-1.0	49	1191	8	-49	-1.0	49	1191	8	-49	-1.0	49	1191	8	-49	-1.0	49	1191	8	-49	-1.0	49	1191	8	-49	-1.0	49	1191	8	-49	-1.0	49	1191
9	-61	-1.0	61	1252	9	-61	-1.0	61	1252	9	-61	-1.0	61	1252	9	-61	-1.0	61	1252	9	-61	-1.0	61	1252	9	-61	-1.0	61	1252	9	-61	-1.0	61	1252	9	-61	-1.0	61	1252	9	-61	-1.0	61	1252	9	-61	-1.0	61	1252	9	-61	-1.0	61	1252	9	-61	-1.0	61	1252	9	-61	-1.0	61	1252	9	-61	-1.0	61	1252	9	-61	-1.0	61	1252	9	-61	-1.0	61	1252	9	-61	-1.0	61	1252	9	-61	-1.0	61	1252	9	-61	-1.0	61	1252	9	-61	-1.0	61	1252	9	-61	-1.0	61	1252	9	-61	-1.0	61	1252	9	-61	-1.0	61	1252	9	-61	-1.0	61	1252	9	-61	-1.0	61	1252
