Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-119	-5.95	20	20	0	-119	-5.95	20	20
1	-13	-1.0	13	33	1	-13	-1.0	13	33
2	-15	-1.0	15	48	2	-15	-1.0	15	48
3	-16	-1.0	16	64	3	-16	-1.0	16	64
4	-15	-1.0	15	79	4	-15	-1.0	15	79
5	-15	-1.0	15	94	5	-15	-1.0	15	94
6	-17	-1.0	17	111	6	-17	-1.0	17	111
7	-13	-1.0	13	124	7	-13	-1.0	13	124
8	-14	-1.0	14	138	8	-14	-1.0	14	138
9	-13	-1.0	13	151	9	-13	-1.0	13	151
10	-15	-1.0	15	166	10	-15	-1.0	15	166
11	-13	-1.0	13	179	11	-13	-1.0	13	179
12	-336	-8.615384615384615	39	218	12	-336	-8.615384615384615	39	218
13	-15	-1.0	15	233	13	-15	-1.0	15	233
14	-13	-1.0	13	246	14	-13	-1.0	13	246
15	-13	-1.0	13	259	15	-13	-1.0	13	259
16	-13	-1.0	13	272	16	-13	-1.0	13	272
17	-14	-1.0	14	286	17	-14	-1.0	14	286
18	-126	-4.666666666666667	27	313	18	-126	-4.666666666666667	27	313
19	-13	-1.0	13	326	19	-13	-1.0	13	326
20	-13	-1.0	13	339	20	-13	-1.0	13	339
21	-16	-1.0	16	355	21	-16	-1.0	16	355
22	-17	-1.0	17	372	22	-17	-1.0	17	372
23	-117	-6.5	18	390	23	-117	-6.5	18	390
24	-113	-8.071428571428571	14	404	24	-113	-8.071428571428571	14	404
25	-232	-6.823529411764706	34	438	25	-232	-6.823529411764706	34	438
26	-15	-1.0	15	453	26	-15	-1.0	15	453
27	-13	-1.0	13	466	27	-13	-1.0	13	466
28	-14	-1.0	14	480	28	-14	-1.0	14	480
29	-13	-1.0	13	493	29	-13	-1.0	13	493
30	-15	-1.0	15	508	30	-15	-1.0	15	508
31	-15	-1.0	15	523	31	-15	-1.0	15	523
32	-18	-1.0	18	541	32	-18	-1.0	18	541
33	-15	-1.0	15	556	33	-15	-1.0	15	556
34	-15	-1.0	15	571	34	-15	-1.0	15	571
35	-17	-1.0	17	588	35	-17	-1.0	17	588
36	-13	-1.0	13	601	36	-13	-1.0	13	601
37	-121	-5.5	22	623	37	-121	-5.5	22	623
38	-127	-4.535714285714286	28	651	38	-127	-4.535714285714286	28	651
39	-234	-6.5	36	687	39	-234	-6.5	36	687
40	-13	-1.0	13	700	40	-13	-1.0	13	700
41	-14	-1.0	14	714	41	-14	-1.0	14	714
42	-15	-1.0	15	729	42	-15	-1.0	15	729
43	-13	-1.0	13	742	43	-13	-1.0	13	742
44	-125	-4.8076923076923075	26	768	44	-125	-4.8076923076923075	26	768
45	-113	-8.071428571428571	14	782	45	-113	-8.071428571428571	14	782
46	-13	-1.0	13	795	46	-13	-1.0	13	795
47	-336	-8.615384615384615	39	834	47	-336	-8.615384615384615	39	834
48	-14	-1.0	14	848	48	-14	-1.0	14	848
49	-120	-5.714285714285714	21	869	49	-120	-5.714285714285714	21	869
50	-16	-1.0	16	885	50	-16	-1.0	16	885
51	-17	-1.0	17	902	51	-17	-1.0	17	902
52	-13	-1.0	13	915	52	-13	-1.0	13	915
53	-124	-4.96	25	940	53	-124	-4.96	25	940
54	-118	-6.2105263157894735	19	959	54	-118	-6.2105263157894735	19	959
55	-14	-1.0	14	973	55	-14	-1.0	14	973
56	-226	-8.071428571428571	28	1001	56	-226	-8.071428571428571	28	1001
57	-15	-1.0	15	1016	57	-15	-1.0	15	1016
58	-13	-1.0	13	1029	58	-13	-1.0	13	1029
59	-17	-1.0	17	1046	59	-17	-1.0	17	1046
60	-118	-6.2105263157894735	19	1065	60	-118	-6.2105263157894735	19	1065
