Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13
1	-428	-13.375	32	45	1	-428	-13.375	32	45	1	-428	-13.375	32	45	1	-428	-13.375	32	45	1	-428	-13.375	32	45
2	-15	-1.0	15	60	2	-15	-1.0	15	60	2	-15	-1.0	15	60	2	-15	-1.0	15	60	2	-15	-1.0	15	60
3	-13	-1.0	13	73	3	-13	-1.0	13	73	3	-13	-1.0	13	73	3	-13	-1.0	13	73	3	-13	-1.0	13	73
4	-129	-4.3	30	103	4	-129	-4.3	30	103	4	-129	-4.3	30	103	4	-129	-4.3	30	103	4	-129	-4.3	30	103
5	-18	-1.0	18	121	5	-18	-1.0	18	121	5	-18	-1.0	18	121	5	-18	-1.0	18	121	5	-18	-1.0	18	121
6	-232	-6.823529411764706	34	155	6	-232	-6.823529411764706	34	155	6	-232	-6.823529411764706	34	155	6	-232	-6.823529411764706	34	155	6	-232	-6.823529411764706	34	155
7	-13	-1.0	13	168	7	-13	-1.0	13	168	7	-13	-1.0	13	168	7	-13	-1.0	13	168	7	-13	-1.0	13	168
8	-13	-1.0	13	181	8	-13	-1.0	13	181	8	-13	-1.0	13	181	8	-13	-1.0	13	181	8	-13	-1.0	13	181
9	-13	-1.0	13	194	9	-13	-1.0	13	194	9	-13	-1.0	13	194	9	-13	-1.0	13	194	9	-13	-1.0	13	194
10	-15	-1.0	15	209	10	-15	-1.0	15	209	10	-15	-1.0	15	209	10	-15	-1.0	15	209	10	-15	-1.0	15	209
11	-15	-1.0	15	224	11	-15	-1.0	15	224	11	-15	-1.0	15	224	11	-15	-1.0	15	224	11	-15	-1.0	15	224
12	-15	-1.0	15	239	12	-15	-1.0	15	239	12	-15	-1.0	15	239	12	-15	-1.0	15	239	12	-15	-1.0	15	239
13	-117	-6.5	18	257	13	-117	-6.5	18	257	13	-117	-6.5	18	257	13	-117	-6.5	18	257	13	-117	-6.5	18	257
14	-115	-7.1875	16	273	14	-115	-7.1875	16	273	14	-115	-7.1875	16	273	14	-115	-7.1875	16	273	14	-115	-7.1875	16	273
15	-13	-1.0	13	286	15	-13	-1.0	13	286	15	-13	-1.0	13	286	15	-13	-1.0	13	286	15	-13	-1.0	13	286
16	-15	-1.0	15	301	16	-15	-1.0	15	301	16	-15	-1.0	15	301	16	-15	-1.0	15	301	16	-15	-1.0	15	301
17	-15	-1.0	15	316	17	-15	-1.0	15	316	17	-15	-1.0	15	316	17	-15	-1.0	15	316	17	-15	-1.0	15	316
18	-125	-4.8076923076923075	26	342	18	-125	-4.8076923076923075	26	342	18	-125	-4.8076923076923075	26	342	18	-125	-4.8076923076923075	26	342	18	-125	-4.8076923076923075	26	342
19	-117	-6.5	18	360	19	-117	-6.5	18	360	19	-117	-6.5	18	360	19	-117	-6.5	18	360	19	-117	-6.5	18	360
20	-16	-1.0	16	376	20	-16	-1.0	16	376	20	-16	-1.0	16	376	20	-16	-1.0	16	376	20	-16	-1.0	16	376
21	-13	-1.0	13	389	21	-13	-1.0	13	389	21	-13	-1.0	13	389	21	-13	-1.0	13	389	21	-13	-1.0	13	389
22	-15	-1.0	15	404	22	-15	-1.0	15	404	22	-15	-1.0	15	404	22	-15	-1.0	15	404	22	-15	-1.0	15	404
23	-128	-4.413793103448276	29	433	23	-128	-4.413793103448276	29	433	23	-128	-4.413793103448276	29	433	23	-128	-4.413793103448276	29	433	23	-128	-4.413793103448276	29	433
24	-123	-5.125	24	457	24	-123	-5.125	24	457	24	-123	-5.125	24	457	24	-123	-5.125	24	457	24	-123	-5.125	24	457
25	-17	-1.0	17	474	25	-17	-1.0	17	474	25	-17	-1.0	17	474	25	-17	-1.0	17	474	25	-17	-1.0	17	474
26	-439	-10.209302325581396	43	517	26	-439	-10.209302325581396	43	517	26	-439	-10.209302325581396	43	517	26	-439	-10.209302325581396	43	517	26	-439	-10.209302325581396	43	517
27	-23	-1.0	23	540	27	-23	-1.0	23	540	27	-23	-1.0	23	540	27	-23	-1.0	23	540	27	-23	-1.0	23	540
28	-18	-1.0	18	558	28	-18	-1.0	18	558	28	-18	-1.0	18	558	28	-18	-1.0	18	558	28	-18	-1.0	18	558
29	-224	-8.615384615384615	26	584	29	-224	-8.615384615384615	26	584	29	-224	-8.615384615384615	26	584	29	-224	-8.615384615384615	26	584	29	-224	-8.615384615384615	26	584
30	-226	-8.071428571428571	28	612	30	-226	-8.071428571428571	28	612	30	-226	-8.071428571428571	28	612	30	-226	-8.071428571428571	28	612	30	-226	-8.071428571428571	28	612
31	-13	-1.0	13	625	31	-13	-1.0	13	625	31	-13	-1.0	13	625	31	-13	-1.0	13	625	31	-13	-1.0	13	625
32	-325	-11.607142857142858	28	653	32	-325	-11.607142857142858	28	653	32	-325	-11.607142857142858	28	653	32	-325	-11.607142857142858	28	653	32	-325	-11.607142857142858	28	653
33	-13	-1.0	13	666	33	-13	-1.0	13	666	33	-13	-1.0	13	666	33	-13	-1.0	13	666	33	-13	-1.0	13	666
34	-225	-8.333333333333334	27	693	34	-225	-8.333333333333334	27	693	34	-225	-8.333333333333334	27	693	34	-225	-8.333333333333334	27	693	34	-225	-8.333333333333334	27	693
35	-13	-1.0	13	706	35	-13	-1.0	13	706	35	-13	-1.0	13	706	35	-13	-1.0	13	706	35	-13	-1.0	13	706
36	-13	-1.0	13	719	36	-13	-1.0	13	719	36	-13	-1.0	13	719	36	-13	-1.0	13	719	36	-13	-1.0	13	719
37	-122	-5.304347826086956	23	742	37	-122	-5.304347826086956	23	742	37	-122	-5.304347826086956	23	742	37	-122	-5.304347826086956	23	742	37	-122	-5.304347826086956	23	742
38	-15	-1.0	15	757	38	-15	-1.0	15	757	38	-15	-1.0	15	757	38	-15	-1.0	15	757	38	-15	-1.0	15	757
39	-13	-1.0	13	770	39	-13	-1.0	13	770	39	-13	-1.0	13	770	39	-13	-1.0	13	770	39	-13	-1.0	13	770
40	-15	-1.0	15	785	40	-15	-1.0	15	785	40	-15	-1.0	15	785	40	-15	-1.0	15	785	40	-15	-1.0	15	785
41	-124	-4.96	25	810	41	-124	-4.96	25	810	41	-124	-4.96	25	810	41	-124	-4.96	25	810	41	-124	-4.96	25	810
42	-15	-1.0	15	825	42	-15	-1.0	15	825	42	-15	-1.0	15	825	42	-15	-1.0	15	825	42	-15	-1.0	15	825
43	-13	-1.0	13	838	43	-13	-1.0	13	838	43	-13	-1.0	13	838	43	-13	-1.0	13	838	43	-13	-1.0	13	838
44	-17	-1.0	17	855	44	-17	-1.0	17	855	44	-17	-1.0	17	855	44	-17	-1.0	17	855	44	-17	-1.0	17	855
45	-15	-1.0	15	870	45	-15	-1.0	15	870	45	-15	-1.0	15	870	45	-15	-1.0	15	870	45	-15	-1.0	15	870
46	-224	-8.615384615384615	26	896	46	-224	-8.615384615384615	26	896	46	-224	-8.615384615384615	26	896	46	-224	-8.615384615384615	26	896	46	-224	-8.615384615384615	26	896
47	-13	-1.0	13	909	47	-13	-1.0	13	909	47	-13	-1.0	13	909	47	-13	-1.0	13	909	47	-13	-1.0	13	909
48	-13	-1.0	13	922	48	-13	-1.0	13	922	48	-13	-1.0	13	922	48	-13	-1.0	13	922	48	-13	-1.0	13	922
49	-13	-1.0	13	935	49	-13	-1.0	13	935	49	-13	-1.0	13	935	49	-13	-1.0	13	935	49	-13	-1.0	13	935
50	-13	-1.0	13	948	50	-13	-1.0	13	948	50	-13	-1.0	13	948	50	-13	-1.0	13	948	50	-13	-1.0	13	948
51	-118	-6.2105263157894735	19	967	51	-118	-6.2105263157894735	19	967	51	-118	-6.2105263157894735	19	967	51	-118	-6.2105263157894735	19	967	51	-118	-6.2105263157894735	19	967
52	-13	-1.0	13	980	52	-13	-1.0	13	980	52	-13	-1.0	13	980	52	-13	-1.0	13	980	52	-13	-1.0	13	980
53	-13	-1.0	13	993	53	-13	-1.0	13	993	53	-13	-1.0	13	993	53	-13	-1.0	13	993	53	-13	-1.0	13	993
54	-13	-1.0	13	1006	54	-13	-1.0	13	1006	54	-13	-1.0	13	1006	54	-13	-1.0	13	1006	54	-13	-1.0	13	1006
55	-17	-1.0	17	1023	55	-17	-1.0	17	1023	55	-17	-1.0	17	1023	55	-17	-1.0	17	1023	55	-17	-1.0	17	1023
56	-13	-1.0	13	1036	56	-13	-1.0	13	1036	56	-13	-1.0	13	1036	56	-13	-1.0	13	1036	56	-13	-1.0	13	1036
57	-119	-5.95	20	1056	57	-119	-5.95	20	1056	57	-119	-5.95	20	1056	57	-119	-5.95	20	1056	57	-119	-5.95	20	1056
58	-15	-1.0	15	1071	58	-15	-1.0	15	1071	58	-15	-1.0	15	1071	58	-15	-1.0	15	1071	58	-15	-1.0	15	1071
59	-13	-1.0	13	1084	59	-13	-1.0	13	1084	59	-13	-1.0	13	1084	59	-13	-1.0	13	1084	59	-13	-1.0	13	1084
60	-15	-1.0	15	1099	60	-15	-1.0	15	1099	60	-15	-1.0	15	1099	60	-15	-1.0	15	1099	60	-15	-1.0	15	1099
61	-15	-1.0	15	1114	61	-15	-1.0	15	1114	61	-15	-1.0	15	1114	61	-15	-1.0	15	1114	61	-15	-1.0	15	1114
62	-13	-1.0	13	1127	62	-13	-1.0	13	1127	62	-13	-1.0	13	1127	62	-13	-1.0	13	1127	62	-13	-1.0	13	1127
63	-14	-1.0	14	1141	63	-14	-1.0	14	1141	63	-14	-1.0	14	1141	63	-14	-1.0	14	1141	63	-14	-1.0	14	1141
64	-116	-6.823529411764706	17	1158	64	-116	-6.823529411764706	17	1158	64	-116	-6.823529411764706	17	1158	64	-116	-6.823529411764706	17	1158	64	-116	-6.823529411764706	17	1158
65	-21	-1.0	21	1179	65	-21	-1.0	21	1179	65	-21	-1.0	21	1179	65	-21	-1.0	21	1179	65	-21	-1.0	21	1179
66	-13	-1.0	13	1192	66	-13	-1.0	13	1192	66	-13	-1.0	13	1192	66	-13	-1.0	13	1192	66	-13	-1.0	13	1192
67	-13	-1.0	13	1205	67	-13	-1.0	13	1205	67	-13	-1.0	13	1205	67	-13	-1.0	13	1205	67	-13	-1.0	13	1205
68	-17	-1.0	17	1222	68	-17	-1.0	17	1222	68	-17	-1.0	17	1222	68	-17	-1.0	17	1222	68	-17	-1.0	17	1222
69	-13	-1.0	13	1235	69	-13	-1.0	13	1235	69	-13	-1.0	13	1235	69	-13	-1.0	13	1235	69	-13	-1.0	13	1235
70	-16	-1.0	16	1251	70	-16	-1.0	16	1251	70	-16	-1.0	16	1251	70	-16	-1.0	16	1251	70	-16	-1.0	16	1251
71	-13	-1.0	13	1264	71	-13	-1.0	13	1264	71	-13	-1.0	13	1264	71	-13	-1.0	13	1264	71	-13	-1.0	13	1264
72	-15	-1.0	15	1279	72	-15	-1.0	15	1279	72	-15	-1.0	15	1279	72	-15	-1.0	15	1279	72	-15	-1.0	15	1279
73	-17	-1.0	17	1296	73	-17	-1.0	17	1296	73	-17	-1.0	17	1296	73	-17	-1.0	17	1296	73	-17	-1.0	17	1296
