Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-127	-4.535714285714286	28	28	0	-127	-4.535714285714286	28	28	0	-127	-4.535714285714286	28	28	0	-127	-4.535714285714286	28	28	0	-127	-4.535714285714286	28	28	0	-127	-4.535714285714286	28	28	0	-127	-4.535714285714286	28	28	0	-127	-4.535714285714286	28	28
1	-13	-1.0	13	41	1	-13	-1.0	13	41	1	-13	-1.0	13	41	1	-13	-1.0	13	41	1	-13	-1.0	13	41	1	-13	-1.0	13	41	1	-13	-1.0	13	41	1	-13	-1.0	13	41
2	-119	-5.95	20	61	2	-119	-5.95	20	61	2	-119	-5.95	20	61	2	-119	-5.95	20	61	2	-119	-5.95	20	61	2	-119	-5.95	20	61	2	-119	-5.95	20	61	2	-119	-5.95	20	61
3	-13	-1.0	13	74	3	-13	-1.0	13	74	3	-13	-1.0	13	74	3	-13	-1.0	13	74	3	-13	-1.0	13	74	3	-13	-1.0	13	74	3	-13	-1.0	13	74	3	-13	-1.0	13	74
4	-13	-1.0	13	87	4	-13	-1.0	13	87	4	-13	-1.0	13	87	4	-13	-1.0	13	87	4	-13	-1.0	13	87	4	-13	-1.0	13	87	4	-13	-1.0	13	87	4	-13	-1.0	13	87
5	-15	-1.0	15	102	5	-15	-1.0	15	102	5	-15	-1.0	15	102	5	-15	-1.0	15	102	5	-15	-1.0	15	102	5	-15	-1.0	15	102	5	-15	-1.0	15	102	5	-15	-1.0	15	102
6	-13	-1.0	13	115	6	-13	-1.0	13	115	6	-13	-1.0	13	115	6	-13	-1.0	13	115	6	-13	-1.0	13	115	6	-13	-1.0	13	115	6	-13	-1.0	13	115	6	-13	-1.0	13	115
7	-17	-1.0	17	132	7	-17	-1.0	17	132	7	-17	-1.0	17	132	7	-17	-1.0	17	132	7	-17	-1.0	17	132	7	-17	-1.0	17	132	7	-17	-1.0	17	132	7	-17	-1.0	17	132
8	-116	-6.823529411764706	17	149	8	-116	-6.823529411764706	17	149	8	-116	-6.823529411764706	17	149	8	-116	-6.823529411764706	17	149	8	-116	-6.823529411764706	17	149	8	-116	-6.823529411764706	17	149	8	-116	-6.823529411764706	17	149	8	-116	-6.823529411764706	17	149
9	-13	-1.0	13	162	9	-13	-1.0	13	162	9	-13	-1.0	13	162	9	-13	-1.0	13	162	9	-13	-1.0	13	162	9	-13	-1.0	13	162	9	-13	-1.0	13	162	9	-13	-1.0	13	162
10	-15	-1.0	15	177	10	-15	-1.0	15	177	10	-15	-1.0	15	177	10	-15	-1.0	15	177	10	-15	-1.0	15	177	10	-15	-1.0	15	177	10	-15	-1.0	15	177	10	-15	-1.0	15	177
11	-13	-1.0	13	190	11	-13	-1.0	13	190	11	-13	-1.0	13	190	11	-13	-1.0	13	190	11	-13	-1.0	13	190	11	-13	-1.0	13	190	11	-13	-1.0	13	190	11	-13	-1.0	13	190
12	-15	-1.0	15	205	12	-15	-1.0	15	205	12	-15	-1.0	15	205	12	-15	-1.0	15	205	12	-15	-1.0	15	205	12	-15	-1.0	15	205	12	-15	-1.0	15	205	12	-15	-1.0	15	205
13	-115	-7.1875	16	221	13	-115	-7.1875	16	221	13	-115	-7.1875	16	221	13	-115	-7.1875	16	221	13	-115	-7.1875	16	221	13	-115	-7.1875	16	221	13	-115	-7.1875	16	221	13	-115	-7.1875	16	221
14	-13	-1.0	13	234	14	-13	-1.0	13	234	14	-13	-1.0	13	234	14	-13	-1.0	13	234	14	-13	-1.0	13	234	14	-13	-1.0	13	234	14	-13	-1.0	13	234	14	-13	-1.0	13	234
15	-13	-1.0	13	247	15	-13	-1.0	13	247	15	-13	-1.0	13	247	15	-13	-1.0	13	247	15	-13	-1.0	13	247	15	-13	-1.0	13	247	15	-13	-1.0	13	247	15	-13	-1.0	13	247
16	-121	-5.5	22	269	16	-121	-5.5	22	269	16	-121	-5.5	22	269	16	-121	-5.5	22	269	16	-121	-5.5	22	269	16	-121	-5.5	22	269	16	-121	-5.5	22	269	16	-121	-5.5	22	269
17	-15	-1.0	15	284	17	-15	-1.0	15	284	17	-15	-1.0	15	284	17	-15	-1.0	15	284	17	-15	-1.0	15	284	17	-15	-1.0	15	284	17	-15	-1.0	15	284	17	-15	-1.0	15	284
18	-15	-1.0	15	299	18	-15	-1.0	15	299	18	-15	-1.0	15	299	18	-15	-1.0	15	299	18	-15	-1.0	15	299	18	-15	-1.0	15	299	18	-15	-1.0	15	299	18	-15	-1.0	15	299
19	-13	-1.0	13	312	19	-13	-1.0	13	312	19	-13	-1.0	13	312	19	-13	-1.0	13	312	19	-13	-1.0	13	312	19	-13	-1.0	13	312	19	-13	-1.0	13	312	19	-13	-1.0	13	312
20	-13	-1.0	13	325	20	-13	-1.0	13	325	20	-13	-1.0	13	325	20	-13	-1.0	13	325	20	-13	-1.0	13	325	20	-13	-1.0	13	325	20	-13	-1.0	13	325	20	-13	-1.0	13	325
21	-15	-1.0	15	340	21	-15	-1.0	15	340	21	-15	-1.0	15	340	21	-15	-1.0	15	340	21	-15	-1.0	15	340	21	-15	-1.0	15	340	21	-15	-1.0	15	340	21	-15	-1.0	15	340
22	-15	-1.0	15	355	22	-15	-1.0	15	355	22	-15	-1.0	15	355	22	-15	-1.0	15	355	22	-15	-1.0	15	355	22	-15	-1.0	15	355	22	-15	-1.0	15	355	22	-15	-1.0	15	355
23	-13	-1.0	13	368	23	-13	-1.0	13	368	23	-13	-1.0	13	368	23	-13	-1.0	13	368	23	-13	-1.0	13	368	23	-13	-1.0	13	368	23	-13	-1.0	13	368	23	-13	-1.0	13	368
24	-27	-1.0	27	395	24	-27	-1.0	27	395	24	-27	-1.0	27	395	24	-27	-1.0	27	395	24	-27	-1.0	27	395	24	-27	-1.0	27	395	24	-27	-1.0	27	395	24	-27	-1.0	27	395
25	-15	-1.0	15	410	25	-15	-1.0	15	410	25	-15	-1.0	15	410	25	-15	-1.0	15	410	25	-15	-1.0	15	410	25	-15	-1.0	15	410	25	-15	-1.0	15	410	25	-15	-1.0	15	410
26	-17	-1.0	17	427	26	-17	-1.0	17	427	26	-17	-1.0	17	427	26	-17	-1.0	17	427	26	-17	-1.0	17	427	26	-17	-1.0	17	427	26	-17	-1.0	17	427	26	-17	-1.0	17	427
27	-13	-1.0	13	440	27	-13	-1.0	13	440	27	-13	-1.0	13	440	27	-13	-1.0	13	440	27	-13	-1.0	13	440	27	-13	-1.0	13	440	27	-13	-1.0	13	440	27	-13	-1.0	13	440
28	-13	-1.0	13	453	28	-13	-1.0	13	453	28	-13	-1.0	13	453	28	-13	-1.0	13	453	28	-13	-1.0	13	453	28	-13	-1.0	13	453	28	-13	-1.0	13	453	28	-13	-1.0	13	453
29	-15	-1.0	15	468	29	-15	-1.0	15	468	29	-15	-1.0	15	468	29	-15	-1.0	15	468	29	-15	-1.0	15	468	29	-15	-1.0	15	468	29	-15	-1.0	15	468	29	-15	-1.0	15	468
30	-15	-1.0	15	483	30	-15	-1.0	15	483	30	-15	-1.0	15	483	30	-15	-1.0	15	483	30	-15	-1.0	15	483	30	-15	-1.0	15	483	30	-15	-1.0	15	483	30	-15	-1.0	15	483
31	-13	-1.0	13	496	31	-13	-1.0	13	496	31	-13	-1.0	13	496	31	-13	-1.0	13	496	31	-13	-1.0	13	496	31	-13	-1.0	13	496	31	-13	-1.0	13	496	31	-13	-1.0	13	496
32	-13	-1.0	13	509	32	-13	-1.0	13	509	32	-13	-1.0	13	509	32	-13	-1.0	13	509	32	-13	-1.0	13	509	32	-13	-1.0	13	509	32	-13	-1.0	13	509	32	-13	-1.0	13	509
33	-13	-1.0	13	522	33	-13	-1.0	13	522	33	-13	-1.0	13	522	33	-13	-1.0	13	522	33	-13	-1.0	13	522	33	-13	-1.0	13	522	33	-13	-1.0	13	522	33	-13	-1.0	13	522
34	-17	-1.0	17	539	34	-17	-1.0	17	539	34	-17	-1.0	17	539	34	-17	-1.0	17	539	34	-17	-1.0	17	539	34	-17	-1.0	17	539	34	-17	-1.0	17	539	34	-17	-1.0	17	539
35	-15	-1.0	15	554	35	-15	-1.0	15	554	35	-15	-1.0	15	554	35	-15	-1.0	15	554	35	-15	-1.0	15	554	35	-15	-1.0	15	554	35	-15	-1.0	15	554	35	-15	-1.0	15	554
36	-17	-1.0	17	571	36	-17	-1.0	17	571	36	-17	-1.0	17	571	36	-17	-1.0	17	571	36	-17	-1.0	17	571	36	-17	-1.0	17	571	36	-17	-1.0	17	571	36	-17	-1.0	17	571
37	-125	-4.8076923076923075	26	597	37	-125	-4.8076923076923075	26	597	37	-125	-4.8076923076923075	26	597	37	-125	-4.8076923076923075	26	597	37	-125	-4.8076923076923075	26	597	37	-125	-4.8076923076923075	26	597	37	-125	-4.8076923076923075	26	597	37	-125	-4.8076923076923075	26	597
38	-13	-1.0	13	610	38	-13	-1.0	13	610	38	-13	-1.0	13	610	38	-13	-1.0	13	610	38	-13	-1.0	13	610	38	-13	-1.0	13	610	38	-13	-1.0	13	610	38	-13	-1.0	13	610
39	-17	-1.0	17	627	39	-17	-1.0	17	627	39	-17	-1.0	17	627	39	-17	-1.0	17	627	39	-17	-1.0	17	627	39	-17	-1.0	17	627	39	-17	-1.0	17	627	39	-17	-1.0	17	627
40	-13	-1.0	13	640	40	-13	-1.0	13	640	40	-13	-1.0	13	640	40	-13	-1.0	13	640	40	-13	-1.0	13	640	40	-13	-1.0	13	640	40	-13	-1.0	13	640	40	-13	-1.0	13	640
