Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-126	-4.666666666666667	27	27	0	-126	-4.666666666666667	27	27	0	-126	-4.666666666666667	27	27	0	-126	-4.666666666666667	27	27	0	-126	-4.666666666666667	27	27	0	-126	-4.666666666666667	27	27	0	-126	-4.666666666666667	27	27	0	-126	-4.666666666666667	27	27	0	-126	-4.666666666666667	27	27	0	-126	-4.666666666666667	27	27	0	-126	-4.666666666666667	27	27
1	-16	-1.0	16	43	1	-16	-1.0	16	43	1	-16	-1.0	16	43	1	-16	-1.0	16	43	1	-16	-1.0	16	43	1	-16	-1.0	16	43	1	-16	-1.0	16	43	1	-16	-1.0	16	43	1	-16	-1.0	16	43	1	-16	-1.0	16	43	1	-16	-1.0	16	43
2	-120	-5.714285714285714	21	64	2	-120	-5.714285714285714	21	64	2	-120	-5.714285714285714	21	64	2	-120	-5.714285714285714	21	64	2	-120	-5.714285714285714	21	64	2	-120	-5.714285714285714	21	64	2	-120	-5.714285714285714	21	64	2	-120	-5.714285714285714	21	64	2	-120	-5.714285714285714	21	64	2	-120	-5.714285714285714	21	64	2	-120	-5.714285714285714	21	64
3	-15	-1.0	15	79	3	-15	-1.0	15	79	3	-15	-1.0	15	79	3	-15	-1.0	15	79	3	-15	-1.0	15	79	3	-15	-1.0	15	79	3	-15	-1.0	15	79	3	-15	-1.0	15	79	3	-15	-1.0	15	79	3	-15	-1.0	15	79	3	-15	-1.0	15	79
4	-19	-1.0	19	98	4	-19	-1.0	19	98	4	-19	-1.0	19	98	4	-19	-1.0	19	98	4	-19	-1.0	19	98	4	-19	-1.0	19	98	4	-19	-1.0	19	98	4	-19	-1.0	19	98	4	-19	-1.0	19	98	4	-19	-1.0	19	98	4	-19	-1.0	19	98
5	-16	-1.0	16	114	5	-16	-1.0	16	114	5	-16	-1.0	16	114	5	-16	-1.0	16	114	5	-16	-1.0	16	114	5	-16	-1.0	16	114	5	-16	-1.0	16	114	5	-16	-1.0	16	114	5	-16	-1.0	16	114	5	-16	-1.0	16	114	5	-16	-1.0	16	114
6	-13	-1.0	13	127	6	-13	-1.0	13	127	6	-13	-1.0	13	127	6	-13	-1.0	13	127	6	-13	-1.0	13	127	6	-13	-1.0	13	127	6	-13	-1.0	13	127	6	-13	-1.0	13	127	6	-13	-1.0	13	127	6	-13	-1.0	13	127	6	-13	-1.0	13	127
7	-15	-1.0	15	142	7	-15	-1.0	15	142	7	-15	-1.0	15	142	7	-15	-1.0	15	142	7	-15	-1.0	15	142	7	-15	-1.0	15	142	7	-15	-1.0	15	142	7	-15	-1.0	15	142	7	-15	-1.0	15	142	7	-15	-1.0	15	142	7	-15	-1.0	15	142
8	-13	-1.0	13	155	8	-13	-1.0	13	155	8	-13	-1.0	13	155	8	-13	-1.0	13	155	8	-13	-1.0	13	155	8	-13	-1.0	13	155	8	-13	-1.0	13	155	8	-13	-1.0	13	155	8	-13	-1.0	13	155	8	-13	-1.0	13	155	8	-13	-1.0	13	155
9	-15	-1.0	15	170	9	-15	-1.0	15	170	9	-15	-1.0	15	170	9	-15	-1.0	15	170	9	-15	-1.0	15	170	9	-15	-1.0	15	170	9	-15	-1.0	15	170	9	-15	-1.0	15	170	9	-15	-1.0	15	170	9	-15	-1.0	15	170	9	-15	-1.0	15	170
10	-117	-6.5	18	188	10	-117	-6.5	18	188	10	-117	-6.5	18	188	10	-117	-6.5	18	188	10	-117	-6.5	18	188	10	-117	-6.5	18	188	10	-117	-6.5	18	188	10	-117	-6.5	18	188	10	-117	-6.5	18	188	10	-117	-6.5	18	188	10	-117	-6.5	18	188
11	-229	-7.387096774193548	31	219	11	-229	-7.387096774193548	31	219	11	-229	-7.387096774193548	31	219	11	-229	-7.387096774193548	31	219	11	-229	-7.387096774193548	31	219	11	-229	-7.387096774193548	31	219	11	-229	-7.387096774193548	31	219	11	-229	-7.387096774193548	31	219	11	-229	-7.387096774193548	31	219	11	-229	-7.387096774193548	31	219	11	-229	-7.387096774193548	31	219
12	-13	-1.0	13	232	12	-13	-1.0	13	232	12	-13	-1.0	13	232	12	-13	-1.0	13	232	12	-13	-1.0	13	232	12	-13	-1.0	13	232	12	-13	-1.0	13	232	12	-13	-1.0	13	232	12	-13	-1.0	13	232	12	-13	-1.0	13	232	12	-13	-1.0	13	232
13	-13	-1.0	13	245	13	-13	-1.0	13	245	13	-13	-1.0	13	245	13	-13	-1.0	13	245	13	-13	-1.0	13	245	13	-13	-1.0	13	245	13	-13	-1.0	13	245	13	-13	-1.0	13	245	13	-13	-1.0	13	245	13	-13	-1.0	13	245	13	-13	-1.0	13	245
14	-13	-1.0	13	258	14	-13	-1.0	13	258	14	-13	-1.0	13	258	14	-13	-1.0	13	258	14	-13	-1.0	13	258	14	-13	-1.0	13	258	14	-13	-1.0	13	258	14	-13	-1.0	13	258	14	-13	-1.0	13	258	14	-13	-1.0	13	258	14	-13	-1.0	13	258
15	-13	-1.0	13	271	15	-13	-1.0	13	271	15	-13	-1.0	13	271	15	-13	-1.0	13	271	15	-13	-1.0	13	271	15	-13	-1.0	13	271	15	-13	-1.0	13	271	15	-13	-1.0	13	271	15	-13	-1.0	13	271	15	-13	-1.0	13	271	15	-13	-1.0	13	271
16	-15	-1.0	15	286	16	-15	-1.0	15	286	16	-15	-1.0	15	286	16	-15	-1.0	15	286	16	-15	-1.0	15	286	16	-15	-1.0	15	286	16	-15	-1.0	15	286	16	-15	-1.0	15	286	16	-15	-1.0	15	286	16	-15	-1.0	15	286	16	-15	-1.0	15	286
17	-13	-1.0	13	299	17	-13	-1.0	13	299	17	-13	-1.0	13	299	17	-13	-1.0	13	299	17	-13	-1.0	13	299	17	-13	-1.0	13	299	17	-13	-1.0	13	299	17	-13	-1.0	13	299	17	-13	-1.0	13	299	17	-13	-1.0	13	299	17	-13	-1.0	13	299
18	-13	-1.0	13	312	18	-13	-1.0	13	312	18	-13	-1.0	13	312	18	-13	-1.0	13	312	18	-13	-1.0	13	312	18	-13	-1.0	13	312	18	-13	-1.0	13	312	18	-13	-1.0	13	312	18	-13	-1.0	13	312	18	-13	-1.0	13	312	18	-13	-1.0	13	312
19	-13	-1.0	13	325	19	-13	-1.0	13	325	19	-13	-1.0	13	325	19	-13	-1.0	13	325	19	-13	-1.0	13	325	19	-13	-1.0	13	325	19	-13	-1.0	13	325	19	-13	-1.0	13	325	19	-13	-1.0	13	325	19	-13	-1.0	13	325	19	-13	-1.0	13	325
20	-13	-1.0	13	338	20	-13	-1.0	13	338	20	-13	-1.0	13	338	20	-13	-1.0	13	338	20	-13	-1.0	13	338	20	-13	-1.0	13	338	20	-13	-1.0	13	338	20	-13	-1.0	13	338	20	-13	-1.0	13	338	20	-13	-1.0	13	338	20	-13	-1.0	13	338
21	-127	-4.535714285714286	28	366	21	-127	-4.535714285714286	28	366	21	-127	-4.535714285714286	28	366	21	-127	-4.535714285714286	28	366	21	-127	-4.535714285714286	28	366	21	-127	-4.535714285714286	28	366	21	-127	-4.535714285714286	28	366	21	-127	-4.535714285714286	28	366	21	-127	-4.535714285714286	28	366	21	-127	-4.535714285714286	28	366	21	-127	-4.535714285714286	28	366
22	-15	-1.0	15	381	22	-15	-1.0	15	381	22	-15	-1.0	15	381	22	-15	-1.0	15	381	22	-15	-1.0	15	381	22	-15	-1.0	15	381	22	-15	-1.0	15	381	22	-15	-1.0	15	381	22	-15	-1.0	15	381	22	-15	-1.0	15	381	22	-15	-1.0	15	381
23	-13	-1.0	13	394	23	-13	-1.0	13	394	23	-13	-1.0	13	394	23	-13	-1.0	13	394	23	-13	-1.0	13	394	23	-13	-1.0	13	394	23	-13	-1.0	13	394	23	-13	-1.0	13	394	23	-13	-1.0	13	394	23	-13	-1.0	13	394	23	-13	-1.0	13	394
24	-13	-1.0	13	407	24	-13	-1.0	13	407	24	-13	-1.0	13	407	24	-13	-1.0	13	407	24	-13	-1.0	13	407	24	-13	-1.0	13	407	24	-13	-1.0	13	407	24	-13	-1.0	13	407	24	-13	-1.0	13	407	24	-13	-1.0	13	407	24	-13	-1.0	13	407
25	-15	-1.0	15	422	25	-15	-1.0	15	422	25	-15	-1.0	15	422	25	-15	-1.0	15	422	25	-15	-1.0	15	422	25	-15	-1.0	15	422	25	-15	-1.0	15	422	25	-15	-1.0	15	422	25	-15	-1.0	15	422	25	-15	-1.0	15	422	25	-15	-1.0	15	422
26	-227	-7.827586206896552	29	451	26	-227	-7.827586206896552	29	451	26	-227	-7.827586206896552	29	451	26	-227	-7.827586206896552	29	451	26	-227	-7.827586206896552	29	451	26	-227	-7.827586206896552	29	451	26	-227	-7.827586206896552	29	451	26	-227	-7.827586206896552	29	451	26	-227	-7.827586206896552	29	451	26	-227	-7.827586206896552	29	451	26	-227	-7.827586206896552	29	451
27	-13	-1.0	13	464	27	-13	-1.0	13	464	27	-13	-1.0	13	464	27	-13	-1.0	13	464	27	-13	-1.0	13	464	27	-13	-1.0	13	464	27	-13	-1.0	13	464	27	-13	-1.0	13	464	27	-13	-1.0	13	464	27	-13	-1.0	13	464	27	-13	-1.0	13	464
28	-13	-1.0	13	477	28	-13	-1.0	13	477	28	-13	-1.0	13	477	28	-13	-1.0	13	477	28	-13	-1.0	13	477	28	-13	-1.0	13	477	28	-13	-1.0	13	477	28	-13	-1.0	13	477	28	-13	-1.0	13	477	28	-13	-1.0	13	477	28	-13	-1.0	13	477
29	-13	-1.0	13	490	29	-13	-1.0	13	490	29	-13	-1.0	13	490	29	-13	-1.0	13	490	29	-13	-1.0	13	490	29	-13	-1.0	13	490	29	-13	-1.0	13	490	29	-13	-1.0	13	490	29	-13	-1.0	13	490	29	-13	-1.0	13	490	29	-13	-1.0	13	490
30	-13	-1.0	13	503	30	-13	-1.0	13	503	30	-13	-1.0	13	503	30	-13	-1.0	13	503	30	-13	-1.0	13	503	30	-13	-1.0	13	503	30	-13	-1.0	13	503	30	-13	-1.0	13	503	30	-13	-1.0	13	503	30	-13	-1.0	13	503	30	-13	-1.0	13	503
31	-17	-1.0	17	520	31	-17	-1.0	17	520	31	-17	-1.0	17	520	31	-17	-1.0	17	520	31	-17	-1.0	17	520	31	-17	-1.0	17	520	31	-17	-1.0	17	520	31	-17	-1.0	17	520	31	-17	-1.0	17	520	31	-17	-1.0	17	520	31	-17	-1.0	17	520
32	-18	-1.0	18	538	32	-18	-1.0	18	538	32	-18	-1.0	18	538	32	-18	-1.0	18	538	32	-18	-1.0	18	538	32	-18	-1.0	18	538	32	-18	-1.0	18	538	32	-18	-1.0	18	538	32	-18	-1.0	18	538	32	-18	-1.0	18	538	32	-18	-1.0	18	538
33	-15	-1.0	15	553	33	-15	-1.0	15	553	33	-15	-1.0	15	553	33	-15	-1.0	15	553	33	-15	-1.0	15	553	33	-15	-1.0	15	553	33	-15	-1.0	15	553	33	-15	-1.0	15	553	33	-15	-1.0	15	553	33	-15	-1.0	15	553	33	-15	-1.0	15	553
34	-123	-5.125	24	577	34	-123	-5.125	24	577	34	-123	-5.125	24	577	34	-123	-5.125	24	577	34	-123	-5.125	24	577	34	-123	-5.125	24	577	34	-123	-5.125	24	577	34	-123	-5.125	24	577	34	-123	-5.125	24	577	34	-123	-5.125	24	577	34	-123	-5.125	24	577
35	-15	-1.0	15	592	35	-15	-1.0	15	592	35	-15	-1.0	15	592	35	-15	-1.0	15	592	35	-15	-1.0	15	592	35	-15	-1.0	15	592	35	-15	-1.0	15	592	35	-15	-1.0	15	592	35	-15	-1.0	15	592	35	-15	-1.0	15	592	35	-15	-1.0	15	592
36	-13	-1.0	13	605	36	-13	-1.0	13	605	36	-13	-1.0	13	605	36	-13	-1.0	13	605	36	-13	-1.0	13	605	36	-13	-1.0	13	605	36	-13	-1.0	13	605	36	-13	-1.0	13	605	36	-13	-1.0	13	605	36	-13	-1.0	13	605	36	-13	-1.0	13	605
