Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13
1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26
2	-15	-1.0	15	41	2	-15	-1.0	15	41	2	-15	-1.0	15	41	2	-15	-1.0	15	41	2	-15	-1.0	15	41	2	-15	-1.0	15	41	2	-15	-1.0	15	41	2	-15	-1.0	15	41	2	-15	-1.0	15	41	2	-15	-1.0	15	41	2	-15	-1.0	15	41	2	-15	-1.0	15	41	2	-15	-1.0	15	41	2	-15	-1.0	15	41
3	-14	-1.0	14	55	3	-14	-1.0	14	55	3	-14	-1.0	14	55	3	-14	-1.0	14	55	3	-14	-1.0	14	55	3	-14	-1.0	14	55	3	-14	-1.0	14	55	3	-14	-1.0	14	55	3	-14	-1.0	14	55	3	-14	-1.0	14	55	3	-14	-1.0	14	55	3	-14	-1.0	14	55	3	-14	-1.0	14	55	3	-14	-1.0	14	55
4	-13	-1.0	13	68	4	-13	-1.0	13	68	4	-13	-1.0	13	68	4	-13	-1.0	13	68	4	-13	-1.0	13	68	4	-13	-1.0	13	68	4	-13	-1.0	13	68	4	-13	-1.0	13	68	4	-13	-1.0	13	68	4	-13	-1.0	13	68	4	-13	-1.0	13	68	4	-13	-1.0	13	68	4	-13	-1.0	13	68	4	-13	-1.0	13	68
5	-15	-1.0	15	83	5	-15	-1.0	15	83	5	-15	-1.0	15	83	5	-15	-1.0	15	83	5	-15	-1.0	15	83	5	-15	-1.0	15	83	5	-15	-1.0	15	83	5	-15	-1.0	15	83	5	-15	-1.0	15	83	5	-15	-1.0	15	83	5	-15	-1.0	15	83	5	-15	-1.0	15	83	5	-15	-1.0	15	83	5	-15	-1.0	15	83
6	-221	-9.608695652173912	23	106	6	-221	-9.608695652173912	23	106	6	-221	-9.608695652173912	23	106	6	-221	-9.608695652173912	23	106	6	-221	-9.608695652173912	23	106	6	-221	-9.608695652173912	23	106	6	-221	-9.608695652173912	23	106	6	-221	-9.608695652173912	23	106	6	-221	-9.608695652173912	23	106	6	-221	-9.608695652173912	23	106	6	-221	-9.608695652173912	23	106	6	-221	-9.608695652173912	23	106	6	-221	-9.608695652173912	23	106	6	-221	-9.608695652173912	23	106
7	-126	-4.666666666666667	27	133	7	-126	-4.666666666666667	27	133	7	-126	-4.666666666666667	27	133	7	-126	-4.666666666666667	27	133	7	-126	-4.666666666666667	27	133	7	-126	-4.666666666666667	27	133	7	-126	-4.666666666666667	27	133	7	-126	-4.666666666666667	27	133	7	-126	-4.666666666666667	27	133	7	-126	-4.666666666666667	27	133	7	-126	-4.666666666666667	27	133	7	-126	-4.666666666666667	27	133	7	-126	-4.666666666666667	27	133	7	-126	-4.666666666666667	27	133
8	-15	-1.0	15	148	8	-15	-1.0	15	148	8	-15	-1.0	15	148	8	-15	-1.0	15	148	8	-15	-1.0	15	148	8	-15	-1.0	15	148	8	-15	-1.0	15	148	8	-15	-1.0	15	148	8	-15	-1.0	15	148	8	-15	-1.0	15	148	8	-15	-1.0	15	148	8	-15	-1.0	15	148	8	-15	-1.0	15	148	8	-15	-1.0	15	148
9	-13	-1.0	13	161	9	-13	-1.0	13	161	9	-13	-1.0	13	161	9	-13	-1.0	13	161	9	-13	-1.0	13	161	9	-13	-1.0	13	161	9	-13	-1.0	13	161	9	-13	-1.0	13	161	9	-13	-1.0	13	161	9	-13	-1.0	13	161	9	-13	-1.0	13	161	9	-13	-1.0	13	161	9	-13	-1.0	13	161	9	-13	-1.0	13	161
