Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-116	-6.823529411764706	17	17	0	-116	-6.823529411764706	17	17	0	-116	-6.823529411764706	17	17	0	-116	-6.823529411764706	17	17	0	-116	-6.823529411764706	17	17	0	-116	-6.823529411764706	17	17	0	-116	-6.823529411764706	17	17	0	-116	-6.823529411764706	17	17	0	-116	-6.823529411764706	17	17	0	-116	-6.823529411764706	17	17	0	-116	-6.823529411764706	17	17	0	-116	-6.823529411764706	17	17	0	-116	-6.823529411764706	17	17	0	-116	-6.823529411764706	17	17	0	-116	-6.823529411764706	17	17	0	-116	-6.823529411764706	17	17	0	-116	-6.823529411764706	17	17
1	-17	-1.0	17	34	1	-17	-1.0	17	34	1	-17	-1.0	17	34	1	-17	-1.0	17	34	1	-17	-1.0	17	34	1	-17	-1.0	17	34	1	-17	-1.0	17	34	1	-17	-1.0	17	34	1	-17	-1.0	17	34	1	-17	-1.0	17	34	1	-17	-1.0	17	34	1	-17	-1.0	17	34	1	-17	-1.0	17	34	1	-17	-1.0	17	34	1	-17	-1.0	17	34	1	-17	-1.0	17	34	1	-17	-1.0	17	34
2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49
3	-118	-6.2105263157894735	19	68	3	-118	-6.2105263157894735	19	68	3	-118	-6.2105263157894735	19	68	3	-118	-6.2105263157894735	19	68	3	-118	-6.2105263157894735	19	68	3	-118	-6.2105263157894735	19	68	3	-118	-6.2105263157894735	19	68	3	-118	-6.2105263157894735	19	68	3	-118	-6.2105263157894735	19	68	3	-118	-6.2105263157894735	19	68	3	-118	-6.2105263157894735	19	68	3	-118	-6.2105263157894735	19	68	3	-118	-6.2105263157894735	19	68	3	-118	-6.2105263157894735	19	68	3	-118	-6.2105263157894735	19	68	3	-118	-6.2105263157894735	19	68	3	-118	-6.2105263157894735	19	68
4	-23	-1.0	23	91	4	-23	-1.0	23	91	4	-23	-1.0	23	91	4	-23	-1.0	23	91	4	-23	-1.0	23	91	4	-23	-1.0	23	91	4	-23	-1.0	23	91	4	-23	-1.0	23	91	4	-23	-1.0	23	91	4	-23	-1.0	23	91	4	-23	-1.0	23	91	4	-23	-1.0	23	91	4	-23	-1.0	23	91	4	-23	-1.0	23	91	4	-23	-1.0	23	91	4	-23	-1.0	23	91	4	-23	-1.0	23	91
5	-19	-1.0	19	110	5	-19	-1.0	19	110	5	-19	-1.0	19	110	5	-19	-1.0	19	110	5	-19	-1.0	19	110	5	-19	-1.0	19	110	5	-19	-1.0	19	110	5	-19	-1.0	19	110	5	-19	-1.0	19	110	5	-19	-1.0	19	110	5	-19	-1.0	19	110	5	-19	-1.0	19	110	5	-19	-1.0	19	110	5	-19	-1.0	19	110	5	-19	-1.0	19	110	5	-19	-1.0	19	110	5	-19	-1.0	19	110
6	-123	-5.125	24	134	6	-123	-5.125	24	134	6	-123	-5.125	24	134	6	-123	-5.125	24	134	6	-123	-5.125	24	134	6	-123	-5.125	24	134	6	-123	-5.125	24	134	6	-123	-5.125	24	134	6	-123	-5.125	24	134	6	-123	-5.125	24	134	6	-123	-5.125	24	134	6	-123	-5.125	24	134	6	-123	-5.125	24	134	6	-123	-5.125	24	134	6	-123	-5.125	24	134	6	-123	-5.125	24	134	6	-123	-5.125	24	134
7	-13	-1.0	13	147	7	-13	-1.0	13	147	7	-13	-1.0	13	147	7	-13	-1.0	13	147	7	-13	-1.0	13	147	7	-13	-1.0	13	147	7	-13	-1.0	13	147	7	-13	-1.0	13	147	7	-13	-1.0	13	147	7	-13	-1.0	13	147	7	-13	-1.0	13	147	7	-13	-1.0	13	147	7	-13	-1.0	13	147	7	-13	-1.0	13	147	7	-13	-1.0	13	147	7	-13	-1.0	13	147	7	-13	-1.0	13	147
8	-13	-1.0	13	160	8	-13	-1.0	13	160	8	-13	-1.0	13	160	8	-13	-1.0	13	160	8	-13	-1.0	13	160	8	-13	-1.0	13	160	8	-13	-1.0	13	160	8	-13	-1.0	13	160	8	-13	-1.0	13	160	8	-13	-1.0	13	160	8	-13	-1.0	13	160	8	-13	-1.0	13	160	8	-13	-1.0	13	160	8	-13	-1.0	13	160	8	-13	-1.0	13	160	8	-13	-1.0	13	160	8	-13	-1.0	13	160
9	-13	-1.0	13	173	9	-13	-1.0	13	173	9	-13	-1.0	13	173	9	-13	-1.0	13	173	9	-13	-1.0	13	173	9	-13	-1.0	13	173	9	-13	-1.0	13	173	9	-13	-1.0	13	173	9	-13	-1.0	13	173	9	-13	-1.0	13	173	9	-13	-1.0	13	173	9	-13	-1.0	13	173	9	-13	-1.0	13	173	9	-13	-1.0	13	173	9	-13	-1.0	13	173	9	-13	-1.0	13	173	9	-13	-1.0	13	173
