Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-20	-1.0	20	20	0	-20	-1.0	20	20	0	-20	-1.0	20	20	0	-20	-1.0	20	20	0	-20	-1.0	20	20	0	-20	-1.0	20	20	0	-20	-1.0	20	20	0	-20	-1.0	20	20	0	-20	-1.0	20	20	0	-20	-1.0	20	20	0	-20	-1.0	20	20	0	-20	-1.0	20	20	0	-20	-1.0	20	20	0	-20	-1.0	20	20	0	-20	-1.0	20	20	0	-20	-1.0	20	20	0	-20	-1.0	20	20	0	-20	-1.0	20	20	0	-20	-1.0	20	20	0	-20	-1.0	20	20
1	-13	-1.0	13	33	1	-13	-1.0	13	33	1	-13	-1.0	13	33	1	-13	-1.0	13	33	1	-13	-1.0	13	33	1	-13	-1.0	13	33	1	-13	-1.0	13	33	1	-13	-1.0	13	33	1	-13	-1.0	13	33	1	-13	-1.0	13	33	1	-13	-1.0	13	33	1	-13	-1.0	13	33	1	-13	-1.0	13	33	1	-13	-1.0	13	33	1	-13	-1.0	13	33	1	-13	-1.0	13	33	1	-13	-1.0	13	33	1	-13	-1.0	13	33	1	-13	-1.0	13	33	1	-13	-1.0	13	33
2	-124	-4.96	25	58	2	-124	-4.96	25	58	2	-124	-4.96	25	58	2	-124	-4.96	25	58	2	-124	-4.96	25	58	2	-124	-4.96	25	58	2	-124	-4.96	25	58	2	-124	-4.96	25	58	2	-124	-4.96	25	58	2	-124	-4.96	25	58	2	-124	-4.96	25	58	2	-124	-4.96	25	58	2	-124	-4.96	25	58	2	-124	-4.96	25	58	2	-124	-4.96	25	58	2	-124	-4.96	25	58	2	-124	-4.96	25	58	2	-124	-4.96	25	58	2	-124	-4.96	25	58	2	-124	-4.96	25	58
3	-15	-1.0	15	73	3	-15	-1.0	15	73	3	-15	-1.0	15	73	3	-15	-1.0	15	73	3	-15	-1.0	15	73	3	-15	-1.0	15	73	3	-15	-1.0	15	73	3	-15	-1.0	15	73	3	-15	-1.0	15	73	3	-15	-1.0	15	73	3	-15	-1.0	15	73	3	-15	-1.0	15	73	3	-15	-1.0	15	73	3	-15	-1.0	15	73	3	-15	-1.0	15	73	3	-15	-1.0	15	73	3	-15	-1.0	15	73	3	-15	-1.0	15	73	3	-15	-1.0	15	73	3	-15	-1.0	15	73
4	-15	-1.0	15	88	4	-15	-1.0	15	88	4	-15	-1.0	15	88	4	-15	-1.0	15	88	4	-15	-1.0	15	88	4	-15	-1.0	15	88	4	-15	-1.0	15	88	4	-15	-1.0	15	88	4	-15	-1.0	15	88	4	-15	-1.0	15	88	4	-15	-1.0	15	88	4	-15	-1.0	15	88	4	-15	-1.0	15	88	4	-15	-1.0	15	88	4	-15	-1.0	15	88	4	-15	-1.0	15	88	4	-15	-1.0	15	88	4	-15	-1.0	15	88	4	-15	-1.0	15	88	4	-15	-1.0	15	88
5	-13	-1.0	13	101	5	-13	-1.0	13	101	5	-13	-1.0	13	101	5	-13	-1.0	13	101	5	-13	-1.0	13	101	5	-13	-1.0	13	101	5	-13	-1.0	13	101	5	-13	-1.0	13	101	5	-13	-1.0	13	101	5	-13	-1.0	13	101	5	-13	-1.0	13	101	5	-13	-1.0	13	101	5	-13	-1.0	13	101	5	-13	-1.0	13	101	5	-13	-1.0	13	101	5	-13	-1.0	13	101	5	-13	-1.0	13	101	5	-13	-1.0	13	101	5	-13	-1.0	13	101	5	-13	-1.0	13	101
6	-15	-1.0	15	116	6	-15	-1.0	15	116	6	-15	-1.0	15	116	6	-15	-1.0	15	116	6	-15	-1.0	15	116	6	-15	-1.0	15	116	6	-15	-1.0	15	116	6	-15	-1.0	15	116	6	-15	-1.0	15	116	6	-15	-1.0	15	116	6	-15	-1.0	15	116	6	-15	-1.0	15	116	6	-15	-1.0	15	116	6	-15	-1.0	15	116	6	-15	-1.0	15	116	6	-15	-1.0	15	116	6	-15	-1.0	15	116	6	-15	-1.0	15	116	6	-15	-1.0	15	116	6	-15	-1.0	15	116
7	-15	-1.0	15	131	7	-15	-1.0	15	131	7	-15	-1.0	15	131	7	-15	-1.0	15	131	7	-15	-1.0	15	131	7	-15	-1.0	15	131	7	-15	-1.0	15	131	7	-15	-1.0	15	131	7	-15	-1.0	15	131	7	-15	-1.0	15	131	7	-15	-1.0	15	131	7	-15	-1.0	15	131	7	-15	-1.0	15	131	7	-15	-1.0	15	131	7	-15	-1.0	15	131	7	-15	-1.0	15	131	7	-15	-1.0	15	131	7	-15	-1.0	15	131	7	-15	-1.0	15	131	7	-15	-1.0	15	131
8	-13	-1.0	13	144	8	-13	-1.0	13	144	8	-13	-1.0	13	144	8	-13	-1.0	13	144	8	-13	-1.0	13	144	8	-13	-1.0	13	144	8	-13	-1.0	13	144	8	-13	-1.0	13	144	8	-13	-1.0	13	144	8	-13	-1.0	13	144	8	-13	-1.0	13	144	8	-13	-1.0	13	144	8	-13	-1.0	13	144	8	-13	-1.0	13	144	8	-13	-1.0	13	144	8	-13	-1.0	13	144	8	-13	-1.0	13	144	8	-13	-1.0	13	144	8	-13	-1.0	13	144	8	-13	-1.0	13	144
9	-124	-4.96	25	169	9	-124	-4.96	25	169	9	-124	-4.96	25	169	9	-124	-4.96	25	169	9	-124	-4.96	25	169	9	-124	-4.96	25	169	9	-124	-4.96	25	169	9	-124	-4.96	25	169	9	-124	-4.96	25	169	9	-124	-4.96	25	169	9	-124	-4.96	25	169	9	-124	-4.96	25	169	9	-124	-4.96	25	169	9	-124	-4.96	25	169	9	-124	-4.96	25	169	9	-124	-4.96	25	169	9	-124	-4.96	25	169	9	-124	-4.96	25	169	9	-124	-4.96	25	169	9	-124	-4.96	25	169
