Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13	0	-13	-1.0	13	13
1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26	1	-13	-1.0	13	26
2	-13	-1.0	13	39	2	-13	-1.0	13	39	2	-13	-1.0	13	39	2	-13	-1.0	13	39	2	-13	-1.0	13	39	2	-13	-1.0	13	39	2	-13	-1.0	13	39	2	-13	-1.0	13	39	2	-13	-1.0	13	39	2	-13	-1.0	13	39	2	-13	-1.0	13	39	2	-13	-1.0	13	39	2	-13	-1.0	13	39	2	-13	-1.0	13	39	2	-13	-1.0	13	39	2	-13	-1.0	13	39	2	-13	-1.0	13	39	2	-13	-1.0	13	39	2	-13	-1.0	13	39	2	-13	-1.0	13	39	2	-13	-1.0	13	39	2	-13	-1.0	13	39	2	-13	-1.0	13	39
3	-13	-1.0	13	52	3	-13	-1.0	13	52	3	-13	-1.0	13	52	3	-13	-1.0	13	52	3	-13	-1.0	13	52	3	-13	-1.0	13	52	3	-13	-1.0	13	52	3	-13	-1.0	13	52	3	-13	-1.0	13	52	3	-13	-1.0	13	52	3	-13	-1.0	13	52	3	-13	-1.0	13	52	3	-13	-1.0	13	52	3	-13	-1.0	13	52	3	-13	-1.0	13	52	3	-13	-1.0	13	52	3	-13	-1.0	13	52	3	-13	-1.0	13	52	3	-13	-1.0	13	52	3	-13	-1.0	13	52	3	-13	-1.0	13	52	3	-13	-1.0	13	52	3	-13	-1.0	13	52
4	-13	-1.0	13	65	4	-13	-1.0	13	65	4	-13	-1.0	13	65	4	-13	-1.0	13	65	4	-13	-1.0	13	65	4	-13	-1.0	13	65	4	-13	-1.0	13	65	4	-13	-1.0	13	65	4	-13	-1.0	13	65	4	-13	-1.0	13	65	4	-13	-1.0	13	65	4	-13	-1.0	13	65	4	-13	-1.0	13	65	4	-13	-1.0	13	65	4	-13	-1.0	13	65	4	-13	-1.0	13	65	4	-13	-1.0	13	65	4	-13	-1.0	13	65	4	-13	-1.0	13	65	4	-13	-1.0	13	65	4	-13	-1.0	13	65	4	-13	-1.0	13	65	4	-13	-1.0	13	65
5	-13	-1.0	13	78	5	-13	-1.0	13	78	5	-13	-1.0	13	78	5	-13	-1.0	13	78	5	-13	-1.0	13	78	5	-13	-1.0	13	78	5	-13	-1.0	13	78	5	-13	-1.0	13	78	5	-13	-1.0	13	78	5	-13	-1.0	13	78	5	-13	-1.0	13	78	5	-13	-1.0	13	78	5	-13	-1.0	13	78	5	-13	-1.0	13	78	5	-13	-1.0	13	78	5	-13	-1.0	13	78	5	-13	-1.0	13	78	5	-13	-1.0	13	78	5	-13	-1.0	13	78	5	-13	-1.0	13	78	5	-13	-1.0	13	78	5	-13	-1.0	13	78	5	-13	-1.0	13	78
6	-13	-1.0	13	91	6	-13	-1.0	13	91	6	-13	-1.0	13	91	6	-13	-1.0	13	91	6	-13	-1.0	13	91	6	-13	-1.0	13	91	6	-13	-1.0	13	91	6	-13	-1.0	13	91	6	-13	-1.0	13	91	6	-13	-1.0	13	91	6	-13	-1.0	13	91	6	-13	-1.0	13	91	6	-13	-1.0	13	91	6	-13	-1.0	13	91	6	-13	-1.0	13	91	6	-13	-1.0	13	91	6	-13	-1.0	13	91	6	-13	-1.0	13	91	6	-13	-1.0	13	91	6	-13	-1.0	13	91	6	-13	-1.0	13	91	6	-13	-1.0	13	91	6	-13	-1.0	13	91
7	-125	-4.8076923076923075	26	117	7	-125	-4.8076923076923075	26	117	7	-125	-4.8076923076923075	26	117	7	-125	-4.8076923076923075	26	117	7	-125	-4.8076923076923075	26	117	7	-125	-4.8076923076923075	26	117	7	-125	-4.8076923076923075	26	117	7	-125	-4.8076923076923075	26	117	7	-125	-4.8076923076923075	26	117	7	-125	-4.8076923076923075	26	117	7	-125	-4.8076923076923075	26	117	7	-125	-4.8076923076923075	26	117	7	-125	-4.8076923076923075	26	117	7	-125	-4.8076923076923075	26	117	7	-125	-4.8076923076923075	26	117	7	-125	-4.8076923076923075	26	117	7	-125	-4.8076923076923075	26	117	7	-125	-4.8076923076923075	26	117	7	-125	-4.8076923076923075	26	117	7	-125	-4.8076923076923075	26	117	7	-125	-4.8076923076923075	26	117	7	-125	-4.8076923076923075	26	117	7	-125	-4.8076923076923075	26	117
8	-13	-1.0	13	130	8	-13	-1.0	13	130	8	-13	-1.0	13	130	8	-13	-1.0	13	130	8	-13	-1.0	13	130	8	-13	-1.0	13	130	8	-13	-1.0	13	130	8	-13	-1.0	13	130	8	-13	-1.0	13	130	8	-13	-1.0	13	130	8	-13	-1.0	13	130	8	-13	-1.0	13	130	8	-13	-1.0	13	130	8	-13	-1.0	13	130	8	-13	-1.0	13	130	8	-13	-1.0	13	130	8	-13	-1.0	13	130	8	-13	-1.0	13	130	8	-13	-1.0	13	130	8	-13	-1.0	13	130	8	-13	-1.0	13	130	8	-13	-1.0	13	130	8	-13	-1.0	13	130
9	-128	-4.413793103448276	29	159	9	-128	-4.413793103448276	29	159	9	-128	-4.413793103448276	29	159	9	-128	-4.413793103448276	29	159	9	-128	-4.413793103448276	29	159	9	-128	-4.413793103448276	29	159	9	-128	-4.413793103448276	29	159	9	-128	-4.413793103448276	29	159	9	-128	-4.413793103448276	29	159	9	-128	-4.413793103448276	29	159	9	-128	-4.413793103448276	29	159	9	-128	-4.413793103448276	29	159	9	-128	-4.413793103448276	29	159	9	-128	-4.413793103448276	29	159	9	-128	-4.413793103448276	29	159	9	-128	-4.413793103448276	29	159	9	-128	-4.413793103448276	29	159	9	-128	-4.413793103448276	29	159	9	-128	-4.413793103448276	29	159	9	-128	-4.413793103448276	29	159	9	-128	-4.413793103448276	29	159	9	-128	-4.413793103448276	29	159	9	-128	-4.413793103448276	29	159
