Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-19	-1.0	19	19	0	-19	-1.0	19	19	0	-19	-1.0	19	19	0	-19	-1.0	19	19	0	-19	-1.0	19	19	0	-19	-1.0	19	19	0	-19	-1.0	19	19	0	-19	-1.0	19	19	0	-19	-1.0	19	19	0	-19	-1.0	19	19	0	-19	-1.0	19	19	0	-19	-1.0	19	19	0	-19	-1.0	19	19	0	-19	-1.0	19	19	0	-19	-1.0	19	19	0	-19	-1.0	19	19	0	-19	-1.0	19	19	0	-19	-1.0	19	19	0	-19	-1.0	19	19	0	-19	-1.0	19	19	0	-19	-1.0	19	19	0	-19	-1.0	19	19	0	-19	-1.0	19	19	0	-19	-1.0	19	19	0	-19	-1.0	19	19	0	-19	-1.0	19	19
1	-15	-1.0	15	34	1	-15	-1.0	15	34	1	-15	-1.0	15	34	1	-15	-1.0	15	34	1	-15	-1.0	15	34	1	-15	-1.0	15	34	1	-15	-1.0	15	34	1	-15	-1.0	15	34	1	-15	-1.0	15	34	1	-15	-1.0	15	34	1	-15	-1.0	15	34	1	-15	-1.0	15	34	1	-15	-1.0	15	34	1	-15	-1.0	15	34	1	-15	-1.0	15	34	1	-15	-1.0	15	34	1	-15	-1.0	15	34	1	-15	-1.0	15	34	1	-15	-1.0	15	34	1	-15	-1.0	15	34	1	-15	-1.0	15	34	1	-15	-1.0	15	34	1	-15	-1.0	15	34	1	-15	-1.0	15	34	1	-15	-1.0	15	34	1	-15	-1.0	15	34
2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49	2	-15	-1.0	15	49
3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76	3	-126	-4.666666666666667	27	76
4	-13	-1.0	13	89	4	-13	-1.0	13	89	4	-13	-1.0	13	89	4	-13	-1.0	13	89	4	-13	-1.0	13	89	4	-13	-1.0	13	89	4	-13	-1.0	13	89	4	-13	-1.0	13	89	4	-13	-1.0	13	89	4	-13	-1.0	13	89	4	-13	-1.0	13	89	4	-13	-1.0	13	89	4	-13	-1.0	13	89	4	-13	-1.0	13	89	4	-13	-1.0	13	89	4	-13	-1.0	13	89	4	-13	-1.0	13	89	4	-13	-1.0	13	89	4	-13	-1.0	13	89	4	-13	-1.0	13	89	4	-13	-1.0	13	89	4	-13	-1.0	13	89	4	-13	-1.0	13	89	4	-13	-1.0	13	89	4	-13	-1.0	13	89	4	-13	-1.0	13	89
5	-13	-1.0	13	102	5	-13	-1.0	13	102	5	-13	-1.0	13	102	5	-13	-1.0	13	102	5	-13	-1.0	13	102	5	-13	-1.0	13	102	5	-13	-1.0	13	102	5	-13	-1.0	13	102	5	-13	-1.0	13	102	5	-13	-1.0	13	102	5	-13	-1.0	13	102	5	-13	-1.0	13	102	5	-13	-1.0	13	102	5	-13	-1.0	13	102	5	-13	-1.0	13	102	5	-13	-1.0	13	102	5	-13	-1.0	13	102	5	-13	-1.0	13	102	5	-13	-1.0	13	102	5	-13	-1.0	13	102	5	-13	-1.0	13	102	5	-13	-1.0	13	102	5	-13	-1.0	13	102	5	-13	-1.0	13	102	5	-13	-1.0	13	102	5	-13	-1.0	13	102
6	-15	-1.0	15	117	6	-15	-1.0	15	117	6	-15	-1.0	15	117	6	-15	-1.0	15	117	6	-15	-1.0	15	117	6	-15	-1.0	15	117	6	-15	-1.0	15	117	6	-15	-1.0	15	117	6	-15	-1.0	15	117	6	-15	-1.0	15	117	6	-15	-1.0	15	117	6	-15	-1.0	15	117	6	-15	-1.0	15	117	6	-15	-1.0	15	117	6	-15	-1.0	15	117	6	-15	-1.0	15	117	6	-15	-1.0	15	117	6	-15	-1.0	15	117	6	-15	-1.0	15	117	6	-15	-1.0	15	117	6	-15	-1.0	15	117	6	-15	-1.0	15	117	6	-15	-1.0	15	117	6	-15	-1.0	15	117	6	-15	-1.0	15	117	6	-15	-1.0	15	117
7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144	7	-126	-4.666666666666667	27	144
8	-15	-1.0	15	159	8	-15	-1.0	15	159	8	-15	-1.0	15	159	8	-15	-1.0	15	159	8	-15	-1.0	15	159	8	-15	-1.0	15	159	8	-15	-1.0	15	159	8	-15	-1.0	15	159	8	-15	-1.0	15	159	8	-15	-1.0	15	159	8	-15	-1.0	15	159	8	-15	-1.0	15	159	8	-15	-1.0	15	159	8	-15	-1.0	15	159	8	-15	-1.0	15	159	8	-15	-1.0	15	159	8	-15	-1.0	15	159	8	-15	-1.0	15	159	8	-15	-1.0	15	159	8	-15	-1.0	15	159	8	-15	-1.0	15	159	8	-15	-1.0	15	159	8	-15	-1.0	15	159	8	-15	-1.0	15	159	8	-15	-1.0	15	159	8	-15	-1.0	15	159
9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194	9	-233	-6.6571428571428575	35	194
