Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22	0	-121	-5.5	22	22
1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35	1	-13	-1.0	13	35
2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52	2	-17	-1.0	17	52
3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66	3	-14	-1.0	14	66
4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82	4	-115	-7.1875	16	82
5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95	5	-13	-1.0	13	95
6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108	6	-13	-1.0	13	108
7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121	7	-13	-1.0	13	121
8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136	8	-15	-1.0	15	136
9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160	9	-123	-5.125	24	160
